"","","","","","","","","","",""
"Location","Capacity","10-Jun-13","11-Jun-13","12-Jun-13","13-Jun-13","14-Jun-13","15-Jun-13","16-Jun-13","17-Jun-13","18-Jun-13"
"Mississippi State Penitentiary","4,648","3,390","3,393","3,386","3,387","3,392","3,387","3,385","3,389","3,393"
"Central Mississippi Correctional Facility","3,557","3,356","3,333","3,352","3,353","3,347","3,347","3,345","3,352","3,354"
"Youthful Offender Unit","42","31","31","32","32","32","32","32","31","32"
"South Mississippi Correctional Institution 3,282","","3,216","3,229","3,222","3,218","3,217","3,216","3,211","3,217","3,202"
"County Jails","1,872","2,326","2,341","2,333","2,380","2,406","2,404","2,404","2,385","2,337"
"COMMUNITY WORK CENTERS","1,848","1,549","1,536","1,541","1,539","1,508","1,507","1,506","1,526","1,522"
"Alcorn Satellite Facility","92","92","91","91","92","92","92","92","92","91"
"Bolivar Satellite Facility","102","57","57","57","57","52","52","52","57","57"
"Forrest Satellite Facility","96","78","77","82","81","75","74","73","79","78"
"George Satellite Facility","102","65","54","54","54","52","52","52","54","65"
"Harrison Satellite Facility","102","93","92","94","94","94","94","94","94","92"
"Jackson Satellite Facility","102","89","88","88","88","86","86","86","87","85"
"Jefferson Satellite Facility","102","62","62","62","62","62","62","62","62","60"
"Leflore Satellite Facility","102","91","91","90","90","89","89","89","90","89"
"Madison Satellite Facility","102","91","89","89","88","87","87","87","88","88"
"Noxubee Satellite Facility","92","78","78","76","75","72","72","72","75","73"
"Pike Satellite Facility","93","90","90","90","90","92","92","92","91","93"
"Quitman Satellite Facility","93","91","90","91","91","90","90","90","90","89"
"Rankin Satellite Facility","260","238","243","244","245","237","237","237","238","237"
"Simpson Satellite Facility","102","98","98","98","99","96","96","96","97","99"
"Washington Satellite Facility","102","88","88","87","87","87","87","87","86","83"
"Wilkinson Satellite Facility","102","75","75","75","73","73","73","73","73","73"
"Yazoo Satellite Facility","102","73","73","73","73","72","72","72","73","70"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,417","4,431","4,431","4,429","4,428","4,422","4,419","4,433","4,426"
"Alcorn County","300","300","300","300","299","299","299","299","298","298"
"Bolivar County","369","367","369","369","369","369","369","369","369","369"
"Carroll County","280","280","279","279","280","278","278","278","280","280"
"Chickasaw County","300","298","300","298","297","300","300","300","300","298"
"George County","280","279","280","280","280","280","279","279","279","279"
"Holmes County","280","279","279","279","279","280","280","280","280","280"
"Issaquena County","274","272","274","274","274","274","273","272","274","274"
"Jefferson County","280","280","281","281","281","280","278","278","278","278"
"Kemper County","355","355","355","354","355","355","355","355","355","355"
"Leake County","280","277","279","278","278","276","276","276","281","280"
"Marion County","280","280","280","280","280","280","280","278","279","280"
"Stone County","280","278","278","280","280","280","280","280","280","280"
"Washington County","300","297","300","300","299","299","298","298","300","297"
"Winston County","280","276","278","279","279","279","279","279","280","278"
"Yazoo County","300","299","299","300","299","299","298","298","300","300"
"PRIVATE PRISONS","5,972","4,305","4,308","4,308","4,309","4,310","4,306","4,304","4,306","4,310"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,124","1,124","1,126","1,126","1,126","1,126","1,125","1,125","1,125"
"Marshall County","1,000","998","998","999","998","997","996","996","996","996"
"Walnut Grove","1,500","1,294","1,297","1,294","1,297","1,295","1,292","1,291","1,292","1,296"
"Wilkinson County","1,000","889","889","889","888","892","892","892","893","893"
"RESTITUTION CENTERS","16","11","10","10","11","11","10","9","9","10"
"Greenwood","6","4","3","3","4","4","3","2","2","3"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","0","0","0","0","0","0","0","0","0"
"TOTALS","25,681","22,601","22,612","22,615","22,658","22,651","22,631","22,615","22,648","22,586"
"","","10-Jun-13","11-Jun-13","12-Jun-13","13-Jun-13","14-Jun-13","15-Jun-13","16-Jun-13","17-Jun-13","18-Jun-13"
