"Location","Capacity","1-Feb-13","2-Feb-13","3-Feb-13","4-Feb-13","5-Feb-13","6-Feb-13","7-Feb-13","8-Feb-13","9-Feb-13"
"Mississippi State Penitentiary","4,648","3,342","3,341","3,339","3,346","3,355","3,380","3,370","3,353","3,352"
"Central Mississippi Correctional Facility","3,557","3,278","3,274","3,271","3,294","3,301","3,229","3,235","3,219","3,218"
"Youthful Offender Unit","42","22","22","22","22","22","24","24","24","24"
"South Mississippi Correctional Institution 3,282","","3,223","3,223","3,221","3,227","3,229","3,238","3,226","3,237","3,238"
"County Jails","1,832","2,203","2,188","2,203","2,188","2,178","2,153","2,175","2,176","2,176"
"COMMUNITY WORK CENTERS","1,848","1,453","1,452","1,446","1,454","1,456","1,468","1,476","1,477","1,472"
"Alcorn Satellite Facility","92","90","90","90","90","89","90","90","89","89"
"Bolivar Satellite Facility","102","64","64","64","64","67","68","68","73","73"
"Forrest Satellite Facility","96","76","76","76","77","77","72","71","72","71"
"George Satellite Facility","102","76","76","76","74","74","79","79","73","73"
"Harrison Satellite Facility","102","72","72","72","74","74","74","74","76","76"
"Jackson Satellite Facility","102","69","69","69","74","74","74","77","76","76"
"Jefferson Satellite Facility","102","72","72","69","73","73","73","73","74","74"
"Leflore Satellite Facility","102","73","73","72","72","73","73","79","77","77"
"Madison Satellite Facility","102","71","71","71","71","73","73","75","79","79"
"Noxubee Satellite Facility","92","74","74","74","75","75","75","74","78","78"
"Pike Satellite Facility","93","92","91","91","85","85","85","85","83","83"
"Quitman Satellite Facility","93","91","91","90","91","91","90","88","84","83"
"Rankin Satellite Facility","260","219","219","218","220","220","231","235","230","230"
"Simpson Satellite Facility","102","96","96","96","95","93","94","93","91","90"
"Washington Satellite Facility","102","74","74","74","74","74","74","73","77","76"
"Wilkinson Satellite Facility","102","66","66","66","67","67","67","67","66","66"
"Yazoo Satellite Facility","102","78","78","78","78","77","76","75","79","78"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,341","4,334","4,333","4,330","4,335","4,352","4,345","4,334","4,329"
"Alcorn County","300","300","299","299","299","299","299","299","299","299"
"Bolivar County","369","366","365","365","364","366","367","366","362","362"
"Carroll County","280","278","278","278","278","279","280","277","276","276"
"Chickasaw County","300","300","300","300","300","299","300","300","299","299"
"George County","280","276","276","276","276","278","279","279","279","278"
"Holmes County","280","278","277","277","278","278","280","279","280","278"
"Issaquena County","274","274","274","274","273","273","273","273","274","274"
"Jefferson County","280","281","279","278","278","280","279","278","278","278"
"Kemper County","355","336","336","336","336","336","337","337","336","336"
"Leake County","280","278","278","278","280","280","279","279","277","276"
"Marion County","280","279","279","279","280","280","280","280","280","280"
"Stone County","280","279","278","278","275","275","280","279","278","277"
"Washington County","300","242","242","242","242","241","244","242","240","240"
"Winston County","280","275","274","274","274","273","277","279","277","277"
"Yazoo County","300","299","299","299","297","298","298","298","299","299"
"PRIVATE PRISONS","5,972","4,284","4,280","4,279","4,282","4,278","4,311","4,309","4,306","4,301"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,115","1,114","1,113","1,118","1,119","1,124","1,121","1,119","1,117"
"Marshall County","1,000","999","999","999","999","999","999","999","999","999"
"Walnut Grove","1,500","1,269","1,266","1,266","1,263","1,260","1,289","1,289","1,288","1,285"
"Wilkinson County","1,000","901","901","901","902","900","899","900","900","900"
"RESTITUTION CENTERS","16","41","40","42","23","22","22","25","53","53"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","4","4","4","5","5","5","5","6","6"
"Pascagoula","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","28","27","29","9","8","8","11","38","38"
"TOTALS","25,641","22,187","22,154","22,156","22,166","22,176","22,177","22,185","22,179","22,163"
"","","1-Feb-13","2-Feb-13","3-Feb-13","4-Feb-13","5-Feb-13","6-Feb-13","7-Feb-13","8-Feb-13","9-Feb-13"
