"","","","","","",""
"Location","Capacity","","28-May-13 29-May-13 30-May-13 31-May-13 Avg Population","","",""
"Mississippi State Penitentiary","4,648","3,371","3,373","3,388","3,382","3,359"
"Central Mississippi Correctional Facility","3,557","3,338","3,351","3,347","3,318","3,335"
"Youthful Offender Unit","42","29","31","31","31","30"
"South Mississippi Correctional Institution 3,282","","3,228","3,222","3,217","3,211","3,229"
"County Jails","1,872","2,322","2,305","2,311","2,306","2,330"
"COMMUNITY WORK CENTERS","1,848","1,535","1,531","1,531","1,518","1,542"
"Alcorn Satellite Facility","92","90","91","92","92","91"
"Bolivar Satellite Facility","102","66","66","65","63","69"
"Forrest Satellite Facility","96","79","80","79","78","75"
"George Satellite Facility","102","70","70","68","67","79"
"Harrison Satellite Facility","102","89","88","91","83","85"
"Jackson Satellite Facility","102","79","79","78","77","79"
"Jefferson Satellite Facility","102","64","63","63","62","70"
"Leflore Satellite Facility","102","87","85","89","87","84"
"Madison Satellite Facility","102","91","92","90","91","90"
"Noxubee Satellite Facility","92","81","80","80","75","77"
"Pike Satellite Facility","93","93","93","93","91","91"
"Quitman Satellite Facility","93","92","92","90","89","90"
"Rankin Satellite Facility","260","240","239","239","235","238"
"Simpson Satellite Facility","102","95","95","94","99","98"
"Washington Satellite Facility","102","72","71","71","82","78"
"Wilkinson Satellite Facility","102","72","72","74","78","72"
"Yazoo Satellite Facility","102","75","75","75","69","78"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,423","4,427","4,430","4,422","4,420"
"Alcorn County","300","299","299","299","297","298"
"Bolivar County","369","368","369","369","368","369"
"Carroll County","280","280","280","280","279","279"
"Chickasaw County","300","300","300","300","300","299"
"George County","280","279","278","280","281","279"
"Holmes County","280","280","280","280","279","279"
"Issaquena County","274","273","274","274","274","273"
"Jefferson County","280","279","280","280","278","279"
"Kemper County","355","352","354","353","354","354"
"Leake County","280","277","278","280","279","279"
"Marion County","280","280","280","280","279","280"
"Stone County","280","279","279","279","279","279"
"Washington County","300","299","297","295","293","295"
"Winston County","280","279","279","281","281","279"
"Yazoo County","300","299","300","300","301","299"
"PRIVATE PRISONS","5,972","4,305","4,305","4,304","4,298","4,298"
"Delta","972","0","0","0","0","0"
"East Mississippi","1,500","1,125","1,124","1,122","1,120","1,122"
"Marshall County","1,000","999","999","999","999","998"
"Walnut Grove","1,500","1,296","1,298","1,299","1,294","1,289"
"Wilkinson County","1,000","885","884","884","885","889"
"RESTITUTION CENTERS","16","9","10","11","11","14"
"Greenwood","6","2","3","3","3","3"
"Hinds","6","4","4","5","5","4"
"Pascagoula","4","3","3","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0"
"E-CODE","0","0","0","0","0","3"
"TOTALS","25,681","22,560","22,555","22,570","22,497","22,557"
"","","","28-May-13 29-May-13 30-May-13 31-May-13","","",""
