"Location","Capacity","19-May-08","20-May-08","21-May-08","22-May-08","23-May-08","24-May-08","25-May-08","26-May-08","27-May-08"
"Mississippi State Penitentiary","4,527","4,173","4,177","4,171","4,167","4,185","4,182","4,181","4,179","4,193"
"Central Mississippi Correctional Facility","3,665","3,735","3,729","3,761","3,752","3,693","3,692","3,690","3,688","3,703"
"South Mississippi Correctional Institution","3,204","3,126","3,138","3,125","3,115","3,138","3,138","3,136","3,133","3,117"
"County Jails","1,638","2,046","2,034","2,012","2,007","1,999","1,999","1,999","2,005","1,993"
"COMMUNITY WORK CENTERS","1,848","1,791","1,779","1,776","1,806","1,820","1,813","1,812","1,812","1,816"
"Alcorn Satellite Facility","92","89","89","89","89","92","92","92","92","92"
"Bolivar Satellite Facility","102","100","102","102","102","102","102","102","102","102"
"Forrest Satellite Facility","96","94","95","95","96","95","95","95","95","96"
"George Satellite Facility","102","102","100","99","101","101","100","100","100","100"
"Harrison Satellite Facility","102","101","100","100","102","101","101","101","101","101"
"Jackson Satellite Facility","102","101","101","101","102","101","100","100","100","100"
"Jefferson Satellite Facility","102","97","96","96","102","102","102","102","102","100"
"Leflore Satellite Facility","102","102","102","102","102","101","101","101","101","101"
"Madison Satellite Facility","102","99","99","94","101","98","98","97","97","100"
"Noxubee Satellite Facility","92","88","84","84","92","92","92","92","92","92"
"Pike Satellite Facility","93","85","86","86","90","91","90","90","90","90"
"Quitman Satellite Facility","93","89","87","89","88","92","91","91","91","91"
"Rankin Satellite Facility","260","246","247","247","247","247","246","245","245","247"
"Simpson Satellite Facility","102","100","100","100","102","102","101","102","102","101"
"Washington Satellite Facility","102","100","100","100","99","102","101","101","101","101"
"Wilkinson Satellite Facility","102","97","92","93","92","99","99","99","99","100"
"Yazoo Satellite Facility","102","101","99","99","99","102","102","102","102","102"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,081","3,080","3,081","3,079","3,083","3,083","3,079","3,078","3,077"
"Bolivar County","294","294","294","294","294","293","293","292","293","292"
"Carroll County","280","280","280","280","279","280","280","279","279","277"
"George County","280","277","277","278","278","280","280","280","279","279"
"Holmes County","280","280","280","280","280","280","280","280","279","279"
"Issaquena County","274","274","273","273","273","274","274","274","274","274"
"Jefferson County","280","280","279","278","277","280","280","280","280","280"
"Kemper County","280","279","279","280","280","280","280","280","280","280"
"Leake County","280","279","280","279","280","279","279","279","279","278"
"Marion County","280","280","280","280","279","278","278","278","278","279"
"Stone County","280","279","279","279","279","279","279","277","277","280"
"Winston County","280","279","279","280","280","280","280","280","280","279"
"PRIVATE PRISONS","4,972","4,798","4,792","4,799","4,801","4,792","4,789","4,786","4,784","4,788"
"Delta","972","972","969","968","970","970","969","968","968","970"
"East Mississippi","1,000","895","892","896","895","894","894","894","894","893"
"Marshall County","1,000","997","1,000","1,000","1,000","1,000","999","998","998","1,000"
"Tallahatchie County","0","0","0","0","0","0","0","0","0","0"
"Walnut Grove","1,000","955","951","956","955","945","944","943","942","942"
"Wilkinson County","1,000","979","980","979","981","983","983","983","982","983"
"RESTITUTION CENTERS","16","11","12","13","13","14","14","14","14","14"
"Greenwood","6","4","5","5","5","5","5","5","5","5"
"Hinds","6","4","4","4","4","5","5","5","5","5"
"Pascagoula","4","3","3","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","5","3","4","4","2","1","0","0","3"
"TOTALS","22,964","22,772","22,750","22,748","22,750","22,732","22,717","22,703","22,699","22,710"
