"Location","Capacity","1-Jun-08","2-Jun-08","3-Jun-08","4-Jun-08","5-Jun-08","6-Jun-08","7-Jun-08","8-Jun-08","9-Jun-08"
"Mississippi State Penitentiary","4,527","4,200","4,201","4,206","4,204","4,207","4,195","4,191","4,191","4,192"
"Central Mississippi Correctional Facility","3,665","3,702","3,721","3,716","3,709","3,689","3,708","3,707","3,706","3,712"
"South Mississippi Correctional Institution","3,204","3,121","3,120","3,122","3,149","3,152","3,134","3,130","3,128","3,122"
"County Jails","1,645","1,971","1,944","1,928","1,923","1,931","1,948","1,948","1,948","1,975"
"COMMUNITY WORK CENTERS","1,848","1,695","1,788","1,787","1,784","1,787","1,720","1,714","1,715","1,773"
"Alcorn Satellite Facility","92","87","91","91","90","90","82","82","82","92"
"Bolivar Satellite Facility","102","90","94","93","92","98","96","95","95","97"
"Forrest Satellite Facility","96","89","93","93","96","96","96","96","96","94"
"George Satellite Facility","102","94","101","101","100","100","99","99","99","98"
"Harrison Satellite Facility","102","97","101","102","100","100","98","97","97","100"
"Jackson Satellite Facility","102","93","102","102","102","100","95","94","94","98"
"Jefferson Satellite Facility","102","86","99","99","99","99","98","98","98","98"
"Leflore Satellite Facility","102","95","102","100","100","100","98","98","98","100"
"Madison Satellite Facility","102","100","101","101","101","101","100","100","100","101"
"Noxubee Satellite Facility","92","85","88","88","88","88","80","79","79","86"
"Pike Satellite Facility","93","88","92","92","92","93","85","85","85","91"
"Quitman Satellite Facility","93","81","88","88","88","88","83","83","83","92"
"Rankin Satellite Facility","260","237","245","246","246","246","240","239","239","246"
"Simpson Satellite Facility","102","96","96","90","90","89","85","85","85","88"
"Washington Satellite Facility","102","92","100","100","100","100","94","94","94","96"
"Wilkinson Satellite Facility","102","91","96","102","101","101","97","97","98","100"
"Yazoo Satellite Facility","102","94","99","99","99","98","94","93","93","96"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,071","3,077","3,083","3,084","3,087","3,084","3,081","3,079","3,084"
"Bolivar County","294","294","294","294","295","294","293","293","293","294"
"Carroll County","280","280","280","280","281","281","281","281","280","280"
"George County","280","280","280","278","275","280","280","280","280","280"
"Holmes County","280","280","280","280","280","280","280","280","280","280"
"Issaquena County","274","273","273","274","274","274","274","274","274","274"
"Jefferson County","280","273","277","280","280","279","278","276","276","280"
"Kemper County","280","279","279","280","280","280","279","278","278","278"
"Leake County","280","277","279","280","280","280","280","280","280","279"
"Marion County","280","279","279","279","280","279","279","279","278","279"
"Stone County","280","279","279","279","279","280","280","280","280","280"
"Winston County","280","277","277","279","280","280","280","280","280","280"
"PRIVATE PRISONS","4,972","4,789","4,788","4,795","4,798","4,806","4,809","4,806","4,804","4,804"
"Delta","972","968","969","971","972","972","972","971","971","971"
"East Mississippi","1,000","892","889","889","893","894","895","894","893","893"
"Marshall County","1,000","998","1,000","1,000","1,000","1,000","1,000","999","999","999"
"Tallahatchie County","0","0","0","0","0","0","0","0","0","0"
"Walnut Grove","1,000","951","950","953","952","955","954","954","953","953"
"Wilkinson County","1,000","980","980","982","981","985","988","988","988","988"
"RESTITUTION CENTERS","16","13","13","23","23","23","23","23","23","22"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","4","4","14","14","14","14","14","14","14"
"Pascagoula","4","4","4","4","4","4","4","4","4","3"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","107","4","6","6","9","71","72","70","7"
"TOTALS","22,971","22,675","22,662","22,672","22,686","22,697","22,698","22,678","22,670","22,697"
"","","1-Jun-08","2-Jun-08","3-Jun-08","4-Jun-08","5-Jun-08","6-Jun-08","7-Jun-08","8-Jun-08","9-Jun-08"
