"Location","Capacity","10-Sep-15","11-Sep-15","12-Sep-15","13-Sep-15","14-Sep-15","15-Sep-15","16-Sep-15","17-Sep-15","18-Sep-15"
"Mississippi State Penitentiary","4,648","3,117","3,116","3,116","3,116","3,110","3,109","3,109","3,109","3,109"
"MSP TVC","108","84","83","83","83","91","90","90","90","90"
"Central Mississippi Correctional Facility","3,469","2,539","2,538","2,538","2,538","2,554","2,554","2,555","2,555","2,555"
"Youthful Offender Unit","58","27","26","26","26","27","27","28","28","28"
"CMCF TVC","158","111","110","110","110","128","128","129","129","129"
"South Mississippi Correctional Institution 3,282","","2,645","2,644","2,644","2,644","2,658","2,658","2,659","2,659","2,659"
"SMCI TVC","0","98","97","97","97","94","94","95","95","95"
"County Jails","2,006","1,099","1,104","1,105","1,105","1,127","1,154","1,169","1,169","1,180"
"COMMUNITY WORK CENTERS","1,848","1,168","1,164","1,158","1,153","1,169","1,169","1,184","1,184","1,177"
"Alcorn Satellite Facility","92","89","88","88","88","90","90","91","91","91"
"Bolivar Satellite Facility","102","73","72","72","72","72","72","73","73","73"
"Forrest Satellite Facility","96","51","50","50","50","50","50","51","51","51"
"George Satellite Facility","102","46","45","45","45","47","47","48","48","48"
"Harrison Satellite Facility","102","51","51","50","50","50","50","51","51","51"
"Jackson Satellite Facility","102","50","50","49","49","49","49","50","50","50"
"Jefferson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Leflore Satellite Facility","102","74","74","73","73","77","77","78","78","78"
"Madison Satellite Facility","102","59","59","58","58","59","59","60","60","60"
"Noxubee Satellite Facility","92","68","68","67","67","68","68","69","69","68"
"Pike Satellite Facility","93","80","80","79","79","80","80","81","81","80"
"Quitman Satellite Facility","93","60","60","60","59","63","63","64","64","63"
"Rankin Satellite Facility","260","180","180","180","180","180","180","180","180","180"
"Simpson Satellite Facility","102","93","93","93","92","93","93","94","94","93"
"Washington Satellite Facility","102","76","76","76","75","74","74","75","75","74"
"Wilkinson Satellite Facility","102","53","53","53","52","51","51","52","52","51"
"Yazoo Satellite Facility","102","65","65","65","64","66","66","67","67","66"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,166","4,166","4,166","4,165","4,127","4,127","4,142","4,142","4,125"
"Alcorn County","300","292","292","292","291","290","290","291","291","290"
"Bolivar County","369","343","343","343","343","340","340","341","341","340"
"Carroll County","280","255","255","255","255","244","244","246","246","245"
"Chickasaw County","300","300","300","300","300","299","299","300","300","299"
"George County","280","272","272","272","272","268","268","269","269","268"
"Holmes County","280","279","279","279","279","274","274","275","275","274"
"Issaquena County","274","262","262","262","262","262","262","263","263","262"
"Jefferson County","280","255","255","255","255","257","257","258","258","254"
"Kemper County","355","339","339","339","339","337","337","338","338","337"
"Leake County","280","265","265","265","265","261","261","262","262","261"
"Marion County","280","267","267","267","267","265","265","266","266","265"
"Stone County","280","280","280","280","280","279","279","280","280","279"
"Washington County","300","212","212","212","212","212","212","212","212","212"
"Winston County","280","272","272","272","272","271","271","272","272","271"
"Yazoo County","300","273","273","273","273","268","268","269","269","268"
"PRIVATE PRISONS","5,972","3,851","3,751","3,751","3,751","3,746","3,746","3,750","3,750","3,746"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,125","1,125","1,125","1,125","1,121","1,121","1,122","1,122","1,121"
"Marshall County","1,000","1,001","1,001","1,001","1,001","997","997","998","998","997"
"Walnut Grove","1,500","892","792","792","792","800","800","801","801","800"
"Wilkinson County","1,000","833","833","833","833","828","828","829","829","828"
"RESTITUTION CENTERS","16","13","13","13","13","12","12","14","14","12"
"Greenwood","6","4","4","4","4","5","5","6","6","6"
"Hinds","6","6","6","6","6","6","6","7","7","6"
"Pascagoula","4","3","3","3","3","1","1","1","1","0"
"TOTALS","25,737","18,918","18,812","18,807","18,801","18,843","18,868","18,924","18,924","18,905"
"","","10-Sep-15","11-Sep-15","12-Sep-15","13-Sep-15","14-Sep-15","15-Sep-15","16-Sep-15","17-Sep-15","18-Sep-15"
