"Location","Capacity","26-Jul-16"
"Mississippi State Penitentiary","3,590","3,388"
"Central Mississippi Correctional Facility","3,506","3,271"
"Youthful Offender Unit","58","30"
"CMCF TVC","","21"
"South Mississippi Correctional Institution","3,082","2,973"
"County Jails","1,986","1,460"
"COMMUNITY WORK CENTERS","1,848","1,071"
"Alcorn Satellite Facility","92",""
"Bolivar Satellite Facility","102","0 0 7"
"Forrest Satellite Facility","96","4"
"George Satellite Facility","102","81"
"Harrison Satellite Facility","102","67"
"Jackson Satellite Facility","102",""
"Jefferson Satellite Facility","102","0 0 5"
"Leflore TVC","82","7"
"Leflore TVC Support","20","19"
"Madison Satellite Facility","102","91"
"Noxubee Satellite Facility","92","81"
"Pike Satellite Facility","93","90"
"Quitman Satellite Facility","93","84"
"Rankin Satellite Facility","260","166"
"Flowood TVC","","27"
"Simpson TVC","82","57"
"Simpson TVC Support","20","15"
"Washington Satellite Facility","102","90"
"Wilkinson Satellite Facility","102","72"
"Yazoo Satellite Facility","102","0"
"REGIONAL CORRECTIONAL FACILITIES","4,378","3,503"
"Alcorn County","240","239"
"Bolivar County","369","291"
"Carroll County","280","240"
"Chickasaw County","300","239"
"George County","280","199"
"Holmes County","280","200"
"Issaquena County","274","267"
"Jefferson County","280","268"
"Kemper County","355","260"
"Leake County","280","199"
"Marion County","280","200"
"Stone County","280","240"
"Washington County","300","223"
"Winston County","280","200"
"Yazoo County","300","238"
"PRIVATE PRISONS","5,972","3,837"
"Delta","972","0"
"East Mississippi","1,500","1,159"
"Marshall County","1,000","995"
"Walnut Grove","1,500","788"
"Wilkinson County","1,000","895"
"RESTITUTION CENTERS","16","13"
"Greenwood","6",""
"Hinds","6","4 5 4"
"Pascagoula","4",""
"TOTALS","24,436","19,567"
"","","26-Jul-16"
