"Location","Capacity","1-Jul-14","2-Jul-14","3-Jul-14","4-Jul-14","5-Jul-14","6-Jul-14","7-Jul-14","8-Jul-14","9-Jul-14","10-Jul-14","11-Jul-14"
"Mississippi State Penitentiary","4,648","3,342","3,342","3,333","3,329","3,324","3,326","3,323","3,323","3,327","3,330","3,344"
"Central Mississippi Correctional Facility","3,665","2,613","2,610","2,615","2,616","2,614","2,613","2,619","2,610","2,613","2,655","2,612"
"Youthful Offender Unit","42","44","44","44","44","44","44","45","45","45","43","44"
"South Mississippi Correctional Institution","3,282","3,180","3,188","3,173","3,173","3,172","3,169","3,175","3,180","3,183","3,180","3,172"
"County Jails","2,020","1,669","1,666","1,683","1,684","1,691","1,684","1,679","1,718","1,735","1,726","1,750"
"COMMUNITY WORK CENTERS","1,848","1,148","1,153","1,156","1,155","1,154","1,154","1,161","1,164","1,163","1,162","1,152"
"Alcorn Satellite Facility","92","88","89","87","87","87","87","87","87","87","87","90"
"Bolivar Satellite Facility","102","39","38","39","39","39","39","43","43","45","45","45"
"Forrest Satellite Facility","96","49","49","51","51","51","51","51","51","51","51","52"
"George Satellite Facility","102","58","58","58","58","58","58","58","58","60","60","59"
"Harrison Satellite Facility","102","57","57","57","57","56","56","56","56","54","54","55"
"Jackson Satellite Facility","102","47","47","49","49","49","49","49","49","49","49","47"
"Jefferson Satellite Facility","102","48","48","48","48","48","47","47","46","48","48","47"
"Leflore Satellite Facility","102","49","49","50","50","50","50","49","49","50","50","47"
"Madison Satellite Facility","102","56","57","60","60","60","60","61","65","64","64","65"
"Noxubee Satellite Facility","92","78","78","78","78","78","78","78","78","76","79","74"
"Pike Satellite Facility","93","76","76","76","76","76","76","76","75","76","76","80"
"Quitman Satellite Facility","93","70","70","69","69","69","69","69","70","65","63","63"
"Rankin Satellite Facility","260","197","199","201","200","200","201","203","202","200","198","194"
"Simpson Satellite Facility","102","99","101","99","99","99","99","99","99","99","99","95"
"Washington Satellite Facility","102","50","51","49","49","49","49","50","49","49","48","48"
"Wilkinson Satellite Facility","102","43","42","41","41","41","41","41","41","43","44","48"
"Yazoo Satellite Facility","102","44","44","44","44","44","44","44","46","47","47","43"
"REGIONAL CORRECTIONAL FACILITIES","4,560","4,408","4,409","4,416","4,415","4,415","4,414","4,418","4,422","4,420","4,418","4,419"
"Alcorn County","360","297","300","300","300","300","300","300","300","301","301","300"
"Bolivar County","369","365","365","365","365","365","365","365","368","366","367","368"
"Carroll County","280","278","278","279","279","279","279","279","280","280","280","279"
"Chickasaw County","362","299","300","300","300","300","299","300","300","298","298","300"
"George County","280","279","278","276","276","276","276","278","280","279","279","280"
"Holmes County","280","279","280","279","279","279","279","278","275","280","280","280"
"Issaquena County","274","272","272","274","274","274","274","273","272","271","274","274"
"Jefferson County","280","279","279","279","279","279","279","278","279","280","280","271"
"Kemper County","355","348","349","348","348","348","348","348","355","355","355","355"
"Leake County","280","280","280","280","280","280","280","279","278","278","279","278"
"Marion County","280","280","278","278","278","278","278","280","280","277","277","280"
"Stone County","280","280","280","279","279","279","279","279","279","279","279","280"
"Washington County","300","295","293","293","292","292","292","297","297","297","297","297"
"Winston County","280","278","278","280","280","280","280","280","280","280","277","278"
"Yazoo County","300","299","299","306","306","306","306","304","299","299","295","299"
"PRIVATE PRISONS","5000","4280","4280","4285","4285","4285","4282","4287","4282","4287","4285","4281"
"East Mississippi","1,500","1,200","1,198","1,199","1,200","1,200","1,200","1,200","1,198","1,200","1,200","1,199"
"Marshall County","1,000","993","993","1,001","1001","1001","1001","1,001","1,000","1,000","1,000","1,000"
"Walnut Grove","1,500","1,245","1,248","1,254","1,253","1,253","1,250","1,255","1,253","1,257","1,255","1,253"
"Wilkinson County","1,000","842","841","831","831","831","831","831","831","830","830","829"
"RESTITUTION CENTERS","16","13","13","13","13","13","13","13","13","13","12","11"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6","5"
"Hinds","6","6","6","6","6","6","6","6","6","6","5","5"
"Pascagoula","4","1","1","1","1","1","1","1","1","1","1","1"
"TOTALS","25,081","20,697","20,705","20,718","20,714","20,712","20,699","20,720","20,757","20,786","20,811","20,785"
