"Location","Capacity","1-Apr-17","","2-Apr-17","3-Apr-17","4-Apr-17","5-Apr-17","6-Apr-17","7-Apr-17","8-Apr-17","9-Apr-17","10-Apr-17"
"Mississippi State Penitentiary","3590","3385","3385","3369","3377","3379","3393","3383","3380","3377","3380"
"Central Mississippi Correctional Facility","3,882","3,429","3,430","3,468","3,483","3,443","3,412","3,386","3,385","3,385","3,392"
"Youthful Offender Unit","58","31","31","30","30","30","30","30","30","30","30"
"CMCF TVC","","12","12","12","11","11","11","17","17","17","19"
"South Mississippi Correctional Institution","3,082","3,064","3,062","3,058","3,056","3,063","3,052","3,066","3,064","3,064","3,062"
"County Jails","1,781","1,346","1,346","1,332","1,333","1,328","1,383","1,377","1,377","1,377","1,367"
"COMMUNITY WORK CENTERS","1,348","1,034","1,032","1,039","1,031","1,021","1,027","1,028","1,028","1,025","1,022"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","73","73","73","85","85","90","89","89","89","90"
"George Satellite Facility","102","73","73","73","79","78","80","82","82","82","82"
"Harrison Satellite Facility","102","72","72","72","85","84","83","83","83","83","80"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","80","80","80","80","80","78","78","78","77","77"
"Leflore TVC Support","20","17","17","17","17","17","17","16","16","16","15"
"Madison Satellite Facility","102","81","81","82","69","68","67","62","62","62","62"
"Noxubee Satellite Facility","92","75","75","75","58","57","56","55","55","55","55"
"Pike Satellite Facility","93","84","84","85","85","85","89","88","88","88","88"
"Quitman Satellite Facility","93","73","73","73","73","75","76","76","76","76","76"
"Rankin Satellite Facility","182","164","164","171","164","164","163","161","161","161","162"
"Rankin RID","28","6","6","6","6","5","5","5","5","5","5"
"Flowood TVC","50","22","22","22","22","20","20","20","20","19","18"
"Simpson TVC","82","76","74","74","70","65","65","77","77","76","75"
"Simpson TVC Support","20","16","16","16","19","19","19","19","19","19","19"
"Washington Satellite Facility","102","60","60","60","59","59","59","58","58","58","58"
"Wilkinson Satellite Facility","102","62","62","60","60","60","60","59","59","59","60"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,494","3,814","3,814","3,800","3,792","3,823","3,814","3,811","3,809","3,809","3,811"
"Alcorn County","300","240","240","239","238","240","240","239","239","239","239"
"Bolivar County","369","294","294","294","294","294","294","292","292","292","290"
"Carroll County","280","264","264","263","262","264","263","262","262","262","261"
"Chickasaw County","310","287","287","285","285","285","285","288","288","288","286"
"George County","280","223","223","223","223","223","223","221","221","221","220"
"Holmes County","280","222","222","221","221","223","223","221","221","221","221"
"Issaquena County","274","271","271","274","274","274","274","273","273","273","272"
"Jefferson County","280","279","279","277","272","278","278","275","275","275","278"
"Kemper County","355","347","347","345","341","352","348","351","351","351","354"
"Leake County","280","199","199","195","195","200","200","200","200","200","200"
"Marion County","280","227","227","227","227","227","227","226","225","225","225"
"Stone County","326","267","267","267","267","266","266","266","266","266","266"
"Washington County","300","234","234","232","239","238","237","236","235","235","234"
"Winston County","280","223","223","223","219","224","218","224","224","224","223"
"Yazoo County","300","237","237","235","235","235","238","237","237","237","242"
"PRIVATE PRISONS","5,972","3,053","3,053","3,050","3,049","3,048","3,046","3,055","3,055","3,054","3,053"
"Delta","972","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,163","1,163","1,163","1,163","1,160","1,158","1,166","1,166","1,166","1,167"
"Marshall County","1,000","999","999","999","998","1,000","1,000","999","999","999","998"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","891","891","888","888","888","888","890","890","889","888"
"RESTITUTION CENTERS","16","15","15","15","15","15","15","15","15","15","15"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","6","6","6","6","6","6","6","6","6","6","6"
"Pascagoula","4","3","3","3","3","3","3","3","3","3","3"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"TOTALS","24,223","19,183","19,180","19,173","19,177","19,161","19,183","19,168","19,160","19,153","19,151"
