"Location","Capacity","28-Apr-15","29-Apr-15","30-Apr-15","Avg Population"
"Mississippi State Penitentiary","4,648","3,177","3,176","3,170","3,159"
"MSP TVC","108","86","98","97","92"
"Central Mississippi Correctional Facility","3,469","2,432","2,413","2,407","2,384"
"Youthful Offender Unit","58","24","24","24","25"
"CMCF TVC","158","131","131","129","129"
"South Mississippi Correctional Institution","3,282","2,454","2,456","2,451","2,417"
"SMCI TVC","0","92","99","97","92"
"County Jails","1,995","1,450","1,472","1,485","1,498"
"COMMUNITY WORK CENTERS","1,848","1,004","1,003","1,016","1,025"
"Alcorn Satellite Facility","92","52","52","51","53"
"Bolivar Satellite Facility","102","43","45","44","44"
"Forrest Satellite Facility","96","49","49","49","49"
"George Satellite Facility","102","62","61","61","59"
"Harrison Satellite Facility","102","41","41","41","41"
"Jackson Satellite Facility","102","45","45","45","49"
"Jefferson Satellite Facility","102","48","47","47","45"
"Leflore Satellite Facility","102","37","37","37","41"
"Madison Satellite Facility","102","39","38","47","44"
"Noxubee Satellite Facility","92","59","59","59","59"
"Pike Satellite Facility","93","78","78","79","82"
"Quitman Satellite Facility","93","55","55","58","57"
"Rankin Satellite Facility","260","178","178","181","178"
"Simpson Satellite Facility","102","84","84","82","88"
"Washington Satellite Facility","102","44","44","45","43"
"Wilkinson Satellite Facility","102","49","49","49","49"
"Yazoo Satellite Facility","102","41","41","41","43"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,161","4,173","4,161","4,186"
"Alcorn County","300","300","300","298","299"
"Bolivar County","369","341","342","344","350"
"Carroll County","280","267","269","266","274"
"Chickasaw County","300","299","300","297","298"
"George County","280","264","266","265","260"
"Holmes County","280","264","265","261","268"
"Issaquena County","274","253","255","253","254"
"Jefferson County","280","260","260","259","261"
"Kemper County","355","334","341","341","332"
"Leake County","280","261","264","261","258"
"Marion County","280","265","266","267","269"
"Stone County","280","275","277","277","276"
"Washington County","300","242","235","240","245"
"Winston County","280","253","250","250","257"
"Yazoo County","300","283","283","282","284"
"PRIVATE PRISONS","5,972","3,983","3,977","3,967","3,992"
"Delta","972","0","0","0","0"
"East Mississippi","1,500","1,138","1,136","1,132","1,146"
"Marshall County","1,000","997","996","995","995"
"Walnut Grove","1,500","958","956","952","956"
"Wilkinson County","1,000","890","889","888","894"
"RESTITUTION CENTERS","16","10","9","8","9"
"Greenwood","6","5","5","5","4"
"Hinds","6","3","2","2","3"
"Pascagoula","4","2","2","1","2"
"TOTALS","25,726","19,004","19,031","19,012","19,007"
