"Location","Capacity","19-Nov-13","20-Nov-13","21-Nov-13","22-Nov-13","23-Nov-13","24-Nov-13","25-Nov-13","26-Nov-13","27-Nov-13"
"Mississippi State Penitentiary","4,648","3,383","3,375","3,378","3,368","3,368","3,374","3,371","3,369","3,361"
"Central Mississippi Correctional Facility","3,557","3,290","3,318","3,316","3,323","3,323","3,318","3,330","3,345","3,327"
"Youthful Offender Unit","42","39","39","38","38","38","38","37","39","39"
"South Mississippi Correctional Institution","3,282","3,215","3,217","3,206","3,196","3,197","3,194","3,190","3,192","3,201"
"County Jails","1,905","2,075","2,053","2,047","2,065","2,062","2,064","2,092","2,074","2,064"
"COMMUNITY WORK CENTERS","1,848","1,384","1,388","1,394","1,403","1,402","1,395","1,392","1,392","1,376"
"Alcorn Satellite Facility","92","88","88","92","92","92","91","90","90","89"
"Bolivar Satellite Facility","102","66","67","66","69","69","69","67","66","66"
"Forrest Satellite Facility","96","75","74","74","73","73","73","73","73","73"
"George Satellite Facility","102","69","69","69","72","71","71","71","71","70"
"Harrison Satellite Facility","102","77","77","77","77","77","77","77","76","76"
"Jackson Satellite Facility","102","67","68","67","67","67","67","67","67","66"
"Jefferson Satellite Facility","102","63","63","63","64","64","64","66","67","67"
"Leflore Satellite Facility","102","69","71","69","71","71","71","71","70","69"
"Madison Satellite Facility","102","78","77","79","76","76","76","75","75","72"
"Noxubee Satellite Facility","92","73","76","76","76","75","75","73","76","74"
"Pike Satellite Facility","93","91","91","93","93","93","93","92","91","91"
"Quitman Satellite Facility","93","89","89","89","92","92","87","87","85","85"
"Rankin Satellite Facility","260","224","224","222","218","219","219","221","224","220"
"Simpson Satellite Facility","102","79","79","83","83","83","83","83","83","82"
"Washington Satellite Facility","102","67","66","65","71","71","70","70","70","69"
"Wilkinson Satellite Facility","102","52","52","54","53","53","53","53","53","53"
"Yazoo Satellite Facility","102","57","57","56","56","56","56","56","55","54"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,416","4,417","4,421","4,416","4,413","4,410","4,409","4,407","4,408"
"Alcorn County","300","284","283","283","283","283","283","282","282","281"
"Bolivar County","369","369","369","369","369","369","369","369","369","368"
"Carroll County","280","278","280","280","280","279","277","277","280","279"
"Chickasaw County","300","298","298","300","300","300","300","300","299","300"
"George County","280","280","280","280","280","279","279","279","278","277"
"Holmes County","280","280","280","280","280","280","280","280","279","280"
"Issaquena County","274","274","274","274","274","274","274","273","272","274"
"Jefferson County","280","279","280","280","279","279","279","280","279","278"
"Kemper County","355","354","355","355","355","355","355","355","355","355"
"Leake County","280","279","279","279","280","280","280","280","280","280"
"Marion County","280","280","280","280","280","280","280","280","280","281"
"Stone County","280","280","280","280","280","280","279","278","278","280"
"Washington County","300","299","299","300","299","298","298","297","295","294"
"Winston County","280","281","280","280","279","279","279","280","280","280"
"Yazoo County","300","301","300","301","298","298","298","299","301","301"
"PRIVATE PRISONS","5,972","4,410","4,413","4,417","4,412","4,410","4,409","4,410","4,408","4,402"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,197","1,200","1,200","1,200","1,199","1,198","1,200","1,200","1,199"
"Marshall County","1,000","997","997","997","1,000","999","999","999","999","999"
"Walnut Grove","1,500","1,313","1,313","1,317","1,310","1,310","1,310","1,309","1,307","1,302"
"Wilkinson County","1,000","903","903","903","902","902","902","902","902","902"
"RESTITUTION CENTERS","16","12","12","12","12","12","12","12","12","11"
"Greenwood","6","5","4","4","4","4","4","4","4","4"
"Hinds","6","5","6","6","6","6","6","6","6","5"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","0","0","0","0","0","0","0","0","0"
"TOTALS","25,714","22,224","22,232","22,229","22,233","22,225","22,214","22,243","22,238","22,189"
