"Location","Capacity","28-Apr-10","29-Apr-10","30-Apr-10","","Avg Population"
"Mississippi State Penitentiary","4,435","3,644","3,639","3,636","","3,718"
"Central Mississippi Correctional Facility","3,449","3,264","3,260","3,263","","3,294"
"South Mississippi Correctional Institution","3,204","3,113","3,110","3,120","","3,105"
"County Jails","1,450","1,598","1,644","1,637","","1,499"
"COMMUNITY WORK CENTERS","1,848","1,597","1,603","1,598","","1,640"
"Alcorn Satellite Facility","92","70","70","63","","74"
"Bolivar Satellite Facility","102","89","88","93","","91"
"Forrest Satellite Facility","96","75","75","76","","80"
"George Satellite Facility","102","91","91","90","","93"
"Harrison Satellite Facility","102","83","83","83","","85"
"Jackson Satellite Facility","102","86","83","82","","88"
"Jefferson Satellite Facility","102","86","86","92","","93"
"Leflore Satellite Facility","102","78","77","76","","85"
"Madison Satellite Facility","102","94","95","100","","94"
"Noxubee Satellite Facility","92","85","85","83","","86"
"Pike Satellite Facility","93","62","70","69","","77"
"Quitman Satellite Facility","93","91","91","92","","88"
"Rankin Satellite Facility","260","244","247","246","","235"
"Simpson Satellite Facility","102","96","98","92","","100"
"Washington Satellite Facility","102","83","83","83","","86"
"Wilkinson Satellite Facility","102","85","84","86","","91"
"Yazoo Satellite Facility","102","99","97","92","","94"
"REGIONAL CORRECTIONAL FACILITIES","3,163","2,527","2,528","2,526","","2,525"
"Bolivar County","294","234","233","232","","234"
"Carroll County","280","224","224","224","","223"
"George County","280","224","223","222","","223"
"Holmes County","280","224","224","224","","224"
"Issaquena County","274","218","218","220","","219"
"Jefferson County","280","223","225","225","","224"
"Kemper County","355","286","284","283","","284"
"Leake County","280","225","225","224","","224"
"Marion County","280","224","225","225","","224"
"Stone County","280","221","223","223","","223"
"Winston County","280","224","224","224","","224"
"PRIVATE PRISONS","5,972","5,308","5,301","5,303","","5,237"
"Delta","972","904","902","902","","902"
"East Mississippi","1,500","1,354","1,352","1,350","","1,294"
"Marshall County","1,000","901","900","902","","900"
"Walnut Grove","1,500","1,199","1,198","1,198","","1,191"
"Wilkinson County","1,000","950","949","951","","951"
"RESTITUTION CENTERS","16","8","8","8","","9"
"Greenwood","6","3","3","3","","4"
"Hinds","6","3","3","3","","4"
"Pascagoula","4","2","2","2","","2"
"GOVERNOR'S MANSION","6","6","6","6","","6"
"E-CODE","0","12","11","28","","13"
"TOTALS","23,543","21,077","21,110","21,125","","21,045"
"","","28-Apr-10","29-Apr-10","30-Apr-10","",""
