"Location","Capacity","10-Jan-06","11-Jan-06","12-Jan-06","13-Jan-06","14-Jan-06","15-Jan-06","16-Jan-06","17-Jan-06","18-Jan-06"
"Mississippi State Penitentiary","4,529","4,347","4,335","4,329","4,321","4,317","4,314","4,309","4,307","4,301"
"Central Mississippi Correctional Facility","3,233","3,135","3,138","3,143","3,119","3,118","3,114","3,111","3,136","3,179"
"South Mississippi Correctional Institution","2,306","2,104","2,098","2,094","2,114","2,110","2,106","2,106","2,096","2,102"
"County Jails","2,177","1,634","1,677","1,711","1,718","1,718","1,718","1,721","1,673","1,618"
"COMMUNITY WORK CENTERS","1,816","1,743","1,740","1,731","1,607","1,607","1,608","1,716","1,729","1,730"
"Alcorn Satellite Facility","92","91","91","90","80","80","80","89","89","88"
"Bolivar Satellite Facility","102","96","96","97","90","90","90","97","97","97"
"Forrest Satellite Facility","96","91","91","91","85","85","85","91","92","91"
"George Satellite Facility","102","93","92","91","82","82","80","89","89","95"
"Harrison Satellite Facility","102","99","99","99","89","89","89","97","97","97"
"Jackson Satellite Facility","102","102","102","102","94","94","95","102","101","102"
"Jefferson Satellite Facility","102","97","96","96","90","90","92","95","95","95"
"Leflore Satellite Facility","102","99","98","98","89","89","89","97","101","100"
"Madison Satellite Facility","102","100","99","100","93","93","93","98","100","99"
"Noxubee Satellite Facility","92","91","91","91","87","87","87","91","91","90"
"Pike Satellite Facility","93","82","82","82","78","78","78","79","78","77"
"Quitman Satellite Facility","93","85","85","86","75","75","75","84","84","84"
"Rankin Satellite Facility","228","225","225","221","215","215","215","221","221","220"
"Simpson Satellite Facility","102","95","96","91","87","87","87","89","95","96"
"Washington Satellite Facility","102","98","98","98","92","92","92","99","99","99"
"Wilkinson Satellite Facility","102","99","99","98","88","88","88","98","98","98"
"Yazoo Satellite Facility","102","100","100","100","93","93","93","100","102","102"
"REGIONAL CORRECTIONAL FACILITIES","3,058","3,037","3,041","3,041","3,038","3,038","3,037","3,034","3,044","3,038"
"Bolivar County","294","292","293","293","294","294","294","294","294","293"
"Carroll County","280","279","280","280","280","280","280","280","280","280"
"George County","280","278","280","280","280","280","280","280","280","280"
"Holmes County","280","280","279","279","279","279","279","279","279","278"
"Issaquena County","274","271","271","272","270","270","269","269","274","274"
"Jefferson County","250","242","242","242","242","242","242","241","243","243"
"Kemper County","280","278","279","279","279","279","279","278","278","277"
"Leake County","280","280","280","280","280","280","280","280","280","280"
"Marion County","280","279","279","279","278","278","278","278","278","276"
"Stone County","280","280","280","280","280","280","280","280","280","278"
"Winston County","280","278","278","277","276","276","276","275","278","279"
"PRIVATE PRISONS","5,100","4,762","4,756","4,750","4,742","4,743","4,739","4,736","4,750","4,760"
"Delta","972","968","967","963","962","962","961","960","961","970"
"East Mississippi","1,000","843","842","841","841","841","841","840","835","835"
"Marshall County","1,000","983","983","982","982","983","982","982","995","994"
"Tallahatchie County","128","127","127","127","127","127","127","127","128","128"
"Walnut Grove","1,000","917","915","915","910","910","910","909","908","907"
"Wilkinson County","1,000","924","922","922","920","920","918","918","923","926"
"RESTITUTION CENTERS","16","14","14","15","11","11","11","17","17","17"
"Greenwood","6","4","4","5","3","3","3","5","5","5"
"Hinds","6","5","5","5","5","5","5","5","5","5"
"Pascagoula","4","5","5","5","3","3","3","7","7","7"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","","3","5","8","124","121","120","3","5","5"
"TOTALS","22,241","20,784","20,809","20,827","20,799","20,788","20,772","20,758","20,762","20,755"
"","","10-Jan-06","11-Jan-06","12-Jan-06","13-Jan-06","14-Jan-06","15-Jan-06","16-Jan-06","17-Jan-06","18-Jan-06"
