"Location","Capacity","11-Aug-02","12-Aug-02","13-Aug-02","14-Aug-02","15-Aug-02","16-Aug-02","17-Aug-02","18-Aug-02","19-Aug-02","20-Aug-02"
"MS STATE PENITENTIARY","5,551","5,261","5,216","5,237","5,201","5,220","5,207","5,205","5,204","5,158","5,169"
"CENTRAL MS CORRECTIONAL FACILITY","3,099","2,910","2,922","2,931","2,910","2,896","2,883","2,884","2,880","2,884","2,892"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,030","2,045","2,042","2,035","2,050","2,047","2,047","2,047","2,052","2,046"
"COUNTY JAILS      ***","2,113","1,886","1,888","1,875","1,892","1,899","1,912","1,912","1,912","1,903","1,907"
"COMMUNITY WORK CENTERS","1,350","1,290","1,310","1,302","1,297","1,309","1,286","1,286","1,285","1,297","1,301"
"Alcorn Satellite Facility","75","72","75","75","75","75","74","74","74","75","75"
"Bolivar Satellite Facility","75","72","73","73","73","74","71","71","71","73","72"
"Forrest Satellite Facility","75","69","74","74","75","74","71","71","71","73","71"
"George Satellite Facility","75","71","72","72","70","74","75","75","75","73","73"
"Harrison Satellite Facility","75","72","75","72","72","75","73","73","73","75","75"
"Jackson Satellite Facility","75","73","75","75","75","75","73","73","73","75","75"
"Jefferson Satellite Facility","75","73","74","74","72","72","75","75","75","72","74"
"Leflore Satellite Facility","75","70","73","73","75","75","73","73","73","75","75"
"Madison Satellite Facility","75","74","75","75","75","74","73","73","73","73","73"
"Noxubee Satellite Facility","75","69","68","67","72","72","71","71","71","69","68"
"Pike Satellite Facility","75","74","75","75","74","74","74","74","73","73","73"
"Quitman Satellite Facility","75","68","68","67","67","67","67","67","67","67","66"
"Rankin Satellite Facility","150","141","138","138","136","140","137","137","137","136","141"
"Simpson Satellite Facility","75","72","74","74","72","72","70","70","70","70","70"
"Washington Satellite Facility","75","74","73","70","69","69","69","69","69","73","73"
"Wilkinson Satellite Facility","75","72","75","75","74","73","67","67","67","73","75"
"Yazoo Satellite Facility","75","74","73","73","71","74","73","73","73","72","72"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,020","2,016","2,019","2,017","2,010","2,011","2,011","2,011","2,011","2,012"
"Bolivar County","250","0","0","0","0","0","0","0","0","0","0"
"Carroll County","250","203","202","202","201","201","200","200","200","202","202"
"George County (opened on May 10th)","250","202","202","202","202","201","201","201","201","201","201"
"Holmes County","250","203","203","203","202","199","201","201","201","200","200"
"Issaquena County","250","200","200","201","202","201","201","201","201","200","201"
"Jefferson County","250","200","200","201","202","202","202","202","202","201","202"
"Kemper County","250","203","203","202","201","200","200","200","200","201","200"
"Leake County","250","203","203","203","203","202","202","202","202","201","201"
"Marion County","250","202","202","202","201","201","201","201","201","202","202"
"Stone County","250","202","201","202","202","202","202","202","202","202","202"
"Winston County","250","202","200","201","201","201","201","201","201","201","201"
"PRIVATE PRISONS","4,750","3,878","3,909","3,900","3,930","3,929","3,927","3,927","3,927","3,976","3,972"
"Delta","1,000","825","824","823","823","823","821","821","821","818","816"
"East MS","1,000","595","595","594","593","592","591","591","591","645","646"
"Marshall County","1,000","999","999","995","991","990","990","990","990","991","990"
"Walnut Grove","750","531","531","529","528","527","527","527","527","524","523"
"Wilkinson County","1,000","928","960","959","995","997","998","998","998","998","997"
"RESITITUTION CENTERS","24","14","15","14","14","14","14","14","14","14","14"
"Greenwood","6","4","5","5","5","5","5","5","5","5","5"
"Hinds","12","8","8","8","8","8","8","8","8","8","8"
"Pascagoula","6","2","2","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","6"
"TOTALS","21,857","19,295","19,327","19,326","19,302","19,333","19,293","19,292","19,286","19,301","19,319"
