"Location","Capacity","14-Sep-04","15-Sep-04","16-Sep-04","17-Sep-04","18-Sep-04","19-Sep-04","20-Sep-04","21-Sep-04","22-Sep-04","23-Sep-04","24-Sep-04","25-Sep-04","26-Sep-04"
"MS STATE PENITENTIARY","4,892","4,812","4,826","4,849","4,846","4,844","4,844","4,838","4,831","4,831","4,822","4,837","4,835","4,835"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,220","3,204","3,207","3,157","3,155","3,150","3,131","3,149","3,153","3,174","3,179","3,177","3,175"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,180","2,179","2,179","2,171","2,168","2,168","2,179","2,177","2,190","2,178","2,173","2,171","2,172"
"COUNTY JAILS","2,209","2,041","2,087","2,069","2,099","2,099","2,099","2,077","2,048","2,061","2,053","2,031","2,031","2,031"
"COMMUNITY WORK CENTERS","1,816","1,670","1,670","1,673","1,618","1,616","1,616","1,702","1,702","1,712","1,716","1,655","1,654","1,653"
"Alcorn Satellite Facility","92","90","92","91","85","85","85","90","88","88","89","86","86","86"
"Bolivar Satellite Facility","102","97","98","101","93","93","93","99","99","98","100","96","96","96"
"Forrest Satellite Facility","96","92","89","89","84","84","84","93","95","95","95","92","92","91"
"George Satellite Facility","102","99","99","99","94","94","94","99","101","101","102","102","102","101"
"Harrison Satellite Facility","102","90","89","89","88","88","88","98","98","99","99","95","95","95"
"Jackson Satellite Facility","102","90","90","90","87","86","86","93","92","92","92","86","86","86"
"Jefferson Satellite Facility","102","92","92","91","91","91","91","98","97","96","96","94","94","94"
"Leflore Satellite Facility","102","102","101","101","98","98","98","102","102","102","101","92","92","92"
"Madison Satellite Facility","102","101","102","101","93","93","93","99","98","100","100","95","95","95"
"Noxubee Satellite Facility","92","89","89","89","89","88","88","88","90","90","90","87","87","87"
"Pike Satellite Facility","93","59","59","59","57","57","57","63","60","60","59","58","58","58"
"Quitman Satellite Facility","93","86","89","89","85","85","85","92","92","92","92","89","88","88"
"Rankin Satellite Facility","228","209","211","211","208","208","208","210","209","215","217","211","211","211"
"Simpson Satellite Facility","102","101","98","100","99","99","99","97","97","98","101","97","97","97"
"Washington Satellite Facility","102","92","93","93","90","90","90","100","100","101","101","100","100","100"
"Wilkinson Satellite Facility","102","81","80","80","83","83","83","83","83","83","82","82","82","82"
"Yazoo Satellite Facility","102","100","99","100","94","94","94","98","101","102","100","93","93","94"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,744","2,737","2,731","2,743","2,740","2,739","2,740","2,746","2,743","2,737","2,739","2,736","2,736"
"Bolivar County","250","249","248","248","251","251","251","248","249","250","250","250","250","250"
"Carroll County","250","249","250","249","249","248","248","250","249","248","249","249","248","248"
"George County","250","249","249","248","248","248","247","250","249","249","248","248","247","247"
"Holmes County","250","250","250","250","250","248","248","249","250","250","249","249","249","249"
"Issaquena County","250","248","242","241","248","248","248","248","250","249","249","249","249","249"
"Jefferson County","250","250","250","249","250","250","250","250","250","250","248","248","248","248"
"Kemper County","250","250","249","249","250","250","250","249","249","247","247","250","250","250"
"Leake County","250","251","251","249","250","250","250","250","250","250","250","250","250","250"
"Marion County","250","249","249","249","249","249","249","248","250","250","250","250","249","249"
"Stone County","250","250","250","250","248","248","248","248","250","250","250","249","249","249"
"Winston County","250","249","249","249","250","250","250","250","250","250","247","247","247","247"
"PRIVATE PRISONS","4,960","4,567","4,574","4,571","4,569","4,569","4,568","4,577","4,586","4,585","4,599","4,599","4,598","4,595"
"Delta       (Reopened 04-01-04)","960","952","958","959","950","950","950","949","951","950","955","957","957","957"
"East MS","1,000","865","865","863","863","863","863","863","875","876","875","875","875","875"
"Marshall County","1,000","994","994","993","994","994","994","993","993","988","989","988","988","987"
"Walnut Grove","1,000","762","763","763","768","768","768","778","777","782","789","787","787","786"
"Wilkinson County","1,000","994","994","993","994","994","993","994","990","989","991","992","991","990"
"RESITITUTION CENTERS","18","12","12","12","12","12","12","12","12","12","12","12","12","12"
"Greenwood","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"Hinds                                   (See Note Below)","6","4","4","4","4","4","4","4","4","4","4","4","4","4"
"Pascagoula","6","3","3","3","3","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","4","6","2","65","66","66","2","3","5","5","65","65","65"
"TOTALS","22,098","21,255","21,300","21,298","21,285","21,274","21,267","21,263","21,259","21,297","21,301","21,295","21,284","21,279"
