"Location","Capacity","19-Jan-06","20-Jan-06","21-Jan-06","22-Jan-06","23-Jan-06","24-Jan-06","25-Jan-06","26-Jan-06","27-Jan-06"
"Mississippi State Penitentiary","4,529","4,297","4,293","4,292","4,289","4,305","4,292","4,330","4,306","4,328"
"Central Mississippi Correctional Facility","3,233","3,203","3,209","3,205","3,205","3,193","3,158","3,157","3,180","3,189"
"South Mississippi Correctional Institution","2,306","2,098","2,127","2,124","2,124","2,115","2,126","2,090","2,099","2,087"
"County Jails","2,177","1,607","1,603","1,603","1,603","1,577","1,572","1,595","1,585","1,599"
"COMMUNITY WORK CENTERS","1,816","1,735","1,632","1,628","1,626","1,726","1,739","1,752","1,741","1,659"
"Alcorn Satellite Facility","92","88","80","80","80","88","88","87","86","81"
"Bolivar Satellite Facility","102","97","94","94","94","97","101","101","101","98"
"Forrest Satellite Facility","96","91","81","81","82","91","90","90","90","89"
"George Satellite Facility","102","99","95","93","93","97","98","102","102","94"
"Harrison Satellite Facility","102","97","90","90","90","97","96","97","96","88"
"Jackson Satellite Facility","102","102","94","94","94","98","102","102","98","92"
"Jefferson Satellite Facility","102","97","85","85","85","93","97","96","94","89"
"Leflore Satellite Facility","102","100","90","90","90","102","100","99","99","90"
"Madison Satellite Facility","102","98","95","95","94","96","101","101","100","98"
"Noxubee Satellite Facility","92","90","86","86","86","90","89","92","92","84"
"Pike Satellite Facility","93","77","76","76","75","76","76","81","80","79"
"Quitman Satellite Facility","93","83","79","78","78","80","81","82","81","76"
"Rankin Satellite Facility","228","220","213","213","213","226","226","226","224","218"
"Simpson Satellite Facility","102","97","91","90","90","95","97","97","99","97"
"Washington Satellite Facility","102","99","93","93","92","98","97","101","101","97"
"Wilkinson Satellite Facility","102","98","94","94","94","100","99","98","98","95"
"Yazoo Satellite Facility","102","102","96","96","96","102","101","100","100","94"
"REGIONAL CORRECTIONAL FACILITIES","3,058","3,040","3,031","3,025","3,025","3,039","3,041","3,041","3,045","3,047"
"Bolivar County","294","292","289","287","287","287","294","293","292","293"
"Carroll County","280","280","280","280","280","280","279","279","277","279"
"George County","280","280","280","279","279","279","279","279","277","276"
"Holmes County","280","278","277","277","277","279","279","275","279","279"
"Issaquena County","274","273","271","271","271","274","272","273","273","274"
"Jefferson County","250","248","247","245","245","246","245","249","249","249"
"Kemper County","280","277","277","276","276","280","278","278","280","280"
"Leake County","280","278","278","278","278","280","280","280","280","280"
"Marion County","280","276","275","275","275","276","276","276","279","280"
"Stone County","280","278","278","278","278","280","280","280","280","280"
"Winston County","280","280","279","279","279","278","279","279","279","277"
"PRIVATE PRISONS","5,100","4,770","4,764","4,761","4,760","4,760","4,761","4,758","4,766","4,756"
"Delta","972","971","969","969","968","966","966","964","972","970"
"East Mississippi","1,000","834","831","831","830","830","831","833","833","831"
"Marshall County","1,000","994","992","991","992","992","994","992","990","993"
"Tallahatchie County","128","128","127","127","127","127","128","128","128","128"
"Walnut Grove","1,000","918","923","923","923","922","920","919","922","913"
"Wilkinson County","1,000","925","922","920","920","923","922","922","921","921"
"RESTITUTION CENTERS","16","14","15","17","17","17","15","15","15","14"
"Greenwood","6","4","4","4","4","4","4","4","4","3"
"Hinds","6","5","6","6","6","6","6","6","6","6"
"Pascagoula","4","5","5","7","7","7","5","5","5","5"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","6"
"E-CODE","","4","102","102","101","5","8","7","9","82"
"TOTALS","22,241","20,773","20,781","20,762","20,755","20,742","20,717","20,750","20,751","20,767"
"","","19-Jan-06","20-Jan-06","21-Jan-06","22-Jan-06","23-Jan-06","24-Jan-06","25-Jan-06","26-Jan-06","27-Jan-06"
