"Location","Capacity","28-Apr-11","29-Apr-11","","30-Apr-11 Avg Population"
"Mississippi State Penitentiary","3,356","3,196","3,163","3,162","3,212"
"Central Mississippi Correctional Facility","3,449","3,250","3,243","3,242","3,232"
"South Mississippi Correctional Institution","3,204","3,155","3,168","3,167","3,167"
"County Jails","1,610","1,836","1,846","1,846","1,760"
"COMMUNITY WORK CENTERS","1,848","1,503","1,505","1,502","1,483"
"Alcorn Satellite Facility","92","84","82","82","84"
"Bolivar Satellite Facility","102","69","69","69","74"
"Forrest Satellite Facility","96","77","75","74","82"
"George Satellite Facility","102","99","97","95","91"
"Harrison Satellite Facility","102","80","79","79","80"
"Jackson Satellite Facility","102","89","90","90","86"
"Jefferson Satellite Facility","102","77","77","77","73"
"Leflore Satellite Facility","102","83","83","83","77"
"Madison Satellite Facility","102","96","94","94","95"
"Noxubee Satellite Facility","92","84","83","83","84"
"Pike Satellite Facility","93","82","79","79","85"
"Quitman Satellite Facility","93","65","69","69","64"
"Rankin Satellite Facility","260","185","188","188","185"
"Simpson Satellite Facility","102","92","91","91","91"
"Washington Satellite Facility","102","77","85","85","75"
"Wilkinson Satellite Facility","102","70","75","75","67"
"Yazoo Satellite Facility","102","94","89","89","91"
"REGIONAL CORRECTIONAL FACILITIES","3,763","3,019","3,011","3,008","3,020"
"Bolivar County","294","232","231","231","233"
"Carroll County","280","224","224","224","224"
"Chickasaw County","300","250","250","249","249"
"George County","280","224","222","222","223"
"Holmes County","280","224","224","224","224"
"Issaquena County","274","211","203","203","216"
"Jefferson County","280","225","225","225","223"
"Kemper County","355","284","284","284","284"
"Leake County","280","223","224","224","224"
"Marion County","280","223","224","224","223"
"Stone County","280","224","224","224","223"
"Winston County","280","223","224","223","223"
"Yazoo County","300","252","252","251","251"
"PRIVATE PRISONS","5,972","5,088","5,103","5,102","5,097"
"Delta","972","902","894","894","903"
"East Mississippi","1,500","1,344","1,344","1,344","1,344"
"Marshall County","1,000","939","968","967","925"
"Walnut Grove","1,500","1,015","1,010","1,010","1,040"
"Wilkinson County","1,000","888","887","887","886"
"RESTITUTION CENTERS","16","7","7","7","7"
"Greenwood","6","3","3","3","3"
"Hinds","6","4","4","4","4"
"Pascagoula","4","0","0","0","0"
"GOVERNOR'S MANSION","6","5","5","5","5"
"E-CODE","0","8","13","13","13"
"TOTALS","23,224","21,067","21,064","21,054","20,999"
"","","28-Apr-11","29-Apr-11","30-Apr-11",""
