"Location","Capacity","1-Jan-09","2-Jan-09","3-Jan-09","4-Jan-09","5-Jan-09","6-Jan-09","7-Jan-09","8-Jan-09","9-Jan-09"
"Mississippi State Penitentiary","4,627","3,920","3,915","3,917","3,914","3,957","4,002","4,005","4,070","4,088"
"Central Mississippi Correctional Facility","3,665","3,492","3,486","3,486","3,484","3,477","3,448","3,484","3,438","3,447"
"South Mississippi Correctional Institution","3,204","3,144","3,145","3,144","3,144","3,137","3,137","3,140","3,146","3,128"
"County Jails","1,722","1,829","1,829","1,829","1,829","1,805","1,815","1,809","1,800","1,769"
"COMMUNITY WORK CENTERS","1,848","1,811","1,807","1,802","1,803","1,807","1,795","1,792","1,807","1,709"
"Alcorn Satellite Facility","92","91","91","91","91","91","90","90","90","80"
"Bolivar Satellite Facility","102","99","99","98","98","98","98","99","99","94"
"Forrest Satellite Facility","96","96","96","96","96","95","93","93","95","90"
"George Satellite Facility","102","100","99","99","99","102","101","100","101","100"
"Harrison Satellite Facility","102","101","101","101","101","100","100","102","102","99"
"Jackson Satellite Facility","102","101","101","101","101","102","102","101","102","94"
"Jefferson Satellite Facility","102","97","97","96","96","96","96","95","102","94"
"Leflore Satellite Facility","102","101","100","99","99","99","99","99","99","94"
"Madison Satellite Facility","102","101","100","100","100","101","95","95","102","96"
"Noxubee Satellite Facility","92","88","88","88","88","87","87","86","87","84"
"Pike Satellite Facility","93","92","92","92","92","92","92","92","92","88"
"Quitman Satellite Facility","93","89","89","89","89","90","90","90","91","82"
"Rankin Satellite Facility","260","250","250","250","250","251","251","250","250","246"
"Simpson Satellite Facility","102","100","100","99","100","101","101","100","99","89"
"Washington Satellite Facility","102","101","101","100","100","100","100","100","98","93"
"Wilkinson Satellite Facility","102","102","102","102","102","102","98","98","97","89"
"Yazoo Satellite Facility","102","102","101","101","101","100","102","102","101","97"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,081","3,076","3,071","3,070","3,065","3,051","3,037","3,030","3,019"
"Bolivar County","294","289","289","289","289","288","281","281","278","277"
"Carroll County","280","280","280","280","280","279","277","276","277","277"
"George County","280","280","278","278","278","278","277","276","276","276"
"Holmes County","280","280","280","280","280","280","278","279","279","278"
"Issaquena County","274","274","274","272","271","270","269","270","269","268"
"Jefferson County","280","280","280","280","280","280","280","278","274","274"
"Kemper County","280","280","280","279","279","279","279","278","277","274"
"Leake County","280","279","278","278","278","277","277","273","274","271"
"Marion County","280","280","279","279","279","279","279","273","273","272"
"Stone County","280","280","280","279","279","279","279","279","279","279"
"Winston County","280","279","278","277","277","276","275","274","274","273"
"PRIVATE PRISONS","5,972","5,501","5,498","5,498","5,498","5,498","5,503","5,504","5,498","5,500"
"Delta","972","955","954","954","954","954","958","958","956","955"
"East Mississippi","1,500","1,360","1,359","1,359","1,359","1,361","1,363","1,364","1,365","1,363"
"Marshall County","1,000","983","983","983","983","984","981","981","983","982"
"Walnut Grove","1,500","1,226","1,226","1,226","1,226","1,225","1,225","1,225","1,219","1,223"
"Wilkinson County","1,000","977","976","976","976","974","976","976","975","977"
"RESTITUTION CENTERS","16","11","11","11","11","11","11","11","12","8"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","4","4","4","4","4","4","4","4","2"
"Pascagoula","4","3","3","3","3","3","3","3","4","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","6","7","7","8","3","6","7","9","107"
"TOTALS","24,148","22,801","22,780","22,771","22,767","22,766","22,774","22,795","22,816","22,781"
