"Location","Capacity","28-Sep-11","29-Sep-11","30-Sep-11","Avg Population"
"Mississippi State Penitentiary","3,356","3,068","3,061","3,067","3,168"
"Central Mississippi Correctional Facility","3,449","3,072","3,068","3,051","3,256"
"South Mississippi Correctional Institution","3,256","3,185","3,196","3,201","3,293"
"County Jails","1,616","1,920","1,929","1,939","1,958"
"COMMUNITY WORK CENTERS","1,848","1,510","1,526","1,505","1,576"
"Alcorn Satellite Facility","92","85","85","82","86"
"Bolivar Satellite Facility","102","80","83","82","86"
"Forrest Satellite Facility","96","82","82","83","84"
"George Satellite Facility","102","86","86","86","89"
"Harrison Satellite Facility","102","88","87","85","92"
"Jackson Satellite Facility","102","90","91","89","91"
"Jefferson Satellite Facility","102","73","73","77","78"
"Leflore Satellite Facility","102","86","92","90","89"
"Madison Satellite Facility","102","92","92","91","92"
"Noxubee Satellite Facility","92","77","79","73","81"
"Pike Satellite Facility","93","57","57","55","65"
"Quitman Satellite Facility","93","75","75","74","81"
"Rankin Satellite Facility","260","188","188","190","200"
"Simpson Satellite Facility","102","90","89","88","92"
"Washington Satellite Facility","102","92","92","87","91"
"Wilkinson Satellite Facility","102","87","87","87","90"
"Yazoo Satellite Facility","102","82","88","86","87"
"REGIONAL CORRECTIONAL FACILITIES","4,363","3,449","3,446","3,449","3,430"
"Alcorn County","300","247","247","249","257"
"Bolivar County","294","235","234","233","243"
"Carroll County","280","224","224","224","231"
"Chickasaw County","300","249","250","250","257"
"George County","280","224","224","224","231"
"Holmes County","280","225","224","224","232"
"Issaquena County","274","221","221","220","227"
"Jefferson County","280","224","224","224","232"
"Kemper County","355","285","285","286","294"
"Leake County","280","224","224","224","232"
"Marion County","280","224","223","224","231"
"Stone County","280","224","223","223","231"
"Washington County (Open Sept 21, 2011)","300","168","168","168","42"
"Winston County","280","223","223","224","231"
"Yazoo County","300","252","252","252","259"
"PRIVATE PRISONS","5,972","5,165","5,165","5,167","5,451"
"Delta","972","900","899","899","930"
"East Mississippi","1,500","1,359","1,357","1,354","1,507"
"Marshall County","1,000","999","999","997","1,032"
"Walnut Grove","1,500","1,015","1,018","1,026","1,053"
"Wilkinson County","1,000","892","892","891","928"
"RESTITUTION CENTERS","16","11","11","11","10"
"Greenwood","6","4","4","4","4"
"Hinds","6","3","3","3","4"
"Pascagoula","4","4","4","4","2"
"GOVERNOR'S MANSION","6","5","5","5","5"
"E-CODE","0","14","13","31","23"
"TOTALS","23,882","21,399","21,420","21,426","22,171"
