"11-May-17","Capacity","11-May-17","12-May-17","13-May-17","14-May-17","15-May-17","16-May-17","17-May-17","18-May-17","19-May-17","20-May-17","21-May-17"
"Mississippi State Penitentiary","3590","3358","3362","3,361","3360","3339","3344","3352","3340","3331","3229","3327"
"Central Mississippi Correctional Facility","3,710","3,381","3,332","3,329","3,329","3,293","3,279","3,269","3,290","3,284","3,283","3,281"
"Youthful Offender Unit","58","30","30","30","30","30","30","30","30","29","29","29"
"CMCF TVC","","12","16","16","16","16","16","15","16","15","15","15"
"South Mississippi Correctional Institution","3,082","3,042","3,047","3,046","3,046","3,025","3,037","3,030","3,029","3,012","3,012","3,012"
"County Jails","1,781","1,322","1,332","1,332","1,332","1,342","1,353","1,365","1,334","1,326","1,326","1,326"
"COMMUNITY WORK CENTERS","1,348","965","992","989","985","977","989","988","980","977","976","975"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","84","82","82","82","82","82","82","86","72","71","71"
"George Satellite Facility","102","83","83","83","83","84","84","84","83","99","99","98"
"Harrison Satellite Facility","102","79","79","79","79","77","77","77","77","64","64","64"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","72","76","76","73","72","70","70","70","79","79","79"
"Leflore TVC Support","20","13","13","13","13","12","12","12","12","12","12","12"
"Madison Satellite Facility","102","62","62","62","62","62","62","61","60","60","60","60"
"Noxubee Satellite Facility","92","51","54","54","54","54","54","54","54","52","52","52"
"Pike Satellite Facility","93","86","85","85","85","84","84","83","80","78","78","78"
"Quitman Satellite Facility","93","64","64","64","64","63","68","69","71","70","70","70"
"Rankin Satellite Facility","182","147","155","155","155","154","166","166","166","158","158","158"
"Rankin RID","28","8","8","8","8","8","8","8","8","8","8","8"
"Flowood TVC","50","22","22","21","21","21","20","20","20","21","21","21"
"Simpson TVC","82","73","78","76","75","73","71","71","72","78","78","78"
"Simpson TVC Support","20","16","16","16","16","16","16","16","16","14","14","14"
"Washington Satellite Facility","102","54","64","64","64","61","61","61","53","57","57","57"
"Wilkinson Satellite Facility","102","51","51","51","51","54","54","54","52","55","55","55"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,494","3,800","3,814","3,812","3,811","3,811","3,807","3,800","3,795","3,790","3,790","3,785"
"Alcorn County","300","240","240","240","240","240","239","238","240","240","240","240"
"Bolivar County","369","292","293","293","293","291","292","290","294","294","294","294"
"Carroll County","280","263","262","262","262","264","264","264","262","264","264","264"
"Chickasaw County","310","287","287","287","287","288","288","288","287","288","288","288"
"George County","280","222","224","224","224","224","224","223","223","222","222","222"
"Holmes County","280","224","221","221","221","220","219","218","217","217","217","217"
"Issaquena County","274","270","275","273","273","273","273","273","274","274","274","272"
"Jefferson County","280","274","275","275","274","277","276","276","275","274","274","273"
"Kemper County","355","349","352","352","352","350","350","352","349","347","347","347"
"Leake County","280","194","199","199","199","200","200","199","198","197","197","196"
"Marion County","280","223","223","223","223","223","223","223","223","222","222","222"
"Stone County","326","261","261","261","261","260","259","261","261","261","261","260"
"Washington County","300","240","240","240","240","237","236","236","231","231","231","231"
"Winston County","280","223","223","223","223","223","223","221","223","220","220","220"
"Yazoo County","300","238","239","239","239","241","241","238","238","239","239","239"
"PRIVATE PRISONS","5,972","3,073","3,069","3,069","3,070","3,066","3,063","3,055","3,057","3,057","3,056","3,058"
"Delta","972","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,189","1,188","1,188","1,189","1,186","1,186","1,180","1,185","1,183","1,182","1,184"
"Marshall County","1,000","999","999","999","999","1,000","999","999","997","1,000","1,000","1,000"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","885","882","882","882","880","878","876","875","874","874","874"
"RESTITUTION CENTERS","16","12","12","12","12","11","11","11","11","10","10","10"
"Greenwood","6","5","5","5","5","5","5","5","5","4","4","4"
"Hinds","6","4","4","4","4","3","3","3","3","3","3","3"
"Pascagoula","4","3","3","3","3","3","3","3","3","3","3","3"
"TRANSITIONAL HOUSING","164","71","71","73","73","72","72","61","61","62","62","62"
"Madison","40","16","16","16","16","16","16","16","16","15","15","15"
"Noxubee","34","28","28","30","30","30","30","28","28","30","30","30"
"Rankin/Flowood","8","5","5","5","5","5","5","3","3","3","3","3"
"Washington","42","20","20","20","20","19","19","12","12","12","12","12"
"Wilkinson","40","2","2","2","2","2","2","2","2","2","2","2"
"TOTALS","24,051","19,066","19,077","19,069","19,064","18,982","19,001","18,976","18,943","18,893","18,788","18,880"
