"Location","Capacity","28-Sep-09","29-Sep-09","30-Sep-09","","Avg Population"
"Mississippi State Penitentiary","4,435","3,928","3,927","3,926","","3,927"
"Central Mississippi Correctional Facility","3,665","3,300","3,319","3,310","","3,292"
"South Mississippi Correctional Institution","3,204","2,725","2,726","2,725","","2,736"
"County Jails","1,487","1,568","1,578","1,567","","1,553"
"COMMUNITY WORK CENTERS","1,848","1,503","1,494","1,491","","1,516"
"Alcorn Satellite Facility","92","62","62","62","","59"
"Bolivar Satellite Facility","102","73","72","72","","72"
"Forrest Satellite Facility","96","69","70","70","","70"
"George Satellite Facility","102","77","76","76","","77"
"Harrison Satellite Facility","102","77","77","77","","76"
"Jackson Satellite Facility","102","87","86","84","","89"
"Jefferson Satellite Facility","102","78","78","79","","84"
"Leflore Satellite Facility","102","64","63","64","","66"
"Madison Satellite Facility","102","84","81","81","","88"
"Noxubee Satellite Facility","92","77","77","75","","78"
"Pike Satellite Facility","93","87","87","87","","86"
"Quitman Satellite Facility","93","84","84","88","","86"
"Rankin Satellite Facility","260","243","243","238","","241"
"Simpson Satellite Facility","102","91","92","92","","92"
"Washington Satellite Facility","102","72","72","72","","76"
"Wilkinson Satellite Facility","102","84","84","84","","84"
"Yazoo Satellite Facility","102","94","90","90","","93"
"REGIONAL CORRECTIONAL FACILITIES","3,163","3,004","2,999","3,006","","2,966"
"Bolivar County","294","281","281","281","","280"
"Carroll County","280","263","262","265","","265"
"George County","280","266","265","264","","265"
"Holmes County","280","266","266","266","","266"
"Issaquena County","274","260","260","260","","260"
"Jefferson County","280","266","266","266","","266"
"Kemper County","355","340","339","341","","301"
"Leake County","280","266","266","266","","265"
"Marion County","280","266","264","265","","266"
"Stone County","280","264","264","266","","265"
"Winston County","280","266","266","266","","266"
"PRIVATE PRISONS","5,972","5,548","5,545","5,543","","5,535"
"Delta","972","956","956","957","","956"
"East Mississippi","1,500","1,364","1,364","1,361","","1,362"
"Marshall County","1,000","982","981","983","","983"
"Walnut Grove","1,500","1,269","1,267","1,266","","1,259"
"Wilkinson County","1,000","977","977","976","","976"
"RESTITUTION CENTERS","16","10","10","10","","10"
"Greenwood","6","5","5","5","","5"
"Hinds","6","3","3","3","","3"
"Pascagoula","4","2","2","2","","2"
"GOVERNOR'S MANSION","6","6","6","6","","6"
"E-CODE","0","6","7","5","","20"
"TOTALS","23,796","21,598","21,611","21,589","","21,561"
