"Location","Capacity","28-Nov-06","29-Nov-06","30-Nov-06"
"Mississippi State Penitentiary","4,534","4,527","4,539","4,537"
"Central Mississippi Correctional Facility","3,381","3,336","3,337","3,331"
"South Mississippi Correctional Institution","2,395","2,272","2,265","2,285"
"County Jails","1,786","1,809","1,815","1,817"
"COMMUNITY WORK CENTERS","1,816","1,750","1,758","1,766"
"Alcorn Satellite Facility","92","89","92","92"
"Bolivar Satellite Facility","102","98","97","101"
"Forrest Satellite Facility","96","96","96","96"
"George Satellite Facility","102","100","99","100"
"Harrison Satellite Facility","102","102","102","100"
"Jackson Satellite Facility","102","100","98","100"
"Jefferson Satellite Facility","102","96","101","100"
"Leflore Satellite Facility","102","97","97","99"
"Madison Satellite Facility","102","100","102","101"
"Noxubee Satellite Facility","92","90","92","91"
"Pike Satellite Facility","93","81","80","80"
"Quitman Satellite Facility","93","90","90","91"
"Rankin Satellite Facility","228","214","212","213"
"Simpson Satellite Facility","102","100","100","101"
"Washington Satellite Facility","102","98","99","100"
"Wilkinson Satellite Facility","102","99","99","99"
"Yazoo Satellite Facility","102","100","102","102"
"REGIONAL CORRECTIONAL FACILITIES","3,082","3,071","3,073","3,079"
"Bolivar County","294","293","292","294"
"Carroll County","280","277","277","279"
"George County","280","278","279","279"
"Holmes County","280","279","280","280"
"Issaquena County","274","272","274","275"
"Jefferson County","274","273","273","274"
"Kemper County","280","279","279","278"
"Leake County","280","280","279","280"
"Marion County","280","280","280","280"
"Stone County","280","280","280","280"
"Winston County","280","280","280","280"
"PRIVATE PRISONS","5,100","4,854","4,854","4,845"
"Delta","972","972","969","966"
"East Mississippi","1,000","861","862","860"
"Marshall County","1,000","994","993","995"
"Tallahatchie County","128","128","128","128"
"Walnut Grove","1,000","946","946","942"
"Wilkinson County","1,000","953","956","954"
"RESTITUTION CENTERS","16","11","11","11"
"Greenwood","6","4","4","4"
"Hinds","6","5","5","5"
"Pascagoula","4","2","2","2"
"GOVERNOR'S MANSION","6","5","5","5"
"E-CODE","","3","3","5"
"TOTALS","22,116","21,638","21,660","21,681"
"","","28-Nov-06","29-Nov-06","30-Nov-06"
