"Location","Capacity","10-Aug-10","11-Aug-10","12-Aug-10","13-Aug-10","14-Aug-10","15-Aug-10","16-Aug-10","17-Aug-10","18-Aug-10"
"Mississippi State Penitentiary","4,435","3,452","3,485","3,494","3,495","3,495","3,494","3,480","3,484","3,485"
"Central Mississippi Correctional Facility","3,449","3,228","3,227","3,260","3,263","3,260","3,261","3,262","3,263","3,266"
"South Mississippi Correctional Institution","3,204","3,174","3,169","3,170","3,170","3,166","3,165","3,156","3,173","3,170"
"County Jails","1,485","1,601","1,597","1,582","1,571","1,571","1,571","1,610","1,594","1,611"
"COMMUNITY WORK CENTERS","1,848","1,671","1,665","1,657","1,645","1,640","1,639","1,625","1,621","1,614"
"Alcorn Satellite Facility","92","82","81","78","78","78","77","72","72","72"
"Bolivar Satellite Facility","102","94","94","94","93","91","91","92","91","90"
"Forrest Satellite Facility","96","72","79","79","84","84","84","84","84","81"
"George Satellite Facility","102","102","101","101","98","98","98","98","98","98"
"Harrison Satellite Facility","102","85","84","83","82","80","80","78","77","76"
"Jackson Satellite Facility","102","93","91","91","90","90","90","91","91","91"
"Jefferson Satellite Facility","102","91","91","91","91","91","91","89","89","91"
"Leflore Satellite Facility","102","96","96","93","92","92","92","93","93","92"
"Madison Satellite Facility","102","93","91","90","89","89","89","87","88","88"
"Noxubee Satellite Facility","92","89","89","88","86","85","85","90","90","90"
"Pike Satellite Facility","93","86","85","84","84","84","84","83","83","84"
"Quitman Satellite Facility","93","75","75","79","82","82","82","80","79","79"
"Rankin Satellite Facility","260","230","229","229","229","229","229","224","222","223"
"Simpson Satellite Facility","102","100","100","99","99","99","99","97","97","97"
"Washington Satellite Facility","102","94","94","94","93","93","93","93","93","91"
"Wilkinson Satellite Facility","102","90","87","87","84","84","84","81","80","79"
"Yazoo Satellite Facility","102","99","98","97","91","91","91","93","94","92"
"REGIONAL CORRECTIONAL FACILITIES","3,163","2,523","2,523","2,520","2,523","2,520","2,517","2,519","2,530","2,531"
"Bolivar County","294","234","235","234","233","233","232","231","233","236"
"Carroll County","280","224","224","224","224","224","224","223","224","224"
"George County","280","224","224","224","223","222","221","223","224","224"
"Holmes County","280","224","224","224","223","222","222","224","224","224"
"Issaquena County","274","220","219","219","219","219","219","218","220","220"
"Jefferson County","280","223","223","224","223","223","223","224","224","224"
"Kemper County","355","276","276","275","283","283","283","282","283","283"
"Leake County","280","226","226","226","226","226","226","226","226","224"
"Marion County","280","224","224","222","223","223","223","223","225","225"
"Stone County","280","224","224","224","224","224","223","222","223","223"
"Winston County","280","224","224","224","222","221","221","223","224","224"
"PRIVATE PRISONS","5,972","5,342","5,342","5,343","5,345","5,344","5,339","5,332","5,327","5,333"
"Delta","972","899","898","901","904","904","904","903","901","901"
"East Mississippi","1,500","1,367","1,367","1,366","1,364","1,363","1,361","1,359","1,358","1,359"
"Marshall County","1,000","899","900","900","898","898","898","900","900","900"
"Walnut Grove","1,500","1,224","1,224","1,223","1,221","1,221","1,220","1,221","1,221","1,224"
"Wilkinson County","1,000","953","953","953","958","958","956","949","947","949"
"RESTITUTION CENTERS","16","11","11","11","11","11","10","10","10","10"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","5","5","5","5","5","4","4","4","4"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","12","12","10","19","19","19","6","7","10"
"TOTALS","23,578","21,020","21,037","21,053","21,048","21,032","21,021","21,006","21,015","21,036"
"","","10-Aug-10","11-Aug-10","12-Aug-10","13-Aug-10","14-Aug-10","15-Aug-10","16-Aug-10","17-Aug-10","18-Aug-10"
