"Location","Capacity","18-May-19","19-May-19","20-May-19","21-May-19","22-May-19","23-May-19","24-May-19","25-May-19","26-May-19","27-May-19","28-May-19","29-May-19","30-May-19","31-May-19","Avg Population"
"Mississippi State Penitentiary","3,560","3,248","3,248","3,242","3,222","3,219","3,214","3,221","3,221","3,220","3,219","3,221","3,207","3,209","3,207","3,246"
"Central Mississippi Correctional Facility","4,131","3,709","3,710","3,752","3,791","3,782","3,787","3,784","3,783","3,781","3,782","3,816","3,785","3,766","3,788","3716"
"Youthful Offender Unit","58","28","28","29","29","29","29","29","29","29","29","30","30","30","30","29"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","2,651","2,650","2,647","2,649","2,640","2,649","2,647","2,646","2,645","2,645","2,650","2,645","2,638","2,646","2650"
"County Jails","1,793","1,401","1,401","1,404","1,378","1,342","1,356","1,367","1,367","1,367","1,367","1,310","1,352","1,367","1,358","1402"
"COMMUNITY WORK CENTERS","1,372","1,072","1,071","1,083","1,074","1,083","1,086","1,086","1,084","1,082","1,074","1,053","1,078","1,085","1,038","1070"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","77","77","77","77","77","77","79","79","79","79","76","77","77","70","80"
"Delta TVC","324","295","294","310","306","312","312","310","308","308","298","289","318","315","312","306"
"Forrest Satellite Facility","96","68","68","68","68","66","66","66","66","66","66","65","64","64","57","65"
"George Satellite Facility","102","53","53","53","53","53","53","53","53","53","53","51","50","50","48","48"
"Harrison Satellite Facility","102","54","54","54","54","53","53","53","53","51","53","51","51","51","48","49"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","72","72","71","70","70","70","68","68","68","68","71","69","70","65","69"
"Noxubee Satellite Facility","58","49","49","50","50","50","54","54","54","54","54","54","54","54","46","50"
"Pike Satellite Facility","93","79","79","77","77","77","77","76","76","76","76","77","77","83","83","79"
"Quitman Satellite Facility","93","65","65","65","64","64","64","64","64","64","64","64","63","63","63","61"
"Rankin Satellite Facility","178","157","157","155","155","153","152","155","155","155","155","150","148","153","142","157"
"Rankin RID","28","10","10","10","10","10","10","12","12","12","12","11","11","13","13","10"
"Flowood TVC","50","34","34","34","31","39","39","39","39","39","39","37","37","33","32","37"
"Simpson TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
