"Location","Capacity","1-Apr-14","2-Apr-14","3-Apr-14","4-Apr-14","5-Apr-14","6-Apr-14","7-Apr-14","8-Apr-14","9-Apr-14","10-Apr-14"
"Mississippi State Penitentiary","4,648","3,341","3,344","3,335","3,330","3,328","3,328","3,336","3,327","3,319","3,320"
"Central Mississippi Correctional Facility","3,665","2,990","2,990","2,984","3,005","3,003","3,001","2,987","2,989","2,977","2,961"
"Youthful Offender Unit","42","37","37","37","37","37","37","37","37","37","36"
"South Mississippi Correctional Institution","3,282","3,226","3,216","3,223","3,219","3,214","3,212","3,202","3,204","3,212","3,205"
"County Jails","2,020","1,931","1,917","1,924","1,954","1,944","1,954","1,929","1,925","1,925","1,924"
"COMMUNITY WORK CENTERS","1,848","1,158","1,163","1,180","1,159","1,165","1,153","1,164","1,166","1,173","1,151"
"Alcorn Satellite Facility","92","88","86","87","85","85","85","83","83","87","85"
"Bolivar Satellite Facility","102","47","46","46","46","46","46","45","45","46","46"
"Forrest Satellite Facility","96","52","52","52","52","51","51","51","53","53","53"
"George Satellite Facility","102","62","63","63","63","62","62","63","61","62","62"
"Harrison Satellite Facility","102","49","49","49","49","49","49","47","47","47","46"
"Jackson Satellite Facility","102","43","46","46","46","46","46","47","47","46","43"
"Jefferson Satellite Facility","102","44","44","44","42","42","42","43","42","43","43"
"Leflore Satellite Facility","102","55","56","56","55","54","52","51","51","51","49"
"Madison Satellite Facility","102","54","57","57","59","59","60","62","62","63","63"
"Noxubee Satellite Facility","92","76","77","80","79","79","79","79","79","79","78"
"Pike Satellite Facility","93","89","86","88","87","87","87","87","86","86","85"
"Quitman Satellite Facility","93","68","69","69","69","69","68","68","69","68","67"
"Rankin Satellite Facility","260","200","200","199","194","203","193","204","204","204","200"
"Simpson Satellite Facility","102","89","89","96","92","92","92","94","97","96","94"
"Washington Satellite Facility","102","53","53","52","50","50","50","50","51","51","48"
"Wilkinson Satellite Facility","102","39","40","45","42","42","42","42","42","43","42"
"Yazoo Satellite Facility","102","50","50","51","49","49","49","48","47","48","47"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,419","4,397","4,386","4,389","4,382","4,380","4,397","4,399","4,402","4,405"
"Alcorn County","300","298","296","294","297","297","297","297","298","301","299"
"Bolivar County","369","369","366","365","367","364","363","362","362","368","368"
"Carroll County","280","279","280","279","276","275","275","280","280","280","280"
"Chickasaw County","300","297","296","296","300","300","300","300","299","298","300"
"George County","280","280","270","269","276","276","276","279","279","278","279"
"Holmes County","280","279","278","279","276","276","276","280","280","280","278"
"Issaquena County","274","274","275","274","274","274","273","271","271","270","273"
"Jefferson County","280","280","280","279","277","276","276","276","280","280","280"
"Kemper County","355","353","346","346","346","346","346","354","353","354","354"
"Leake County","280","281","279","279","276","276","276","276","271","272","272"
"Marion County","280","280","280","280","279","279","279","280","280","280","280"
"Stone County","280","280","281","281","279","278","278","278","280","280","280"
"Washington County","300","295","295","294","294","294","294","294","294","293","293"
"Winston County","280","276","275","272","273","273","273","272","272","270","271"
"Yazoo County","300","298","300","299","299","298","298","298","300","298","298"
"PRIVATE PRISONS","5000","3497","3498","3504","3501","3499","3497","3502","3502","3509","3502"
"East Mississippi","1,500","0","0","0","0","0","0","0","0","0","0"
"Marshall County","1,000","1201","1201","1199","1198","1196","1195","1,198","1,199","1,200","1,199"
"Walnut Grove","1,500","995","993","996","995","995","994","993","999","999","998"
"Wilkinson County","1,000","1301","1304","1309","1308","1308","1308","1311","1304","1310","1305"
"RESTITUTION CENTERS","16","11","11","11","11","11","11","12","12","12","12"
"Greenwood","6","6","6","6","6","6","6","4","4","4","4"
"Hinds","6","3","3","3","3","3","3","6","6","6","6"
"Pascagoula","4","2","2","2","2","2","2","2","2","2","2"
"TOTALS","24,959","20,621","20,584","20,595","20,616","20,594","20,584","20,578","20,573","20,578","20,528"
