"Location","Capacity","1-Oct-16","2-Oct-16","3-Oct-16","4-Oct-16","5-Oct-16","6-Oct-16","7-Oct-16","8-Oct-16","9-Oct-16","10-Oct-16"
"Mississippi State Penitentiary","3590","3387","3387","3383","3369","3368","3373","3361","3361","3359","3350"
"Central Mississippi Correctional Facility","3,818","3,520","3,520","3,506","3,558","3,549","3,524","3,513","3,512","3,511","3,532"
"Youthful Offender Unit","58","36","36","36","37","37","37","37","37","37","37"
"CMCF TVC","","27","27","27","28","28","28","27","27","27","27"
"South Mississippi Correctional Institution","3,082","2,989","2,989","2,982","2,979","2,976","2,972","2,965","2,964","2,964","2,960"
"County Jails","1,781","1,375","1,375","1,374","1,346","1,361","1,360","1,356","1,356","1,356","1,339"
"COMMUNITY WORK CENTERS","1,348","976","975","971","969","968","960","972","970","965","963"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","60","60","62","62","62","61","60","60","60","62"
"George Satellite Facility","102","81","81","81","82","82","82","82","82","82","81"
"Harrison Satellite Facility","102","51","51","50","50","50","50","54","54","54","54"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","58","57","53","54","52","51","59","57","55","53"
"Leflore TVC Support","20","13","13","12","12","12","12","11","11","11","12"
"Madison Satellite Facility","102","74","74","74","74","74","73","70","70","70","71"
"Noxubee Satellite Facility","92","77","77","76","76","76","76","73","73","73","73"
"Pike Satellite Facility","93","89","89","88","88","89","88","87","87","85","85"
"Quitman Satellite Facility","93","74","74","73","72","72","72","71","71","70","72"
"Rankin Satellite Facility","182","149","149","153","152","152","150","149","149","149","150"
"Rankin RID","28","6","6","6","6","6","6","6","6","6","5"
"Flowood TVC","50","26","26","25","25","25","25","28","28","28","28"
"Simpson TVC","82","66","66","66","61","61","60","76","76","76","72"
"Simpson TVC Support","20","12","12","12","12","12","12","12","12","12","12"
"Washington Satellite Facility","102","76","76","76","75","75","74","69","69","69","68"
"Wilkinson Satellite Facility","102","64","64","64","68","68","68","65","65","65","65"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,438","3,949","3,949","3,941","3,948","3,951","3,973","3,974","3,974","3,970","3,987"
"Alcorn County","300","269","269","269","270","269","268","268","268","268","267"
"Bolivar County","369","292","292","294","294","293","294","294","294","293","293"
"Carroll County","280","268","268","266","269","267","267","270","270","270","270"
"Chickasaw County","300","269","269","268","269","268","262","269","269","269","269"
"George County","280","268","268","267","267","268","266","263","263","263","262"
"Holmes County","280","268","268","267","269","268","270","270","270","270","270"
"Issaquena County","274","268","268","270","270","270","269","269","269","269","269"
"Jefferson County","280","270","270","269","269","269","270","269","269","268","267"
"Kemper County","355","278","278","276","274","280","277","277","277","276","278"
"Leake County","280","200","200","197","199","200","199","198","198","197","197"
"Marion County","280","266","266","266","269","269","270","268","268","268","266"
"Stone County","280","269","269","270","270","272","277","280","280","280","301"
"Washington County","300","225","225","224","223","223","234","231","231","231","231"
"Winston County","280","269","269","269","268","268","270","269","269","269","269"
"Yazoo County","300","270","270","269","268","267","280","279","279","279","278"
"PRIVATE PRISONS","5,972","3,062","3,062","3,058","3,053","3,050","3,060","3,060","3,060","3,060","3,069"
"Delta","972","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,166","1,166","1,165","1,166","1,164","1,167","1,166","1,166","1,166","1,171"
"Marshall County","1,000","999","999","1,000","998","997","996","999","999","999","999"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","897","897","893","889","889","897","895","895","895","899"
"RESTITUTION CENTERS","16","13","13","10","13","13","13","12","12","12","13"
"Greenwood","6","5","5","4","5","5","5","5","5","5","5"
"Hinds","6","5","5","3","5","5","5","4","4","4","5"
"Pascagoula","4","3","3","3","3","3","3","3","3","3","3"
"TOTALS","24,103","19,334","19,333","19,288","19,300","19,301","19,300","19,277","19,273","19,261","19,277"
"","","1-Oct-16","2-Oct-16","3-Oct-16","4-Oct-16","5-Oct-16","6-Oct-16","7-Oct-16","8-Oct-16","9-Oct-16","10-Oct-16"
