"Location","Capacity","19-Nov-11","20-Nov-11","21-Nov-11","22-Nov-11","23-Nov-11","24-Nov-11","25-Nov-11","26-Nov-11","27-Nov-11"
"Mississippi State Penitentiary","3,356","3,078","3,073","3,066","3,060","3,076","3,076","3,075","3,073","3,071"
"Central Mississippi Correctional Facility","3,449","3,028","3,021","3,022","3,019","2,997","2,995","2,997","2,995","2,995"
"South Mississippi Correctional Institution","3,256","3,183","3,181","3,192","3,175","3,196","3,195","3,192","3,190","3,190"
"County Jails","1,616","1,999","1,999","2,003","2,024","2,039","2,040","2,041","2,041","2,041"
"COMMUNITY WORK CENTERS","1,848","1,493","1,491","1,490","1,502","1,488","1,486","1,484","1,482","1,481"
"Alcorn Satellite Facility","92","84","84","82","81","81","81","81","81","81"
"Bolivar Satellite Facility","102","86","86","86","87","87","87","87","87","87"
"Forrest Satellite Facility","96","80","80","80","83","83","83","83","83","83"
"George Satellite Facility","102","81","81","82","83","83","83","83","83","83"
"Harrison Satellite Facility","102","79","79","79","82","82","82","82","82","82"
"Jackson Satellite Facility","102","84","84","82","84","84","84","84","84","83"
"Jefferson Satellite Facility","102","76","75","74","76","75","75","75","75","75"
"Leflore Satellite Facility","102","90","90","90","92","92","92","92","92","92"
"Madison Satellite Facility","102","94","94","94","92","83","83","83","83","83"
"Noxubee Satellite Facility","92","78","78","79","79","78","78","78","78","78"
"Pike Satellite Facility","93","61","61","62","62","60","60","60","59","59"
"Quitman Satellite Facility","93","67","66","66","66","66","66","64","64","64"
"Rankin Satellite Facility","260","191","191","191","189","194","194","194","193","193"
"Simpson Satellite Facility","102","92","92","91","91","90","90","90","90","90"
"Washington Satellite Facility","102","90","90","90","92","92","91","91","91","91"
"Wilkinson Satellite Facility","102","73","73","75","76","73","73","73","73","73"
"Yazoo Satellite Facility","102","87","87","87","87","85","84","84","84","84"
"REGIONAL CORRECTIONAL FACILITIES","4,363","3,518","3,514","3,515","3,524","3,520","3,518","3,509","3,509","3,509"
"Alcorn County","300","249","249","249","249","248","248","247","247","247"
"Bolivar County","294","235","235","235","236","236","236","235","235","235"
"Carroll County","280","224","224","223","224","223","223","223","223","223"
"Chickasaw County","300","247","247","250","249","249","249","248","248","248"
"George County","280","223","223","223","222","224","224","223","223","223"
"Holmes County","280","224","224","222","224","224","224","224","224","224"
"Issaquena County","274","221","221","221","224","223","223","222","222","222"
"Jefferson County","280","224","224","224","224","224","224","224","224","224"
"Kemper County","355","283","283","283","284","284","284","283","283","283"
"Leake County","280","223","222","222","222","224","223","223","223","223"
"Marion County","280","223","223","224","224","225","225","224","224","224"
"Stone County","280","226","226","226","226","226","225","225","225","225"
"Washington County","300","242","241","241","240","237","237","237","237","237"
"Winston County","280","224","223","223","224","222","222","222","222","222"
"Yazoo County","300","250","249","249","252","251","251","249","249","249"
"PRIVATE PRISONS","5,972","5,137","5,135","5,131","5,129","5,134","5,130","5,129","5,128","5,126"
"Delta","972","900","899","899","897","897","897","897","897","897"
"East Mississippi","1,500","1,343","1,342","1,341","1,339","1,340","1,338","1,338","1,337","1,336"
"Marshall County","1,000","1,000","1,000","999","998","1,000","1,000","1,000","1,000","1,000"
"Walnut Grove","1,500","1,009","1,009","1,007","1,007","1,009","1,008","1,008","1,008","1,008"
"Wilkinson County","1,000","885","885","885","888","888","887","886","886","885"
"RESTITUTION CENTERS","16","9","9","10","10","10","10","10","10","10"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","3","3","4","4","4","4","4","4","4"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","3","4","4","4","5","5","5","4","4"
"TOTALS","23,882","21,453","21,432","21,438","21,452","21,470","21,460","21,447","21,437","21,432"
"","","19-Nov-11","20-Nov-11","21-Nov-11","22-Nov-11","23-Nov-11","24-Nov-11","25-Nov-11","26-Nov-11","27-Nov-11"
