"Location","Capacity","19-Apr-16","20-Apr-16","21-Apr-16","22-Apr-16","23-Apr-16","24-Apr-16","","25-Apr-16 26-Apr-16 27-Apr-16",""
"Mississippi State Penitentiary","3,590","3,350","3,351","3,350","3,350","3,350","3,350","3,373","3,372","3,372"
"Central Mississippi Correctional Facility","3,506","2,818","2,819","2,818","2,818","2,818","2,818","2,845","2,844","2,844"
"Youthful Offender Unit","58","31","32","31","31","31","31","31","30","30"
"CMCF TVC","","1","1","2","2","2","2","4","4","4"
"South Mississippi Correctional Institution","3,082","2,971","2,971","2,972","2,972","2,972","2,972","3,001","3,000","3,000"
"County Jails","1,986","1,476","1,476","1,477","1,477","1,477","1,477","1,468","1,492","1,519"
"COMMUNITY WORK CENTERS","1,848","1,210","1,210","1,226","1,226","1,226","1,226","1,165","1,161","1,161"
"Alcorn Satellite Facility","92","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","102","31","31","32","32","32","32","28","27","27"
"Forrest Satellite Facility","96","81","81","82","82","82","82","81","80","80"
"George Satellite Facility","102","87","87","88","88","88","88","90","89","89"
"Harrison Satellite Facility","102","84","84","85","85","85","85","76","75","75"
"Jackson Satellite Facility","102","23","23","24","24","24","24","0","0","0"
"Jefferson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Lefore TVC Support","20","0","0","0","0","0","0","19","18","18"
"Lefore TVC","82","76","76","77","77","77","77","73","72","72"
"Madison Satellite Facility","102","90","90","91","91","91","91","90","89","89"
"Noxubee Satellite Facility","92","89","89","90","90","90","90","83","82","82"
"Pike Satellite Facility","93","86","86","87","87","87","87","82","81","81"
"Quitman Satellite Facility","93","92","92","93","93","93","93","87","86","86"
"Rankin Satellite Facility","260","175","175","176","176","176","176","173","173","173"
"Flowood TVC","","33","33","34","34","34","34","28","28","28"
"Simpson TVC support","20","86","86","87","87","87","87","17","16","16"
"Simpson TVC","82","7","7","8","8","8","8","77","86","86"
"Washington Satellite Facility","102","98","98","99","99","99","99","96","95","95"
"Wilkinson Satellite Facility","102","72","72","73","73","73","73","65","64","64"
"Yazoo Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,378","3,404","3,415","3,404","3,405","3,400","3,395","3,395","3,387","3,393"
"Alcorn County","240","241","241","241","242","241","241","237","236","236"
"Bolivar County","369","291","291","291","291","290","290","290","289","289"
"Carroll County","280","240","240","240","240","239","239","238","237","237"
"Chickasaw County","300","241","241","241","241","240","240","240","239","239"
"George County","280","199","200","199","199","198","198","200","199","199"
"Holmes County","280","199","200","199","199","199","198","199","198","198"
"Issaquena County","274","239","240","239","239","239","238","239","238","238"
"Jefferson County","280","240","241","240","240","240","239","237","236","236"
"Kemper County","355","258","259","258","258","258","257","258","258","259"
"Leake County","280","198","199","198","198","198","197","198","198","199"
"Marion County","280","201","202","201","201","201","201","201","201","202"
"Stone County","280","198","199","198","198","198","198","200","200","201"
"Washington County","300","231","232","231","231","231","231","225","225","225"
"Winston County","280","192","193","192","192","192","192","194","194","195"
"Yazoo County","300","236","237","236","236","236","236","239","239","240"
"PRIVATE PRISONS","5,972","3,918","3,922","3,918","3,918","3,918","3,918","3,923","3,923","3,927"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,111","1,112","1,111","1,111","1,111","1,111","1,100","1,100","1,101"
"Marshall County","1,000","993","994","993","993","993","993","999","999","1,000"
"Walnut Grove","1,500","918","919","918","918","918","918","931","931","932"
"Wilkinson County","1,000","896","897","896","896","896","896","893","893","894"
"RESTITUTION CENTERS","16","6","9","7","7","7","7","16","16","17"
"Greenwood","6","3","4","3","3","3","3","6","6","7"
"Hinds","6","3","4","3","3","3","3","6","6","6"
"Pascagoula","4","0","1","1","1","1","1","4","4","4"
"TOTALS","24,436","19,185","19,206","19,205","19,206","19,201","19,196","19,221","19,229","19,267"
"","","19-Apr-16","20-Apr-16","21-Apr-16","22-Apr-16","23-Apr-16","24-Apr-16","","25-Apr-16 26-Apr-16 27-Apr-16",""
