"Location","Capacity","28-Jul-06","29-Jul-06","30-Jul-06","31-Jul-06"
"Mississippi State Penitentiary","4,529","4,488","4,486","4,483","4,472"
"Central Mississippi Correctional Facility","3,293","3,221","3,221","3,218","3,239"
"South Mississippi Correctional Institution","2,075","2,023","2,024","2,022","2,021"
"County Jails","1,953","1,760","1,760","1,760","1,767"
"COMMUNITY WORK CENTERS","1,816","1,755","1,755","1,755","1,788"
"Alcorn Satellite Facility","92","88","88","88","91"
"Bolivar Satellite Facility","102","102","102","102","102"
"Forrest Satellite Facility","96","94","94","94","95"
"George Satellite Facility","102","99","99","99","101"
"Harrison Satellite Facility","102","100","100","100","101"
"Jackson Satellite Facility","102","99","99","99","100"
"Jefferson Satellite Facility","102","99","99","99","101"
"Leflore Satellite Facility","102","98","98","98","102"
"Madison Satellite Facility","102","99","99","99","101"
"Noxubee Satellite Facility","92","87","87","87","90"
"Pike Satellite Facility","93","91","92","92","93"
"Quitman Satellite Facility","93","84","84","84","86"
"Rankin Satellite Facility","228","217","217","217","225"
"Simpson Satellite Facility","102","100","99","99","99"
"Washington Satellite Facility","102","98","98","98","100"
"Wilkinson Satellite Facility","102","101","101","101","100"
"Yazoo Satellite Facility","102","99","99","99","101"
"REGIONAL CORRECTIONAL FACILITIES","3,058","3,043","3,040","3,036","3,042"
"Bolivar County","294","292","291","291","289"
"Carroll County","280","280","279","278","278"
"George County","280","275","275","275","278"
"Holmes County","280","276","276","276","280"
"Issaquena County","274","277","277","276","276"
"Jefferson County","250","249","249","249","249"
"Kemper County","280","278","278","277","277"
"Leake County","280","281","280","279","279"
"Marion County","280","279","279","279","278"
"Stone County","280","280","280","280","280"
"Winston County","280","276","276","276","278"
"PRIVATE PRISONS","5,100","4,839","4,834","4,830","4,830"
"Delta","972","962","960","960","963"
"East Mississippi","1,000","859","858","858","858"
"Marshall County","1,000","995","995","994","992"
"Tallahatchie County","128","128","128","128","128"
"Walnut Grove","1,000","952","950","948","949"
"Wilkinson County","1,000","943","943","942","940"
"RESTITUTION CENTERS","16","15","15","15","15"
"Greenwood","6","6","6","6","6"
"Hinds","6","6","6","6","6"
"Pascagoula","4","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5"
"E-CODE","","39","39","40","7"
"TOTALS","21,846","21,188","21,179","21,164","21,186"
