"Location","Capacity","11-Mar-17","12-Mar-17","13-Mar-17","14-Mar-17","15-Mar-17","16-Mar-17","17-Mar-17","18-Mar-17","19-Mar-17","20-Mar-17","21-Mar-17"
"Mississippi State Penitentiary","3590","3360","3360","3,357","3362","3364","3361","3351","3351","3348","3351","3341"
"Central Mississippi Correctional Facility","3,882","3,404","3,402","3,421","3,447","3,429","3,435","3,418","3,420","3,417","3,434","3,448"
"Youthful Offender Unit","58","30","30","30","30","30","29","29","29","29","29","30"
"CMCF TVC","","14","14","17","17","9","9","9","9","9","10","10"
"South Mississippi Correctional Institution","3,082","3,066","3,064","3,065","3,059","3,067","3,069","3,068","3,066","3,065","3,064","3,062"
"County Jails","1,781","1,353","1,353","1,368","1,353","1,337","1,330","1,330","1,338","1,338","1,363","1,363"
"COMMUNITY WORK CENTERS","1,348","1,012","1,011","1,010","1,000","998","995","1,010","1,008","1,006","1,010","1,007"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","71","71","70","70","69","69","66","66","65","67","66"
"George Satellite Facility","102","80","80","79","76","75","75","72","72","72","73","73"
"Harrison Satellite Facility","102","72","72","72","75","74","73","73","73","73","72","72"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","63","63","61","60","59","60","71","71","70","68","68"
"Leflore TVC Support","20","10","10","10","10","10","10","11","10","10","10","10"
"Madison Satellite Facility","102","86","86","88","88","87","87","87","86","86","85","86"
"Noxubee Satellite Facility","92","85","85","85","85","84","84","80","80","80","81","81"
"Pike Satellite Facility","93","78","78","77","78","78","79","81","81","81","82","82"
"Quitman Satellite Facility","93","58","58","58","55","60","60","64","64","64","64","64"
"Rankin Satellite Facility","182","159","159","163","163","164","164","164","164","164","163","163"
"Rankin RID","28","5","5","5","5","5","5","5","5","5","5","5"
"Flowood TVC","50","22","21","19","19","18","18","21","21","21","21","21"
"Simpson TVC","82","63","63","63","62","62","61","71","71","71","71","70"
"Simpson TVC Support","20","12","12","12","12","11","11","11","11","11","11","11"
"Washington Satellite Facility","102","80","80","79","76","76","75","71","71","71","74","72"
"Wilkinson Satellite Facility","102","68","68","69","66","66","64","62","62","62","63","63"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,494","3,817","3,817","3,830","3,809","3,838","3,838","3,830","3,828","3,828","3,820","3,816"
"Alcorn County","300","237","237","240","240","239","237","237","237","237","236","240"
"Bolivar County","369","291","291","293","292","294","294","294","294","294","294","294"
"Carroll County","280","264","264","264","264","264","264","264","263","263","263","263"
"Chickasaw County","310","287","287","288","288","288","288","288","288","288","287","286"
"George County","280","220","220","223","222","223","223","222","222","222","221","220"
"Holmes County","280","224","224","223","221","224","223","223","223","223","222","224"
"Issaquena County","274","273","273","273","271","274","273","273","272","272","274","274"
"Jefferson County","280","277","277","275","274","280","279","276","276","276","276","276"
"Kemper County","355","352","352","352","351","353","351","350","350","350","347","346"
"Leake County","280","200","200","199","197","199","199","199","199","199","199","199"
"Marion County","280","234","234","234","234","235","234","233","233","233","231","231"
"Stone County","326","281","281","281","281","280","280","280","280","280","280","280"
"Washington County","300","221","221","221","221","221","229","229","229","229","229","228"
"Winston County","280","222","222","233","222","224","224","224","224","224","223","222"
"Yazoo County","300","234","234","231","231","240","240","238","238","238","238","233"
"PRIVATE PRISONS","5,972","3,029","3,030","3,028","3,027","3,025","3,020","3,016","3,015","3,015","3,012","3,030"
"Delta","972","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,131","1,132","1,131","1,131","1,130","1,128","1,125","1,125","1,125","1,124","1,142"
"Marshall County","1,000","1,000","1,000","1,000","1,000","999","998","998","997","997","996","996"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","898","898","897","896","896","894","893","893","893","892","892"
"RESTITUTION CENTERS","16","14","14","14","16","16","14","14","14","14","14","14"
"","","4","4","4","6","6","6","6","6","6","6","6"
"","","6","6","6","6","6","5","5","5","5","5","5"
"","","4","4","4","4","4","3","3","3","3","3","3"
"TOTALS","24,223","19,099","19,095","19,140","19,120","19,113","19,100","19,075","19,078","19,069","19,107","19,121"
