"Location","Capacity","1-Nov-11","2-Nov-11","3-Nov-11","4-Nov-11","5-Nov-11","6-Nov-11","7-Nov-11","8-Nov-11","9-Nov-11"
"Mississippi State Penitentiary","3,356","3,050","3,048","3,051","3,057","3,050","3,048","3,050","3,048","3,058"
"Central Mississippi Correctional Facility","3,449","3,090","3,069","3,073","3,088","3,088","3,088","3,095","3,095","3,110"
"South Mississippi Correctional Institution","3,256","3,185","3,195","3,192","3,196","3,196","3,194","3,192","3,205","3,192"
"County Jails","1,616","2,006","2,009","2,036","2,017","2,017","2,017","2,049","2,057","2,053"
"COMMUNITY WORK CENTERS","1,848","1,486","1,493","1,507","1,480","1,480","1,478","1,498","1,491","1,471"
"Alcorn Satellite Facility","92","89","89","89","79","79","79","88","88","87"
"Bolivar Satellite Facility","102","84","85","86","84","84","84","87","87","86"
"Forrest Satellite Facility","96","77","79","79","78","79","78","77","77","77"
"George Satellite Facility","102","81","80","80","79","79","79","78","76","77"
"Harrison Satellite Facility","102","81","78","78","79","78","78","78","78","76"
"Jackson Satellite Facility","102","86","86","86","84","84","84","83","82","82"
"Jefferson Satellite Facility","102","74","75","69","70","70","70","72","71","69"
"Leflore Satellite Facility","102","91","91","92","92","92","92","90","90","89"
"Madison Satellite Facility","102","86","86","92","91","91","91","92","92","90"
"Noxubee Satellite Facility","92","72","72","79","79","79","79","79","79","79"
"Pike Satellite Facility","93","66","65","65","65","65","65","65","66","65"
"Quitman Satellite Facility","93","69","69","70","70","70","70","69","69","69"
"Rankin Satellite Facility","260","194","194","194","194","194","194","195","195","195"
"Simpson Satellite Facility","102","89","92","92","90","90","89","91","90","90"
"Washington Satellite Facility","102","89","89","91","87","87","87","89","87","86"
"Wilkinson Satellite Facility","102","74","79","79","76","76","76","79","78","73"
"Yazoo Satellite Facility","102","84","84","86","83","83","83","86","86","81"
"REGIONAL CORRECTIONAL FACILITIES","4,363","3,477","3,489","3,481","3,490","3,489","3,489","3,490","3,491","3,495"
"Alcorn County","300","246","250","247","248","248","248","251","251","250"
"Bolivar County","294","234","234","232","235","235","235","234","234","234"
"Carroll County","280","222","223","223","223","223","223","223","223","224"
"Chickasaw County","300","247","250","249","249","249","249","249","250","250"
"George County","280","223","224","224","224","224","224","224","224","224"
"Holmes County","280","224","224","224","224","224","224","224","224","224"
"Issaquena County","274","217","219","219","219","219","219","219","219","219"
"Jefferson County","280","224","224","224","224","224","224","224","222","222"
"Kemper County","355","280","278","280","280","280","280","280","280","284"
"Leake County","280","222","225","224","224","224","224","224","223","224"
"Marion County","280","224","224","222","226","226","226","226","226","226"
"Stone County","280","224","224","224","224","224","224","224","224","224"
"Washington County","300","215","214","214","214","214","214","213","216","215"
"Winston County","280","224","225","225","225","225","225","224","224","224"
"Yazoo County","300","251","251","250","251","250","250","251","251","251"
"PRIVATE PRISONS","5,972","5,176","5,188","5,184","5,178","5,176","5,175","5,167","5,168","5,166"
"Delta","972","901","901","900","899","899","899","899","901","900"
"East Mississippi","1,500","1,358","1,357","1,356","1,356","1,354","1,354","1,350","1,349","1,349"
"Marshall County","1,000","997","1,000","1,000","1,000","1,000","999","1,000","999","998"
"Walnut Grove","1,500","1,025","1,033","1,035","1,031","1,031","1,031","1,027","1,029","1,029"
"Wilkinson County","1,000","895","897","893","892","892","892","891","890","890"
"RESTITUTION CENTERS","16","10","10","10","10","10","10","10","10","10"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","3","3","4","34","33","32","3","4","5"
"TOTALS","23,882","21,488","21,509","21,543","21,555","21,544","21,536","21,559","21,574","21,565"
