"Location","Capacity","11-Feb-17","12-Feb-17","13-Feb-17","14-Feb-17","15-Feb-17","16-Feb-17","17-Feb-17","18-Feb-17","19-Feb-17","20-Feb-17","21-Feb-17"
"Mississippi State Penitentiary","3590","3365","3365","3,357","3364","3359","3346","3353","3352","3352","3348","3353"
"Central Mississippi Correctional Facility","3,882","3,379","3,378","3,383","3,388","3,394","3,418","3,406","3,406","3,405","3,402","3,399"
"Youthful Offender Unit","58","26","26","25","25","25","26","26","26","26","26","26"
"CMCF TVC","","3","3","3","3","3","5","14","14","14","14","14"
"South Mississippi Correctional Institution","3,082","3,066","3,066","3,069","3,064","3,074","3,068","3,062","3,061","3,060","3,057","3,063"
"County Jails","1,781","1,360","1,360","1,369","1,368","1,368","1,390","1,411","1,411","1,411","1,416","1,424"
"COMMUNITY WORK CENTERS","1,348","953","952","960","953","954","962","970","965","963","976","973"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","59","59","61","61","60","60","59","59","59","59","59"
"George Satellite Facility","102","69","69","69","69","65","66","64","64","64","66","66"
"Harrison Satellite Facility","102","59","59","59","59","65","64","62","62","62","66","66"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","67","66","65","64","59","58","68","67","66","65","63"
"Leflore TVC Support","20","5","5","5","6","6","6","6","6","6","6","8"
"Madison Satellite Facility","102","76","76","77","77","75","78","78","78","78","78","78"
"Noxubee Satellite Facility","92","88","88","89","89","89","90","87","87","87","90","90"
"Pike Satellite Facility","93","78","78","80","80","80","80","77","77","77","79","79"
"Quitman Satellite Facility","93","62","62","65","64","64","69","68","68","68","68","68"
"Rankin Satellite Facility","182","163","163","164","162","163","164","163","163","163","164","164"
"Rankin RID","28","2","2","2","2","2","2","2","2","2","2","2"
"Flowood TVC","50","25","25","24","22","22","21","21","21","21","21","21"
"Simpson TVC","82","57","57","56","54","55","55","66","66","65","65","63"
"Simpson TVC Support","20","13","13","13","13","13","13","13","13","13","13","13"
"Washington Satellite Facility","102","68","68","68","68","73","73","73","71","71","71","70"
"Wilkinson Satellite Facility","102","62","62","63","63","63","63","63","61","61","63","63"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,494","3,768","3,768","3,760","3,769","3,769","3,765","3,753","3,751","3,750","3,747","3,753"
"Alcorn County","300","240","240","240","240","240","240","240","240","240","239","239"
"Bolivar County","369","294","294","294","293","294","292","293","293","293","293","292"
"Carroll County","280","224","224","224","224","224","224","224","224","224","224","224"
"Chickasaw County","310","247","247","247","247","248","248","248","248","248","248","248"
"George County","280","221","221","220","223","223","223","223","222","222","222","223"
"Holmes County","280","224","224","224","224","224","224","226","226","226","226","226"
"Issaquena County","274","274","274","274","273","273","274","272","271","271","270","270"
"Jefferson County","280","278","278","277","279","279","279","279","279","278","278","277"
"Kemper County","355","348","348","347","348","347","348","342","342","342","342","350"
"Leake County","280","199","199","198","199","200","199","199","199","199","199","199"
"Marion County","280","244","244","244","244","243","243","242","242","242","242","240"
"Stone County","326","301","301","299","300","299","298","298","298","298","298","299"
"Washington County","300","214","214","214","213","213","212","210","210","210","209","208"
"Winston County","280","219","219","218","222","222","222","218","218","218","218","221"
"Yazoo County","300","241","241","240","240","240","239","239","239","239","239","237"
"PRIVATE PRISONS","5,972","3,070","3,069","3,070","3,067","3,070","3,067","3,068","3,065","3,064","3,057","3,062"
"Delta","972","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,175","1,175","1,177","1,176","1,175","1,173","1,172","1,172","1,172","1,169","1,175"
"Marshall County","1,000","999","998","1,000","999","998","998","1,000","1,000","1,000","997","996"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","896","896","893","892","897","896","896","893","892","891","891"
"RESTITUTION CENTERS","16","13","13","13","13","13","13","13","13","13","13","11"
"Greenwood","6","4","4","4","4","4","4","4","4","4","4","4"
"Hinds","6","6","6","6","6","6","6","6","6","6","6","4"
"Pascagoula","4","3","3","3","3","3","3","3","3","3","3","3"
"TOTALS","24,223","19,003","19,000","19,009","19,014","19,029","19,060","19,076","19,064","19,058","19,056","19,078"
