"Location","Capacity","10-Sep-08","11-Sep-08","12-Sep-08","13-Sep-08","14-Sep-08","15-Sep-08","16-Sep-08","17-Sep-08","18-Sep-08"
"Mississippi State Penitentiary","4,527","4,184","4,187","4,196","4,194","4,193","4,182","4,166","4,158","4,142"
"Central Mississippi Correctional Facility","3,665","3,600","3,591","3,569","3,570","3,570","3,561","3,538","3,552","3,548"
"South Mississippi Correctional Institution","3,204","3,078","3,068","3,074","3,074","3,072","3,061","3,068","3,080","3,088"
"County Jails","1,690","2,236","2,232","2,231","2,231","2,231","2,230","2,223","2,205","2,212"
"COMMUNITY WORK CENTERS","1,848","1,782","1,782","1,742","1,741","1,742","1,790","1,802","1,802","1,816"
"Alcorn Satellite Facility","92","91","91","85","84","84","91","91","89","92"
"Bolivar Satellite Facility","102","98","101","99","99","99","100","100","100","98"
"Forrest Satellite Facility","96","95","94","90","90","90","92","92","96","96"
"George Satellite Facility","102","101","100","97","97","97","100","101","102","101"
"Harrison Satellite Facility","102","97","96","95","95","95","95","95","94","101"
"Jackson Satellite Facility","102","101","101","101","101","101","101","102","102","102"
"Jefferson Satellite Facility","102","95","102","98","98","98","100","100","100","102"
"Leflore Satellite Facility","102","100","102","99","99","99","102","102","102","101"
"Madison Satellite Facility","102","97","95","100","100","100","101","101","101","101"
"Noxubee Satellite Facility","92","90","88","86","86","86","88","89","89","89"
"Pike Satellite Facility","93","92","92","89","89","89","91","89","90","90"
"Quitman Satellite Facility","93","92","91","88","88","88","91","93","91","92"
"Rankin Satellite Facility","260","247","246","237","237","238","246","246","246","245"
"Simpson Satellite Facility","102","95","94","93","93","93","95","102","101","101"
"Washington Satellite Facility","102","102","101","101","101","101","102","102","102","101"
"Wilkinson Satellite Facility","102","97","96","95","95","95","96","96","96","102"
"Yazoo Satellite Facility","102","92","92","89","89","89","99","101","101","102"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,082","3,086","3,087","3,083","3,082","3,086","3,082","3,081","3,080"
"Bolivar County","294","293","293","293","293","293","294","294","294","294"
"Carroll County","280","280","281","281","279","279","279","276","277","279"
"George County","280","279","280","280","280","280","280","281","281","280"
"Holmes County","280","280","280","280","280","280","280","280","280","280"
"Issaquena County","274","274","275","275","275","274","274","274","273","272"
"Jefferson County","280","279","280","281","280","280","280","278","277","275"
"Kemper County","280","279","280","280","280","280","280","279","280","280"
"Leake County","280","279","278","280","280","280","280","280","280","280"
"Marion County","280","279","280","280","280","280","281","281","281","281"
"Stone County","280","280","280","278","278","278","278","280","280","279"
"Winston County","280","280","279","279","278","278","280","279","278","280"
"PRIVATE PRISONS","5,472","4,876","4,902","4,895","4,890","4,888","4,910","4,944","4,944","4,957"
"Delta","972","972","972","970","969","969","970","971","971","970"
"East Mississippi","1,000","895","895","894","892","891","893","894","898","897"
"Marshall County","1,000","1,000","1,000","1,000","999","998","998","999","998","997"
"Walnut Grove","1,500","1,026","1,048","1,044","1,044","1,044","1,059","1,089","1,085","1,102"
"Wilkinson County","1,000","983","987","987","986","986","990","991","992","991"
"RESTITUTION CENTERS","16","11","11","9","9","9","11","11","11","11"
"Greenwood","6","6","6","5","5","5","6","6","6","6"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","1","1","0","0","0","1","1","1","1"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","11","11","55","53","52","8","5","5","6"
"TOTALS","23,516","22,866","22,876","22,864","22,851","22,845","22,845","22,845","22,844","22,866"
"","","10-Sep-08","11-Sep-08","12-Sep-08","13-Sep-08","14-Sep-08","15-Sep-08","16-Sep-08","17-Sep-08","18-Sep-08"
