"Location","Capacity","28-Jan-10","29-Jan-10","30-Jan-10","31-Jan-10","","Avg Population"
"Mississippi State Penitentiary","4,435","3,908","3,914","3,910","3,908","","3,911"
"Central Mississippi Correctional Facility","3,665","3,066","3,030","3,029","3,031","","3,148"
"South Mississippi Correctional Institution 3,204","","3,075","3,076","3,076","3,073","","3,050"
"County Jails","1,466","1,572","1,581","1,581","1,581","","1,560"
"COMMUNITY WORK CENTERS","1,848","1,745","1,724","1,722","1,720","","1,702"
"Alcorn Satellite Facility","92","90","90","90","90","","83"
"Bolivar Satellite Facility","102","90","89","89","89","","92"
"Forrest Satellite Facility","96","94","92","92","92","","90"
"George Satellite Facility","102","93","90","89","89","","90"
"Harrison Satellite Facility","102","100","99","99","99","","99"
"Jackson Satellite Facility","102","97","93","93","93","","94"
"Jefferson Satellite Facility","102","96","99","99","99","","95"
"Leflore Satellite Facility","102","90","90","90","90","","92"
"Madison Satellite Facility","102","102","102","101","101","","96"
"Noxubee Satellite Facility","92","88","83","83","83","","86"
"Pike Satellite Facility","93","93","93","93","93","","89"
"Quitman Satellite Facility","93","92","93","93","91","","90"
"Rankin Satellite Facility","260","230","225","225","225","","235"
"Simpson Satellite Facility","102","100","98","98","98","","94"
"Washington Satellite Facility","102","96","93","93","93","","93"
"Wilkinson Satellite Facility","102","97","95","95","95","","91"
"Yazoo Satellite Facility","102","97","100","100","100","","94"
"REGIONAL CORRECTIONAL FACILITIES","3,163","2,727","2,731","2,731","2,729","","2,740"
"Bolivar County","294","252","253","253","253","","256"
"Carroll County","280","241","241","241","241","","242"
"George County","280","241","241","241","241","","241"
"Holmes County","280","241","242","242","242","","242"
"Issaquena County","274","236","237","237","237","","238"
"Jefferson County","280","242","241","241","241","","243"
"Kemper County","355","307","309","309","308","","310"
"Leake County","280","241","242","242","242","","242"
"Marion County","280","242","241","241","241","","242"
"Stone County","280","242","242","242","241","","242"
"Winston County","280","242","242","242","242","","244"
"PRIVATE PRISONS","5,972","5,213","5,212","5,211","5,207","","5,235"
"Delta","972","898","895","895","894","","898"
"East Mississippi","1,500","1,267","1,267","1,266","1,264","","1,294"
"Marshall County","1,000","898","900","900","899","","900"
"Walnut Grove","1,500","1,197","1,200","1,200","1,200","","1,192"
"Wilkinson County","1,000","953","950","950","950","","950"
"RESTITUTION CENTERS","16","10","10","10","10","","10"
"Greenwood","6","6","6","6","6","","6"
"Hinds","6","3","3","3","3","","3"
"Pascagoula","4","1","1","1","1","","1"
"GOVERNOR'S MANSION","6","6","6","6","6","","6"
"E-CODE","0","19","42","42","41","","36"
"TOTALS","23,775","21,341","21,326","21,318","21,306","","21,398"
"","","28-Jan-10","29-Jan-10","30-Jan-10","31-Jan-10","",""
