"Location","Capacity","28-Oct-11","29-Oct-11","30-Oct-11","","31-Oct-11 Avg Population"
"Mississippi State Penitentiary","3,356","3,062","3,057","3,056","3,045","3,055"
"Central Mississippi Correctional Facility","3,449","3,071","3,071","3,068","3,091","3,037"
"South Mississippi Correctional Institution","3,256","3,196","3,193","3,191","3,186","3,196"
"County Jails","1,616","1,979","1,979","1,979","2,013","1,965"
"COMMUNITY WORK CENTERS","1,848","1,503","1,497","1,497","1,522","1,507"
"Alcorn Satellite Facility","92","82","82","82","89","83"
"Bolivar Satellite Facility","102","84","84","84","85","84"
"Forrest Satellite Facility","96","76","76","76","78","81"
"George Satellite Facility","102","82","80","80","81","81"
"Harrison Satellite Facility","102","84","84","84","84","87"
"Jackson Satellite Facility","102","86","86","86","89","88"
"Jefferson Satellite Facility","102","77","77","77","76","74"
"Leflore Satellite Facility","102","91","91","91","91","90"
"Madison Satellite Facility","102","90","89","89","90","88"
"Noxubee Satellite Facility","92","77","77","77","78","76"
"Pike Satellite Facility","93","65","64","64","68","65"
"Quitman Satellite Facility","93","71","71","71","70","75"
"Rankin Satellite Facility","260","195","195","195","196","191"
"Simpson Satellite Facility","102","88","87","87","92","88"
"Washington Satellite Facility","102","89","89","89","89","90"
"Wilkinson Satellite Facility","102","82","81","81","79","82"
"Yazoo Satellite Facility","102","84","84","84","87","84"
"REGIONAL CORRECTIONAL FACILITIES","4,363","3,488","3,484","3,483","3,482","3,484"
"Alcorn County","300","248","247","247","245","249"
"Bolivar County","294","236","234","234","233","234"
"Carroll County","280","222","222","222","223","223"
"Chickasaw County","300","246","245","244","248","248"
"George County","280","224","224","224","224","223"
"Holmes County","280","223","223","223","224","224"
"Issaquena County","274","219","219","219","219","219"
"Jefferson County","280","224","224","224","223","223"
"Kemper County","355","280","280","280","280","282"
"Leake County","280","224","224","224","223","224"
"Marion County","280","224","224","224","224","224"
"Stone County","280","224","224","224","224","224"
"Washington County","300","219","219","219","217","212"
"Winston County","280","223","223","223","223","224"
"Yazoo County","300","252","252","252","252","252"
"PRIVATE PRISONS","5,972","5,176","5,177","5,176","5,175","5,180"
"Delta","972","900","900","900","899","900"
"East Mississippi","1,500","1,353","1,354","1,354","1,354","1,357"
"Marshall County","1,000","996","996","996","998","998"
"Walnut Grove","1,500","1,028","1,028","1,027","1,025","1,030"
"Wilkinson County","1,000","899","899","899","899","896"
"RESTITUTION CENTERS","16","11","11","11","11","11"
"Greenwood","6","4","4","4","4","4"
"Hinds","6","4","4","4","4","4"
"Pascagoula","4","3","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5","5"
"E-CODE","0","30","31","30","3","22"
"TOTALS","23,882","21,521","21,505","21,496","21,533","21,462"
"","","28-Oct-11","29-Oct-11","30-Oct-11","31-Oct-11",""
