"Location","Capacity","1-Dec-13","2-Dec-13","3-Dec-13","4-Dec-13","5-Dec-13","6-Dec-13","7-Dec-13","8-Dec-13","9-Dec-13"
"Mississippi State Penitentiary","4,648","3,356","3,356","3,370","3,368","3,363","3,359","3,355","3,354","3,354"
"Central Mississippi Correctional Facility","3,557","3,324","3,333","3,320","3,306","3,342","3,353","3,349","3,347","3,317"
"Youthful Offender Unit","42","39","39","39","39","40","40","40","40","41"
"South Mississippi Correctional Institution","3,282","3,190","3,186","3,175","3,178","3,182","3,172","3,171","3,171","3,185"
"County Jails","2,017","2,069","2,102","2,107","2,118","2,082","2,092","2,093","2,093","2,165"
"COMMUNITY WORK CENTERS","1,848","1,365","1,365","1,373","1,362","1,360","1,354","1,352","1,351","1,351"
"Alcorn Satellite Facility","92","89","89","84","87","87","87","87","87","87"
"Bolivar Satellite Facility","102","65","65","62","61","61","60","60","60","60"
"Forrest Satellite Facility","96","73","73","78","79","79","76","76","76","75"
"George Satellite Facility","102","70","70","74","70","70","70","70","70","70"
"Harrison Satellite Facility","102","76","76","78","77","77","77","77","77","74"
"Jackson Satellite Facility","102","66","66","64","60","60","60","58","58","59"
"Jefferson Satellite Facility","102","66","66","67","67","67","65","65","64","64"
"Leflore Satellite Facility","102","69","69","68","67","67","67","67","67","67"
"Madison Satellite Facility","102","70","70","75","72","72","72","72","72","71"
"Noxubee Satellite Facility","92","74","74","73","77","77","77","77","77","77"
"Pike Satellite Facility","93","89","89","92","91","91","91","91","91","91"
"Quitman Satellite Facility","93","84","84","92","92","92","92","92","92","92"
"Rankin Satellite Facility","260","219","219","215","211","210","210","210","210","215"
"Simpson Satellite Facility","102","80","80","79","79","79","79","79","79","79"
"Washington Satellite Facility","102","69","69","68","68","68","68","68","68","68"
"Wilkinson Satellite Facility","102","53","53","51","51","50","50","50","50","50"
"Yazoo Satellite Facility","102","53","53","53","53","53","53","53","53","52"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,393","4,393","4,403","4,404","4,400","4,397","4,395","4,393","4,400"
"Alcorn County","300","279","279","279","279","279","279","279","279","279"
"Bolivar County","369","367","367","367","367","368","366","366","366","365"
"Carroll County","280","278","278","280","279","279","279","279","279","280"
"Chickasaw County","300","299","299","299","300","300","300","299","299","299"
"George County","280","275","275","280","279","279","280","280","280","280"
"Holmes County","280","280","280","280","280","280","279","279","279","280"
"Issaquena County","274","274","274","275","275","274","274","274","274","274"
"Jefferson County","280","278","278","280","280","280","279","279","279","279"
"Kemper County","355","353","353","355","355","353","353","353","352","355"
"Leake County","280","279","279","279","280","279","279","279","279","279"
"Marion County","280","279","279","280","280","280","279","279","279","279"
"Stone County","280","279","279","279","278","278","277","277","277","280"
"Washington County","300","292","292","290","292","291","293","293","293","292"
"Winston County","280","280","280","279","279","279","279","279","279","280"
"Yazoo County","300","301","301","301","301","301","301","300","299","299"
"PRIVATE PRISONS","5,972","4,396","4,396","4,407","4,417","4,415","4,408","4,403","4,400","4,402"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,197","1,197","1,200","1,200","1,200","1,199","1,198","1,196","1,198"
"Marshall County","1,000","999","999","997","999","999","999","999","998","998"
"Walnut Grove","1,500","1,300","1,300","1,310","1,317","1,315","1,310","1,308","1,308","1,309"
"Wilkinson County","1,000","900","900","900","901","901","900","898","898","897"
"RESTITUTION CENTERS","16","11","11","11","13","13","13","13","13","13"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","5","5","5","5","5","5","5","5","5"
"Pascagoula","4","2","2","2","4","4","4","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","0","0","0","0","0","0","0","0","0"
"TOTALS","25,826","22,143","22,181","22,205","22,205","22,197","22,188","22,171","22,162","22,228"
