"Location","Capacity","19-Nov-12","20-Nov-12","21-Nov-12","22-Nov-12","23-Nov-12","24-Nov-12","25-Nov-12","26-Nov-12","27-Nov-12"
"Mississippi State Penitentiary","4,648","3,364","3,371","3,367","3,365","3,364","3,368","3,367","3,366","3,369"
"Central Mississippi Correctional Facility","3,665","3,337","3,342","3,328","3,326","3,325","3,331","3,329","3,347","3,354"
"South Mississippi Correctional Institution","3,282","3,168","3,178","3,174","3,174","3,172","3,171","3,170","3,174","3,177"
"County Jails","1,816","2,254","2,281","2,310","2,312","2,313","2,313","2,313","2,298","2,293"
"COMMUNITY WORK CENTERS","1,848","1,495","1,505","1,508","1,508","1,508","1,496","1,495","1,484","1,478"
"Alcorn Satellite Facility","92","89","90","92","92","92","91","91","90","91"
"Bolivar Satellite Facility","102","72","76","76","76","76","76","76","75","74"
"Forrest Satellite Facility","96","65","70","71","71","70","70","70","68","66"
"George Satellite Facility","102","74","72","72","72","72","72","71","71","72"
"Harrison Satellite Facility","102","71","72","72","72","72","72","72","72","71"
"Jackson Satellite Facility","102","68","68","67","67","67","67","67","63","63"
"Jefferson Satellite Facility","102","70","69","68","68","68","68","68","67","67"
"Leflore Satellite Facility","102","72","71","71","71","71","71","71","71","71"
"Madison Satellite Facility","102","91","89","89","89","89","84","84","84","83"
"Noxubee Satellite Facility","92","74","77","77","77","77","77","77","77","76"
"Pike Satellite Facility","93","92","93","92","92","92","91","91","90","90"
"Quitman Satellite Facility","93","89","90","90","90","91","87","87","87","93"
"Rankin Satellite Facility","260","251","252","251","251","251","251","251","251","251"
"Simpson Satellite Facility","102","97","97","97","97","97","96","96","96","96"
"Washington Satellite Facility","102","73","71","70","70","70","70","70","70","70"
"Wilkinson Satellite Facility","102","45","46","52","52","52","52","52","52","52"
"Yazoo Satellite Facility","102","102","102","101","101","101","101","101","100","92"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,352","4,349","4,354","4,346","4,341","4,340","4,338","4,350","4,353"
"Alcorn County","300","300","300","300","297","297","297","297","297","297"
"Bolivar County","369","366","365","364","364","364","364","364","369","366"
"Carroll County","280","278","278","279","279","279","279","279","280","280"
"Chickasaw County","300","299","298","300","300","299","299","299","299","299"
"George County","280","279","280","280","279","279","278","278","278","280"
"Holmes County","280","280","280","278","276","276","276","275","278","279"
"Issaquena County","274","274","274","275","274","273","273","273","274","274"
"Jefferson County","280","280","280","280","280","280","280","280","280","280"
"Kemper County","355","339","340","341","341","340","340","340","339","339"
"Leake County","280","280","279","277","277","276","276","276","278","280"
"Marion County","280","279","279","280","280","280","280","280","280","280"
"Stone County","280","280","280","280","280","280","280","279","279","280"
"Washington County","300","239","238","240","240","239","239","239","239","239"
"Winston County","280","280","280","280","280","280","280","280","280","280"
"Yazoo County","300","299","298","300","299","299","299","299","300","300"
"PRIVATE PRISONS","5,972","4,273","4,274","4,264","4,264","4,261","4,260","4,260","4,250","4,244"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,167","1,165","1,158","1,158","1,158","1,158","1,158","1,150","1,148"
"Marshall County","1,000","997","1,000","1,000","1,000","999","999","999","999","999"
"Walnut Grove","1,500","1,204","1,205","1,202","1,202","1,200","1,199","1,199","1,197","1,194"
"Wilkinson County","1,000","905","904","904","904","904","904","904","904","903"
"RESTITUTION CENTERS","16","15","15","15","15","14","14","14","14","14"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","6","6","6","6","5","5","5","5","5"
"Pascagoula","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","10","10","8","10","13","14","12","9","11"
"TOTALS","25,691","22,268","22,325","22,328","22,320","22,311","22,307","22,298","22,292","22,293"
"","","19-Nov-12","20-Nov-12","21-Nov-12","22-Nov-12","23-Nov-12","24-Nov-12","25-Nov-12","26-Nov-12","27-Nov-12"
