"Location","Capacity","11-Sep-14","12-Sep-14","13-Sep-14","14-Sep-14","15-Sep-14","16-Sep-14","17-Sep-14","18-Sep-14","19-Sep-14","20-Sep-14","21-Sep-14"
"Mississippi State Penitentiary","4,648","3,326","3,327","3,326","3,325","3,308","3,290","3,306","3,299","3,325","3,323","3,323"
"Central Mississippi Correctional Facility","3,469","2,380","2,339","2,347","2,340","2,342","2,388","2,348","2,375","2,301","2,299","2,298"
"Youthful Offender Unit","58","40","40","40","40","40","41","39","38","37","37","37"
"CMCF TVC","350","118","118","117","116","115","115","115","114","113","113","112"
"South Mississippi Correctional Institution","3,282","3,137","3,111","3,111","3,109","3,101","3,085","3,086","3,077","3,086","3,084","3,082"
"County Jails","1,973","1,879","1,760","1,760","1,760","1,809","1,708","1,697","1,672","1,743","1,684","1,684"
"COMMUNITY WORK CENTERS","1,848","1,156","1,155","1,154","1,152","1,060","1,124","1,133","1,125","1,056","1,116","1,115"
"Alcorn Satellite Facility","92","86","86","86","86","84","84","84","84","84","84","84"
"Bolivar Satellite Facility","102","53","52","52","51","50","47","47","47","47","47","47"
"Forrest Satellite Facility","96","56","54","54","54","55","55","54","53","51","51","51"
"George Satellite Facility","102","62","61","60","60","59","58","59","58","56","56","56"
"Harrison Satellite Facility","102","54","52","52","51","53","51","51","51","50","50","50"
"Jackson Satellite Facility","102","48","46","46","46","47","47","47","47","44","45","45"
"Jefferson Satellite Facility","102","51","55","55","55","56","54","54","54","52","52","52"
"Leflore Satellite Facility","102","49","52","52","52","52","52","52","52","55","55","54"
"Madison Satellite Facility","102","53","54","54","54","54","54","53","53","53","53","53"
"Noxubee Satellite Facility","92","71","71","71","71","69","69","69","67","69","69","69"
"Pike Satellite Facility","93","91","91","91","91","90","89","89","88","90","90","90"
"Quitman Satellite Facility","93","57","60","60","60","59","58","61","60","58","58","58"
"Rankin Satellite Facility","260","187","184","184","184","98","177","176","174","169","169","169"
"Simpson Satellite Facility","102","98","99","99","99","98","94","99","98","49","102","102"
"Washington Satellite Facility","102","44","43","43","43","43","44","48","48","43","49","49"
"Wilkinson Satellite Facility","102","48","46","46","46","44","43","42","43","43","43","43"
"Yazoo Satellite Facility","102","48","49","49","49","49","48","48","48","43","43","43"
"REGIONAL CORRECTIONAL FACILITIES","4,500","4,213","4,357","4,355","4,353","4,327","4,301","4,299","4,294","4,323","4,317","4,316"
"Alcorn County","300","300","300","300","299","295","295","300","299","300","300","300"
"Bolivar County","369","362","361","361","361","357","355","353","353","355","355","355"
"Carroll County","280","280","278","278","277","275","276","276","276","276","275","275"
"Chickasaw County","362","297","300","300","300","297","300","299","298","300","300","299"
"George County","280","278","271","271","271","271","267","267","262","266","265","265"
"Holmes County","280","276","279","279","279","277","273","274","274","278","278","278"
"Issaquena County","274","267","268","267","267","269","268","264","264","262","261","260"
"Jefferson County","280","265","267","267","267","271","266","267","267","274","274","274"
"Kemper County","355","355","355","355","355","353","352","351","354","353","353","353"
"Leake County","280","269","264","264","264","263","257","255","255","260","258","258"
"Marion County","280","280","280","280","280","276","278","278","279","279","279","280"
"Stone County","280","277","277","277","277","274","271","273","273","277","277","277"
"Washington County","300","138","285","284","284","282","280","281","280","279","279","279"
"Winston County","280","276","277","277","277","272","271","270","270","273","272","272"
"Yazoo County","300","293","295","295","295","295","292","291","290","291","291","291"
"PRIVATE PRISONS","5000","4135","4130","4130","4130","4119","4113","4112","4097","4092","4092","4092"
"East Mississippi","1,500","1,198","1,198","1,198","1,198","1,195","1,195","1,195","1,195","1,196","1,196","1,196"
"Marshall County","1,000","994","994","994","994","993","991","998","996","996","996","996"
"Walnut Grove","1,500","1,086","1,078","1,078","1,078","1,073","1,072","1,070","1,059","1,052","1,052","1,052"
"Wilkinson County","1,000","857","860","860","860","858","855","849","847","848","848","848"
"RESTITUTION CENTERS","16","6","5","5","5","6","5","6","7","7","7","6"
"Greenwood","6","4","3","3","3","4","4","4","4","3","3","2"
"Hinds","6","1","1","1","1","1","1","1","1","2","2","2"
"Pascagoula","4","1","1","1","1","1","","1","2","2","2","2"
"TOTALS","25,144","20,390","20,342","20,345","20,330","20,227","20,170","20,141","20,098","20,083","20,072","20,065"
