"Location","Capacity","10-Aug-08","11-Aug-08","12-Aug-08","13-Aug-08","14-Aug-08","15-Aug-08","16-Aug-08","17-Aug-08","18-Aug-08"
"Mississippi State Penitentiary","4,527","4,188","4,182","4,190","4,206","4,209","4,176","4,176","4,176","4,185"
"Central Mississippi Correctional Facility","3,665","3,765","3,743","3,745","3,732","3,768","3,718","3,717","3,714","3,719"
"South Mississippi Correctional Institution","3,204","3,096","3,104","3,093","3,094","3,096","3,110","3,109","3,110","3,106"
"County Jails","1,704","2,048","2,064","2,081","2,068","2,047","2,071","2,071","2,071","2,091"
"COMMUNITY WORK CENTERS","1,848","1,703","1,693","1,701","1,721","1,726","1,741","1,736","1,735","1,746"
"Alcorn Satellite Facility","92","86","88","88","89","89","87","87","87","88"
"Bolivar Satellite Facility","102","97","93","93","95","95","97","96","96","97"
"Forrest Satellite Facility","96","88","85","84","87","87","86","86","86","85"
"George Satellite Facility","102","97","96","99","100","99","96","96","96","98"
"Harrison Satellite Facility","102","95","93","93","93","91","98","97","97","99"
"Jackson Satellite Facility","102","95","97","97","97","95","93","93","93","95"
"Jefferson Satellite Facility","102","98","99","98","98","98","98","96","96","96"
"Leflore Satellite Facility","102","99","96","95","98","98","96","96","96","97"
"Madison Satellite Facility","102","96","96","102","102","102","101","101","101","101"
"Noxubee Satellite Facility","92","88","82","81","87","87","83","83","83","84"
"Pike Satellite Facility","93","84","87","88","88","88","88","87","86","86"
"Quitman Satellite Facility","93","93","89","90","89","89","86","86","86","88"
"Rankin Satellite Facility","260","216","217","217","216","226","229","229","229","231"
"Simpson Satellite Facility","102","98","99","99","99","99","102","102","102","102"
"Washington Satellite Facility","102","82","85","85","91","91","101","101","101","101"
"Wilkinson Satellite Facility","102","92","92","92","92","92","99","99","99","98"
"Yazoo Satellite Facility","102","99","99","100","100","100","101","101","101","100"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,080","3,076","3,075","3,071","3,072","3,075","3,074","3,073","3,075"
"Bolivar County","294","293","292","294","293","293","294","294","294","293"
"Carroll County","280","280","280","280","280","280","280","280","280","280"
"George County","280","278","278","279","277","276","279","279","279","279"
"Holmes County","280","280","280","279","280","280","280","280","280","280"
"Issaquena County","274","274","273","272","269","271","274","274","274","273"
"Jefferson County","280","280","279","277","277","277","280","280","279","279"
"Kemper County","280","280","280","280","280","280","279","279","279","277"
"Leake County","280","279","280","280","280","280","279","278","278","278"
"Marion County","280","279","277","277","278","277","278","278","278","280"
"Stone County","280","280","280","280","280","278","279","279","279","280"
"Winston County","280","277","277","277","277","280","273","273","273","276"
"PRIVATE PRISONS","4,972","4,825","4,822","4,825","4,840","4,826","4,831","4,825","4,823","4,818"
"Delta","972","969","970","970","971","965","969","968","967","967"
"East Mississippi","1,000","888","888","891","892","891","891","891","890","889"
"Marshall County","1,000","998","999","998","1,000","998","1,000","1,000","1,000","1,000"
"Walnut Grove","1,000","978","976","978","983","980","980","976","976","974"
"Wilkinson County","1,000","992","989","988","994","992","991","990","990","988"
"RESTITUTION CENTERS","16","12","13","13","13","13","13","13","13","13"
"Greenwood","6","5","6","6","6","6","6","6","6","6"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","4","4","4","4","4","4","4","4","4"
"E-CODE","0","35","9","9","8","8","29","30","31","11"
"TOTALS","23,030","22,756","22,710","22,736","22,757","22,769","22,768","22,755","22,750","22,768"
