"Location","Capacity","19-Sep-12","20-Sep-12","21-Sep-12","22-Sep-12","23-Sep-12","24-Sep-12","25-Sep-12","26-Sep-12","27-Sep-12"
"Mississippi State Penitentiary","4,648","3,380","3,380","3,371","3,370","3,370","3,370","3,367","3,378","3,378"
"Central Mississippi Correctional Facility","3,665","3,307","3,297","3,305","3,300","3,301","3,325","3,331","3,332","3,356"
"South Mississippi Correctional Institution","3,282","3,196","3,200","3,196","3,193","3,193","3,188","3,199","3,193","3,183"
"County Jails","1,736","2,132","2,150","2,151","2,151","2,151","2,150","2,179","2,197","2,192"
"COMMUNITY WORK CENTERS","1,848","1,524","1,534","1,498","1,496","1,495","1,534","1,524","1,535","1,538"
"Alcorn Satellite Facility","92","92","92","91","91","91","91","91","91","91"
"Bolivar Satellite Facility","102","73","73","71","71","71","73","73","73","73"
"Forrest Satellite Facility","96","79","78","75","76","76","78","78","78","80"
"George Satellite Facility","102","85","85","85","85","85","85","85","86","85"
"Harrison Satellite Facility","102","74","74","68","68","68","76","74","74","73"
"Jackson Satellite Facility","102","70","69","65","65","65","70","70","70","71"
"Jefferson Satellite Facility","102","80","79","76","75","75","78","78","78","78"
"Leflore Satellite Facility","102","71","70","65","65","65","70","70","75","76"
"Madison Satellite Facility","102","88","87","90","90","90","91","92","90","90"
"Noxubee Satellite Facility","92","77","79","73","73","73","79","79","79","79"
"Pike Satellite Facility","93","92","92","90","90","89","92","93","93","93"
"Quitman Satellite Facility","93","80","81","80","80","80","80","76","76","78"
"Rankin Satellite Facility","260","236","245","244","243","243","241","239","244","243"
"Simpson Satellite Facility","102","95","95","94","94","94","98","98","97","96"
"Washington Satellite Facility","102","78","78","78","78","78","77","76","77","77"
"Wilkinson Satellite Facility","102","60","58","58","57","57","57","55","56","56"
"Yazoo Satellite Facility","102","94","99","95","95","95","98","97","98","99"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,353","4,355","4,357","4,353","4,351","4,353","4,353","4,348","4,355"
"Alcorn County","300","298","298","300","300","300","300","300","300","300"
"Bolivar County","369","368","367","368","368","367","368","369","368","368"
"Carroll County","280","280","280","279","279","279","279","277","276","280"
"Chickasaw County","300","300","300","300","300","300","300","300","300","299"
"George County","280","279","280","280","280","280","280","279","279","279"
"Holmes County","280","279","280","279","279","279","280","280","280","280"
"Issaquena County","274","273","272","273","273","273","273","275","274","273"
"Jefferson County","280","280","280","280","280","280","280","279","279","279"
"Kemper County","355","340","340","341","340","340","339","339","339","339"
"Leake County","280","280","280","279","278","278","280","280","280","279"
"Marion County","280","280","280","280","280","280","280","280","280","280"
"Stone County","280","278","279","279","279","279","279","280","280","280"
"Washington County","300","239","239","239","238","238","237","235","234","239"
"Winston County","280","280","280","280","280","279","279","279","279","280"
"Yazoo County","300","299","300","300","299","299","299","301","300","300"
"PRIVATE PRISONS","5,972","4,188","4,189","4,191","4,190","4,189","4,181","4,183","4,177","4,170"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,216","1,217","1,216","1,216","1,216","1,211","1,208","1,206","1,202"
"Marshall County","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000"
"Walnut Grove","1,500","1,067","1,067","1,068","1,067","1,067","1,064","1,068","1,065","1,064"
"Wilkinson County","1,000","905","905","907","907","906","906","907","906","904"
"RESTITUTION CENTERS","16","14","14","14","14","14","14","14","14","14"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","6","6","6","6","6","6","6","6","6"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","9","9","55","57","55","9","10","11","10"
"TOTALS","25,611","22,103","22,128","22,138","22,124","22,119","22,124","22,160","22,185","22,196"
"","","19-Sep-12","20-Sep-12","21-Sep-12","22-Sep-12","23-Sep-12","24-Sep-12","25-Sep-12","26-Sep-12","27-Sep-12"
