"Location","Capacity","10-Dec-11","11-Dec-11","12-Dec-11","13-Dec-11","14-Dec-11","15-Dec-11","16-Dec-11","17-Dec-11","18-Dec-11"
"Mississippi State Penitentiary","3,356","3,057","3,053","3,061","3,048","3,080","3,055","3,052","3,049","3,050"
"Central Mississippi Correctional Facility","3,449","3,084","3,086","3,112","3,100","3,089","3,089","3,072","3,073","3,073"
"South Mississippi Correctional Institution","3,256","3,208","3,204","3,199","3,203","3,206","3,167","3,141","3,141","3,139"
"County Jails","1,616","1,997","1,997","2,011","2,026","1,996","2,036","2,046","2,046","2,046"
"COMMUNITY WORK CENTERS","1,848","1,478","1,477","1,472","1,476","1,478","1,480","1,484","1,481","1,482"
"Alcorn Satellite Facility","92","80","80","80","80","81","84","82","82","82"
"Bolivar Satellite Facility","102","84","84","83","82","82","83","83","83","83"
"Forrest Satellite Facility","96","83","83","83","83","82","82","82","82","82"
"George Satellite Facility","102","83","83","83","83","84","84","84","84","84"
"Harrison Satellite Facility","102","91","91","91","91","90","89","89","89","89"
"Jackson Satellite Facility","102","80","80","80","80","86","86","86","85","86"
"Jefferson Satellite Facility","102","76","76","76","76","77","72","76","76","76"
"Leflore Satellite Facility","102","88","88","88","88","87","89","88","88","88"
"Madison Satellite Facility","102","92","92","92","92","92","91","91","91","92"
"Noxubee Satellite Facility","92","78","78","77","77","77","78","78","78","78"
"Pike Satellite Facility","93","58","58","58","57","57","58","57","57","57"
"Quitman Satellite Facility","93","64","64","64","64","63","63","62","60","59"
"Rankin Satellite Facility","260","185","184","183","189","188","188","190","190","190"
"Simpson Satellite Facility","102","91","91","91","91","91","90","92","92","92"
"Washington Satellite Facility","102","87","87","86","86","85","88","88","88","88"
"Wilkinson Satellite Facility","102","71","71","70","70","70","69","69","69","69"
"Yazoo Satellite Facility","102","87","87","87","87","86","86","87","87","87"
"REGIONAL CORRECTIONAL FACILITIES","4,363","3,715","3,714","3,771","3,834","3,888","3,949","3,957","3,949","3,946"
"Alcorn County","300","295","295","295","300","299","299","299","297","297"
"Bolivar County","294","233","233","235","235","235","232","234","233","233"
"Carroll County","280","224","224","223","224","223","224","224","224","224"
"Chickasaw County","300","248","248","248","248","250","250","249","248","248"
"George County","280","223","222","223","224","279","280","280","279","279"
"Holmes County","280","224","224","224","224","224","279","280","280","280"
"Issaquena County","274","225","225","281","281","281","281","280","279","279"
"Jefferson County","280","223","223","223","279","280","280","280","279","279"
"Kemper County","355","284","284","284","284","281","284","287","287","287"
"Leake County","280","224","224","222","222","223","224","225","225","224"
"Marion County","280","279","279","280","280","280","280","280","280","280"
"Stone County","280","278","278","279","278","278","280","280","279","278"
"Washington County","300","231","231","231","231","233","233","233","233","233"
"Winston County","280","223","223","222","223","223","224","224","224","223"
"Yazoo County","300","301","301","301","301","299","299","302","302","302"
"PRIVATE PRISONS","5,972","4,904","4,902","4,842","4,786","4,727","4,677","4,662","4,660","4,659"
"Delta","972","681","681","624","568","510","452","450","450","450"
"East Mississippi","1,500","1,322","1,322","1,322","1,321","1,322","1,322","1,323","1,323","1,322"
"Marshall County","1,000","997","997","997","995","994","1,000","1,000","999","999"
"Walnut Grove","1,500","1,015","1,015","1,012","1,013","1,013","1,016","1,003","1,002","1,002"
"Wilkinson County","1,000","889","887","887","889","888","887","886","886","886"
"RESTITUTION CENTERS","16","11","11","11","11","11","11","11","11","10"
"Greenwood","6","3","3","3","3","3","3","3","3","3"
"Hinds","6","4","4","4","4","4","4","4","4","3"
"Pascagoula","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","14","13","10","12","12","10","18","10","13"
"TOTALS","23,882","21,473","21,462","21,494","21,501","21,492","21,479","21,448","21,425","21,423"
"","","10-Dec-11","11-Dec-11","12-Dec-11","13-Dec-11","14-Dec-11","15-Dec-11","16-Dec-11","17-Dec-11","18-Dec-11"
