"Location","Capacity","10-Feb-11","11-Feb-11","12-Feb-11","13-Feb-11","14-Feb-11","15-Feb-11","16-Feb-11","17-Feb-11","18-Feb-11"
"Mississippi State Penitentiary","3,356","3,200","3,194","3,191","3,188","3,183","3,197","3,203","3,207","3,216"
"Central Mississippi Correctional Facility","3,449","3,168","3,186","3,184","3,182","3,184","3,196","3,189","3,199","3,198"
"South Mississippi Correctional Institution","3,204","3,173","3,167","3,163","3,162","3,169","3,173","3,190","3,186","3,182"
"County Jails","1,608","1,690","1,718","1,718","1,718","1,738","1,745","1,723","1,705","1,701"
"COMMUNITY WORK CENTERS","1,848","1,415","1,357","1,356","1,356","1,410","1,405","1,402","1,417","1,389"
"Alcorn Satellite Facility","92","64","59","59","59","63","63","63","63","58"
"Bolivar Satellite Facility","102","73","69","69","69","73","69","69","76","75"
"Forrest Satellite Facility","96","75","70","70","70","73","72","76","76","73"
"George Satellite Facility","102","84","80","80","80","86","86","84","84","84"
"Harrison Satellite Facility","102","70","66","66","66","69","69","68","67","65"
"Jackson Satellite Facility","102","82","80","80","80","83","86","86","83","80"
"Jefferson Satellite Facility","102","82","74","74","73","76","76","75","73","71"
"Leflore Satellite Facility","102","76","71","71","71","74","73","73","76","77"
"Madison Satellite Facility","102","87","82","82","82","84","89","88","86","84"
"Noxubee Satellite Facility","92","74","76","76","76","79","79","77","77","73"
"Pike Satellite Facility","93","70","68","68","68","70","70","71","73","73"
"Quitman Satellite Facility","93","67","67","67","67","67","67","66","69","70"
"Rankin Satellite Facility","260","188","189","188","189","187","187","183","188","183"
"Simpson Satellite Facility","102","88","82","82","82","85","81","81","84","80"
"Washington Satellite Facility","102","79","74","74","74","79","78","77","77","75"
"Wilkinson Satellite Facility","102","83","80","80","80","89","87","86","86","83"
"Yazoo Satellite Facility","102","73","70","70","70","73","73","79","79","85"
"REGIONAL CORRECTIONAL FACILITIES","3,763","3,019","3,015","3,010","3,010","3,010","3,015","3,009","3,021","3,018"
"Bolivar County","294","234","234","234","234","235","235","235","235","235"
"Carroll County","280","224","224","224","224","223","224","221","224","223"
"Chickasaw County","300","247","246","244","244","242","242","242","250","250"
"George County","280","224","225","224","224","224","224","224","223","221"
"Holmes County","280","224","224","224","224","222","224","223","223","224"
"Issaquena County","274","222","216","215","215","219","219","219","219","219"
"Jefferson County","280","224","224","224","224","224","224","225","225","225"
"Kemper County","355","282","284","284","284","283","284","284","284","284"
"Leake County","280","225","225","225","225","225","225","225","225","225"
"Marion County","280","225","225","225","225","225","225","225","225","224"
"Stone County","280","224","224","224","224","224","224","224","224","224"
"Winston County","280","224","224","223","223","224","224","222","222","224"
"Yazoo County","300","240","240","240","240","240","241","240","242","240"
"PRIVATE PRISONS","5,972","5,219","5,184","5,182","5,179","5,179","5,184","5,186","5,187","5,201"
"Delta","972","902","901","901","901","900","898","900","898","898"
"East Mississippi","1,500","1,360","1,360","1,359","1,357","1,357","1,361","1,362","1,362","1,362"
"Marshall County","1,000","919","918","918","917","917","916","915","924","924"
"Walnut Grove","1,500","1,151","1,121","1,120","1,120","1,121","1,122","1,123","1,120","1,131"
"Wilkinson County","1,000","887","884","884","884","884","887","886","883","886"
"RESTITUTION CENTERS","16","10","8","8","8","8","8","8","8","7"
"Greenwood","6","4","4","4","4","4","4","4","4","3"
"Hinds","6","5","4","4","4","4","4","4","4","4"
"Pascagoula","4","1","0","0","0","0","0","0","0","0"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","7","61","63","65","12","14","14","13","49"
"TOTALS","23,222","20,906","20,895","20,880","20,873","20,898","20,942","20,929","20,948","20,966"
