"Location","Capacity","19-Jan-15","20-Jan-15","21-Jan-15","22-Jan-15","23-Jan-15","24-Jan-15","25-Jan-15","26-Jan-15","27-Jan-15"
"Mississippi State Penitentiary","4,648","3,097","3,089","3,080","3,071","3,075","3,073","3,072","3,076","3,074"
"MSP TVC","108","76","76","75","65","64","63","61","59","78"
"Central Mississippi Correctional Facility","3,469","2,194","2,202","2,208","2,178","2,169","2,170","2,169","2,179","2,157"
"Youthful Offender Unit","58","33","33","32","32","112","32","32","31","31"
"CMCF TVC","158","92","90","88","111","32","112","112","123","117"
"South Mississippi Correctional Institution 3,282","","2,557","2,554","2,555","2,547","2,541","2,537","2,537","2,441","2,410"
"SMCI TVC","0","86","80","84","84","84","84","84","83","94"
"County Jails","1,973","1,334","1,351","1,362","1,393","1,414","1,412","1,414","1,479","1,492"
"COMMUNITY WORK CENTERS","1,848","1,082","1,074","1,070","1,065","1,050","1,049","1,048","1,085","1,084"
"Alcorn Satellite Facility","92","65","65","65","65","60","60","60","60","60"
"Bolivar Satellite Facility","102","57","57","56","55","56","56","56","56","56"
"Forrest Satellite Facility","96","50","50","49","47","47","47","47","45","45"
"George Satellite Facility","102","50","50","50","50","50","50","50","50","51"
"Harrison Satellite Facility","102","47","47","47","46","47","47","47","47","48"
"Jackson Satellite Facility","102","49","49","49","49","45","45","45","47","47"
"Jefferson Satellite Facility","102","54","53","53","53","51","51","51","53","53"
"Leflore Satellite Facility","102","51","51","51","51","49","49","48","49","49"
"Madison Satellite Facility","102","49","49","49","47","47","47","47","51","51"
"Noxubee Satellite Facility","92","69","69","69","69","68","68","68","69","67"
"Pike Satellite Facility","93","81","80","79","78","86","86","86","88","89"
"Quitman Satellite Facility","93","46","45","45","56","53","52","52","56","61"
"Rankin Satellite Facility","260","174","172","171","171","167","167","167","179","177"
"Simpson Satellite Facility","102","97","94","94","93","93","93","93","97","95"
"Washington Satellite Facility","102","52","52","52","50","49","49","49","48","46"
"Wilkinson Satellite Facility","102","41","41","41","39","36","36","36","44","43"
"Yazoo Satellite Facility","102","50","50","50","46","46","46","46","46","46"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,127","4,120","4,120","4,100","4,142","4,134","4,132","4,125","4,144"
"Alcorn County","300","297","296","299","298","298","297","297","297","296"
"Bolivar County","369","357","357","358","357","358","357","357","356","361"
"Carroll County","280","263","263","263","263","262","262","262","262","260"
"Chickasaw County","300","298","296","300","299","300","300","300","298","299"
"George County","280","254","254","254","252","252","252","252","252","253"
"Holmes County","280","257","256","256","251","250","247","247","245","253"
"Issaquena County","274","243","243","242","241","241","240","240","239","247"
"Jefferson County","280","247","246","245","245","249","249","249","249","248"
"Kemper County","355","322","320","320","319","320","320","318","319","324"
"Leake County","280","246","245","244","243","256","256","256","247","246"
"Marion County","280","267","275","274","272","271","271","271","270","270"
"Stone County","280","273","272","271","271","271","271","271","271","265"
"Washington County","300","273","269","268","265","262","261","261","267","266"
"Winston County","280","271","269","268","268","271","271","271","270","272"
"Yazoo County","300","259","259","258","256","281","280","280","283","284"
"PRIVATE PRISONS","5,972","4,227","4,222","4,221","4,213","4,176","4,175","4,175","4,174","4,171"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,175","1,174","1,173","1,169","1,169","1,169","1,169","1,166","1,168"
"Marshall County","1,000","998","997","997","997","999","998","998","998","997"
"Walnut Grove","1,500","1,184","1,182","1,182","1,179","1,175","1,175","1,175","1,157","1,155"
"Wilkinson County","1,000","870","869","869","868","833","833","833","853","851"
"RESTITUTION CENTERS","16","11","11","11","11","9","9","9","9","9"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","4","4","4","4","3","3","3","3","3"
"Pascagoula","4","3","3","3","3","2","2","2","2","2"
"TOTALS","25,704","18,916","18,902","18,906","18,870","18,868","18,850","18,845","18,864","18,861"
"","","19-Jan-15","20-Jan-15","21-Jan-15","22-Jan-15","23-Jan-15","24-Jan-15","25-Jan-15","26-Jan-15","27-Jan-15"
