"Location","Capacity","28-Nov-10","29-Nov-10","","30-Nov-10 Avg Population"
"Mississippi State Penitentiary","4,435","3,173","3,159","3,201","3,231"
"Central Mississippi Correctional Facility","3,449","3,173","3,195","3,186","3,162"
"South Mississippi Correctional Institution","3,204","3,168","3,172","3,179","3,168"
"County Jails","1,539","1,642","1,645","1,615","1,616"
"COMMUNITY WORK CENTERS","1,848","1,565","1,576","1,557","1,555"
"Alcorn Satellite Facility","92","75","75","75","76"
"Bolivar Satellite Facility","102","83","90","90","82"
"Forrest Satellite Facility","96","67","72","72","73"
"George Satellite Facility","102","84","84","84","87"
"Harrison Satellite Facility","102","75","74","74","76"
"Jackson Satellite Facility","102","80","80","79","76"
"Jefferson Satellite Facility","102","90","90","89","91"
"Leflore Satellite Facility","102","80","85","82","81"
"Madison Satellite Facility","102","98","97","97","98"
"Noxubee Satellite Facility","92","86","85","84","85"
"Pike Satellite Facility","93","88","87","91","86"
"Quitman Satellite Facility","93","79","79","63","77"
"Rankin Satellite Facility","260","218","215","215","215"
"Simpson Satellite Facility","102","98","98","97","96"
"Washington Satellite Facility","102","85","88","88","80"
"Wilkinson Satellite Facility","102","80","79","79","78"
"Yazoo Satellite Facility","102","99","98","98","97"
"REGIONAL CORRECTIONAL FACILITIES","3,763","3,005","3,003","3,004","3,005"
"Bolivar County","294","234","234","234","234"
"Carroll County","280","223","223","223","224"
"Chickasaw County","300","238","237","237","239"
"George County","280","224","223","223","223"
"Holmes County","280","224","224","224","223"
"Issaquena County","274","220","220","219","219"
"Jefferson County","280","223","222","223","223"
"Kemper County","355","283","283","284","283"
"Leake County","280","225","224","224","225"
"Marion County","280","224","224","224","224"
"Stone County","280","223","224","225","224"
"Winston County","280","224","224","223","223"
"Yazoo County","300","240","241","241","241"
"PRIVATE PRISONS","5,972","5,284","5,270","5,269","5,262"
"Delta","972","903","902","902","902"
"East Mississippi","1,500","1,360","1,359","1,359","1,359"
"Marshall County","1,000","938","929","929","936"
"Walnut Grove","1,500","1,198","1,195","1,195","1,199"
"Wilkinson County","1,000","885","885","884","868"
"RESTITUTION CENTERS","16","8","8","8","9"
"Greenwood","6","4","4","4","5"
"Hinds","6","2","2","2","3"
"Pascagoula","4","2","2","2","2"
"GOVERNOR'S MANSION","6","5","5","5","5"
"E-CODE","0","5","5","7","11"
"TOTALS","24,232","21,028","21,038","21,031","21,024"
"","","28-Nov-10","29-Nov-10","30-Nov-10",""
