"Location","Capacity","18-Feb-19","19-Feb-19","20-Feb-19","21-Feb-19","22-Feb-19","23-Feb-19","24-Feb-19","25-Feb-19","26-Feb-19","27-Feb-19","28-Feb-19","Avg Population"
"Mississippi State Penitentiary","3,560","3,270","3,245","3,265","3,250","3,250","3,249","3,249","3,246","3,251","3,272","3,260","3,249"
"Central Mississippi Correctional Facility","4,131","3,709","3,680","3,681","3,669","3,674","3,674","3,674","3,651","3,653","3,637","3,630","3700"
"Youthful Offender Unit","58","35","35","35","34","34","34","34","34","35","35","35","35"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","2,643","2,647","2,649","2,641","2,651","2,650","2,651","2,656","2,659","2,657","2,658","2709"
"County Jails","1,793","1,382","1,381","1,346","1,366","1,357","1,357","1,357","1,374","1,365","1,381","1,410","1324"
"COMMUNITY WORK CENTERS","1,372","1,081","1,082","1,108","1,104","1,092","1,091","1,082","1,091","1,075","1,088","1,089","1066"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","86","85","86","86","83","83","83","85","85","83","83","85"
"Delta TVC","324","313","312","333","329","329","327","318","306","300","316","314","302"
"Forrest Satellite Facility","96","55","60","60","60","58","58","58","62","62","62","61","57"
"George Satellite Facility","102","74","74","72","71","72","72","72","74","72","74","75","75"
"Harrison Satellite Facility","102","54","54","54","54","54","54","54","53","53","53","53","52"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","60","60","62","65","64","64","64","64","65","64","68","61"
"Noxubee Satellite Facility","58","48","47","46","46","46","46","46","46","46","46","46","47"
"Pike Satellite Facility","93","82","81","82","75","73","73","73","75","74","73","70","78"
"Quitman Satellite Facility","93","61","61","59","63","64","64","64","64","59","61","61","62"
"Rankin Satellite Facility","178","165","165","166","166","161","161","161","163","161","161","164","159"
"Rankin RID","28","15","15","16","16","16","16","16","15","15","15","16","16"
"Flowood TVC","50","16","16","15","13","13","14","14","24","23","22","21","18"
"Simpson TVC","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Simpson TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","52","52","57","60","59","59","59","60","60","58","57","54"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,556","4,156","4,177","4,176","4,230","4,227","4,227","4,225","4,221","4,198","4,211","4,226","4145"
"Alcorn County","300","299","303","302","304","304","304","304","303","301","301","301","291"
"Bolivar County","369","273","291","290","294","292","292","292","292","288","293","291","291"
"Carroll County","280","279","277","277","276","279","279","279","279","277","277","275","278"
"Chickasaw County","310","290","295","295","302","302","302","302","302","303","303","310","285"
"George County","342","334","332","332","340","340","340","340","340","338","336","334","334"
"Holmes County","280","248","254","254","264","263","263","263","262","261","261","269","240"
"Issaquena County","274","273","273","273","273","274","274","274","273","270","269","273","272"
"Jefferson County","280","273","273","273","278","278","278","278","279","278","280","281","277"
"Kemper County","355","333","330","330","336","335","335","335","334","332","336","347","330"
"Leake County","280","264","263","263","271","271","271","271","270","269","272","263","269"
"Marion County","280","280","280","280","280","279","279","279","280","280","280","280","279"
"Stone County","326","273","273","273","278","278","278","276","275","275","275","275","275"
"Washington County","300","171","171","171","171","171","171","171","171","170","170","170","169"
"Winston County","280","277","273","275","275","274","274","274","274","271","270","269","272"
"Yazoo County","300","289","289","288","288","287","287","287","287","285","288","288","284"
"PRIVATE PRISONS","5,472","3,128","3,127","3,129","3,129","3,131","3,131","3,129","3,125","3,120","3,120","3,122","3133"
"Delta","472","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,192","1,191","1,192","1,192","1,195","1,195","1,194","1,194","1,190","1,191","1,188","1198"
"Marshall County","1,000","998","998","1,000","1,000","999","999","999","997","999","999","999","997"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","938","938","937","937","937","937","936","934","931","930","935","938"
"RESTITUTION CENTERS","10","7","7","7","7","7","7","7","7","7","7","7","7"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","4","4","4","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","3","3","3","3","3","3","3","3","3","3","3","3"
"TRANSITIONAL HOUSING","122","25","25","28","28","29","29","29","31","31","31","31","23"
"Madison","40","7","7","7","7","7","7","7","7","7","7","7","5"
"Noxubee","34","14","14","15","15","16","16","16","18","18","18","18","14"
"Rankin/Flowood","8","4","4","6","6","6","6","6","6","6","6","6","4"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTALS","24,156","19,436","19,406","19,424","19,458","19,452","19,449","19,437","19,436","19,394","19,439","19,468","19392"
"","","18-Feb-19","19-Feb-19","20-Feb-19","21-Feb-19","22-Feb-19","23-Feb-19","24-Feb-19","25-Feb-19","26-Feb-19","27-Feb-19","28-Feb-19","Avg Population"
