"Location","Capacity","1-Sep-12","2-Sep-12","3-Sep-12","4-Sep-12","5-Sep-12","6-Sep-12","7-Sep-12","8-Sep-12","9-Sep-12"
"Mississippi State Penitentiary","4,648","3,395","3,394","3,391","3,392","3,392","3,395","3,382","3,377","3,376"
"Central Mississippi Correctional Facility","3,665","3,267","3,265","3,267","3,268","3,258","3,280","3,294","3,291","3,289"
"South Mississippi Correctional Institution","3,282","3,173","3,172","3,172","3,176","3,183","3,185","3,179","3,179","3,177"
"County Jails","1,736","2,166","2,166","2,166","2,155","2,149","2,135","2,106","2,106","2,106"
"COMMUNITY WORK CENTERS","1,848","1,576","1,575","1,574","1,562","1,551","1,560","1,536","1,533","1,533"
"Alcorn Satellite Facility","92","90","90","90","92","92","92","92","92","92"
"Bolivar Satellite Facility","102","73","73","73","73","72","72","67","67","67"
"Forrest Satellite Facility","96","71","71","70","70","70","70","68","68","68"
"George Satellite Facility","102","88","88","88","86","81","81","88","88","88"
"Harrison Satellite Facility","102","68","68","69","69","74","77","75","75","75"
"Jackson Satellite Facility","102","75","75","74","74","72","72","72","72","72"
"Jefferson Satellite Facility","102","101","101","101","80","80","76","79","78","78"
"Leflore Satellite Facility","102","79","80","80","80","79","84","83","83","83"
"Madison Satellite Facility","102","90","90","90","89","88","92","91","91","91"
"Noxubee Satellite Facility","92","83","82","82","80","80","80","75","75","75"
"Pike Satellite Facility","93","91","90","90","92","92","90","87","88","88"
"Quitman Satellite Facility","93","92","92","92","91","91","92","90","88","88"
"Rankin Satellite Facility","260","250","250","250","248","246","253","244","244","244"
"Simpson Satellite Facility","102","99","99","99","98","97","95","93","93","93"
"Washington Satellite Facility","102","80","80","80","80","80","77","77","77","77"
"Wilkinson Satellite Facility","102","47","47","47","65","64","64","63","63","63"
"Yazoo Satellite Facility","102","99","99","99","95","93","93","92","91","91"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,343","4,341","4,339","4,350","4,347","4,350","4,347","4,339","4,338"
"Alcorn County","300","299","299","299","299","297","297","299","299","299"
"Bolivar County","369","366","366","366","366","368","369","369","367","367"
"Carroll County","280","279","279","279","280","280","280","280","280","280"
"Chickasaw County","300","300","300","299","300","298","300","298","298","298"
"George County","280","278","278","278","277","280","280","279","278","278"
"Holmes County","280","280","280","280","280","280","280","280","279","279"
"Issaquena County","274","274","274","274","274","273","274","274","274","274"
"Jefferson County","280","279","279","278","279","280","279","277","277","277"
"Kemper County","355","338","338","338","340","340","340","339","338","338"
"Leake County","280","280","280","280","280","279","279","277","277","277"
"Marion County","280","280","279","279","280","280","280","280","280","280"
"Stone County","280","279","279","279","279","278","279","280","280","280"
"Washington County","300","235","235","235","235","234","234","235","234","234"
"Winston County","280","276","276","276","280","280","279","280","280","279"
"Yazoo County","300","300","299","299","301","300","300","300","298","298"
"PRIVATE PRISONS","5,972","4,174","4,172","4,169","4,181","4,180","4,182","4,188","4,187","4,185"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,214","1,214","1,213","1,216","1,218","1,219","1,222","1,222","1,222"
"Marshall County","1,000","1,000","999","999","999","998","998","1,000","999","999"
"Walnut Grove","1,500","1,063","1,062","1,061","1,065","1,059","1,061","1,063","1,063","1,063"
"Wilkinson County","1,000","897","897","896","901","905","904","903","903","901"
"RESTITUTION CENTERS","16","14","14","14","14","14","15","15","15","15"
"Greenwood","6","5","5","5","5","5","6","6","6","6"
"Hinds","6","6","6","6","6","6","6","6","6","6"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","6","5","4","4","7","6","27","29","29"
"TOTALS","25,611","22,114","22,104","22,096","22,102","22,081","22,108","22,074","22,056","22,048"
