"Location","Capacity","1-Apr-08","2-Apr-08","3-Apr-08","4-Apr-08","5-Apr-08","6-Apr-08","7-Apr-08","8-Apr-08","9-Apr-08"
"Mississippi State Penitentiary","4,527","4,231","4,215","4,209","4,201","4,196","4,195","4,202","4,194","4,202"
"Central Mississippi Correctional Facility","3,665","3,659","3,692","3,706","3,726","3,720","3,721","3,701","3,701","3,694"
"South Mississippi Correctional Institution","3,204","3,123","3,130","3,134","3,096","3,096","3,095","3,104","3,118","3,135"
"County Jails","1,662","1,928","1,924","1,943","1,999","1,999","1,999","1,965","1,969","1,968"
"COMMUNITY WORK CENTERS","1,848","1,759","1,754","1,755","1,744","1,742","1,742","1,757","1,752","1,737"
"Alcorn Satellite Facility","92","92","92","92","91","91","91","91","91","90"
"Bolivar Satellite Facility","102","97","97","96","94","94","94","94","94","93"
"Forrest Satellite Facility","96","94","93","93","92","92","93","92","93","91"
"George Satellite Facility","102","101","101","101","102","102","102","102","102","102"
"Harrison Satellite Facility","102","81","81","80","83","82","82","84","81","81"
"Jackson Satellite Facility","102","98","97","97","99","99","99","102","102","101"
"Jefferson Satellite Facility","102","90","90","90","87","87","87","86","86","85"
"Leflore Satellite Facility","102","98","100","100","100","100","100","100","100","101"
"Madison Satellite Facility","102","102","101","100","95","94","94","100","101","101"
"Noxubee Satellite Facility","92","91","90","90","88","88","88","89","88","88"
"Pike Satellite Facility","93","91","91","91","88","88","88","89","87","87"
"Quitman Satellite Facility","93","87","87","88","88","88","87","87","87","86"
"Rankin Satellite Facility","260","247","246","250","245","245","245","248","249","246"
"Simpson Satellite Facility","102","100","100","100","99","99","99","98","98","97"
"Washington Satellite Facility","102","101","100","101","99","99","99","102","102","100"
"Wilkinson Satellite Facility","102","97","96","94","92","92","92","94","93","91"
"Yazoo Satellite Facility","102","92","92","92","102","102","102","99","98","97"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,081","3,085","3,085","3,085","3,079","3,076","3,080","3,081","3,076"
"Bolivar County","294","293","294","293","294","292","292","292","294","293"
"Carroll County","280","278","280","280","279","279","279","279","279","279"
"George County","280","279","279","280","280","279","279","278","277","278"
"Holmes County","280","280","280","280","280","279","279","280","280","280"
"Issaquena County","274","274","274","275","275","275","274","277","277","276"
"Jefferson County","280","280","280","279","280","279","278","280","280","278"
"Kemper County","280","280","279","280","280","280","280","280","279","280"
"Leake County","280","280","280","280","280","280","280","279","280","280"
"Marion County","280","278","280","280","280","280","279","278","278","277"
"Stone County","280","280","280","279","279","279","279","278","278","279"
"Winston County","280","279","279","279","278","277","277","279","279","276"
"PRIVATE PRISONS","4,972","4,805","4,815","4,811","4,806","4,802","4,802","4,808","4,817","4,818"
"Delta","972","970","969","968","965","964","964","970","971","970"
"East Mississippi","1,000","889","890","892","893","892","892","893","892","894"
"Marshall County","1,000","996","1,000","1,000","1,000","1,000","1,000","999","999","1,000"
"Tallahatchie County","0","0","0","0","0","0","0","0","0","0"
"Walnut Grove","1,000","953","959","955","954","953","953","952","955","955"
"Wilkinson County","1,000","997","997","996","994","993","993","994","1,000","999"
"RESTITUTION CENTERS","16","13","13","13","13","13","13","13","13","13"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","4","4","4","5","5","5","5","5","5"
"Pascagoula","4","4","4","4","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","4","3","6","30","32","31","11","6","7"
"TOTALS","22,988","22,608","22,636","22,667","22,705","22,684","22,679","22,646","22,656","22,655"
