"Location","Capacity","1-Aug-08","2-Aug-08","3-Aug-08","4-Aug-08","5-Aug-08","6-Aug-08","7-Aug-08","8-Aug-08","9-Aug-08"
"Mississippi State Penitentiary","4,527","4,195","4,192","4,189","4,195","4,204","4,197","4,211","4,196","4,191"
"Central Mississippi Correctional Facility","3,665","3,791","3,792","3,793","3,787","3,796","3,771","3,775","3,765","3,764"
"South Mississippi Correctional Institution","3,204","3,127","3,122","3,121","3,137","3,129","3,132","3,126","3,098","3,097"
"County Jails","1,704","2,057","2,057","2,057","2,067","2,049","2,027","2,025","2,048","2,048"
"COMMUNITY WORK CENTERS","1,848","1,703","1,699","1,700","1,728","1,728","1,726","1,729","1,705","1,704"
"Alcorn Satellite Facility","92","89","89","89","92","91","91","91","86","86"
"Bolivar Satellite Facility","102","97","97","97","97","97","98","98","97","97"
"Forrest Satellite Facility","96","89","89","89","91","91","89","88","88","88"
"George Satellite Facility","102","96","95","96","100","101","97","98","97","97"
"Harrison Satellite Facility","102","96","96","96","98","98","97","97","95","95"
"Jackson Satellite Facility","102","96","96","96","98","98","97","97","96","95"
"Jefferson Satellite Facility","102","93","93","93","94","94","100","100","98","98"
"Leflore Satellite Facility","102","94","93","93","98","97","96","96","99","99"
"Madison Satellite Facility","102","99","99","99","99","99","99","99","96","96"
"Noxubee Satellite Facility","92","88","88","88","89","89","89","89","88","88"
"Pike Satellite Facility","93","87","87","87","88","89","89","88","84","84"
"Quitman Satellite Facility","93","88","88","88","92","92","91","92","93","93"
"Rankin Satellite Facility","260","219","217","217","219","217","217","216","217","217"
"Simpson Satellite Facility","102","94","94","94","99","100","100","101","98","98"
"Washington Satellite Facility","102","92","92","92","88","88","87","87","82","82"
"Wilkinson Satellite Facility","102","91","91","91","91","91","91","94","92","92"
"Yazoo Satellite Facility","102","95","95","95","95","96","98","98","99","99"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,081","3,080","3,080","3,081","3,079","3,076","3,081","3,082","3,081"
"Bolivar County","294","294","294","294","294","293","293","293","293","293"
"Carroll County","280","280","280","280","279","279","279","280","280","280"
"George County","280","279","278","278","279","278","278","279","279","278"
"Holmes County","280","277","277","277","279","280","280","280","280","280"
"Issaquena County","274","272","272","272","272","273","272","274","274","274"
"Jefferson County","280","281","281","281","281","279","279","280","280","280"
"Kemper County","280","280","280","280","279","279","279","280","280","280"
"Leake County","280","279","279","279","279","279","279","279","279","279"
"Marion County","280","281","281","281","280","280","281","280","280","280"
"Stone County","280","280","280","280","280","280","279","279","280","280"
"Winston County","280","278","278","278","279","279","277","277","277","277"
"PRIVATE PRISONS","4,972","4,807","4,805","4,804","4,803","4,807","4,830","4,827","4,830","4,829"
"Delta","972","967","966","965","971","969","969","971","970","969"
"East Mississippi","1,000","890","890","890","889","891","891","891","891","891"
"Marshall County","1,000","998","998","998","997","999","1,000","999","999","999"
"Walnut Grove","1,000","960","959","959","955","956","981","974","978","978"
"Wilkinson County","1,000","992","992","992","991","992","989","992","992","992"
"RESTITUTION CENTERS","16","11","11","11","11","11","11","12","12","12"
"Greenwood","6","4","4","4","4","4","4","5","5","5"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","4","4","4","4","4","4","4","4","4"
"E-CODE","0","49","49","48","8","6","6","6","35","35"
"TOTALS","23,030","22,825","22,811","22,807","22,821","22,813","22,780","22,796","22,775","22,765"
"","","1-Aug-08","2-Aug-08","3-Aug-08","4-Aug-08","5-Aug-08","6-Aug-08","7-Aug-08","8-Aug-08","9-Aug-08"
