"Location","Capacity","19-Jun-08","20-Jun-08","21-Jun-08","22-Jun-08","23-Jun-08","24-Jun-08","25-Jun-08","26-Jun-08","27-Jun-08"
"Mississippi State Penitentiary","4,527","4,220","4,214","4,213","4,213","4,212","4,207","4,210","4,210","4,208"
"Central Mississippi Correctional Facility","3,665","3,722","3,751","3,750","3,751","3,747","3,742","3,761","3,782","3,791"
"South Mississippi Correctional Institution","3,204","3,139","3,126","3,125","3,123","3,130","3,146","3,145","3,145","3,141"
"County Jails","1,645","1,961","1,947","1,947","1,947","1,965","1,961","1,954","1,961","1,958"
"COMMUNITY WORK CENTERS","1,848","1,818","1,756","1,756","1,755","1,801","1,801","1,807","1,801","1,752"
"Alcorn Satellite Facility","92","92","86","86","86","92","92","92","92","83"
"Bolivar Satellite Facility","102","102","97","97","97","102","101","101","100","100"
"Forrest Satellite Facility","96","94","92","92","92","94","96","96","95","93"
"George Satellite Facility","102","101","97","97","97","102","99","98","98","96"
"Harrison Satellite Facility","102","102","101","101","101","99","99","99","99","95"
"Jackson Satellite Facility","102","102","100","100","100","101","102","102","102","98"
"Jefferson Satellite Facility","102","100","95","95","94","99","99","102","102","100"
"Leflore Satellite Facility","102","101","96","96","96","100","100","99","99","98"
"Madison Satellite Facility","102","101","96","96","96","99","100","100","99","101"
"Noxubee Satellite Facility","92","92","88","88","88","91","91","91","91","85"
"Pike Satellite Facility","93","90","87","87","87","89","89","89","89","84"
"Quitman Satellite Facility","93","90","87","87","87","90","89","88","89","88"
"Rankin Satellite Facility","260","248","245","245","245","249","248","249","250","242"
"Simpson Satellite Facility","102","101","93","93","93","97","100","100","100","98"
"Washington Satellite Facility","102","101","99","99","99","101","101","100","100","96"
"Wilkinson Satellite Facility","102","100","98","98","98","98","98","100","98","97"
"Yazoo Satellite Facility","102","101","99","99","99","98","97","101","98","98"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,086","3,087","3,085","3,083","3,083","3,087","3,082","3,082","3,084"
"Bolivar County","294","293","294","294","294","290","294","294","293","294"
"Carroll County","280","280","279","278","277","279","280","279","279","279"
"George County","280","280","279","279","279","279","280","280","280","279"
"Holmes County","280","280","280","280","280","280","280","280","280","280"
"Issaquena County","274","274","274","274","274","274","274","274","274","275"
"Jefferson County","280","281","281","280","279","280","279","278","278","278"
"Kemper County","280","280","280","280","280","280","280","279","280","280"
"Leake County","280","279","280","280","280","281","281","281","280","279"
"Marion County","280","279","280","280","280","280","280","280","280","280"
"Stone County","280","280","280","280","280","280","279","277","278","280"
"Winston County","280","280","280","280","280","280","280","280","280","280"
"PRIVATE PRISONS","4,972","4,816","4,805","4,801","4,801","4,804","4,807","4,804","4,810","4,811"
"Delta","972","970","967","966","966","966","969","970","971","973"
"East Mississippi","1,000","897","896","896","896","898","899","896","896","898"
"Marshall County","1,000","1,000","999","998","998","1,000","1,000","999","1,000","1,000"
"Tallahatchie County","0","0","0","0","0","0","0","0","0","0"
"Walnut Grove","1,000","960","957","956","956","954","956","953","956","954"
"Wilkinson County","1,000","989","986","985","985","986","983","986","987","986"
"RESTITUTION CENTERS","16","12","12","12","12","12","12","12","12","12"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","9","63","62","62","7","7","8","7","59"
"TOTALS","22,971","22,789","22,767","22,757","22,753","22,767","22,776","22,789","22,816","22,822"
"","","19-Jun-08","20-Jun-08","21-Jun-08","22-Jun-08","23-Jun-08","24-Jun-08","25-Jun-08","26-Jun-08","27-Jun-08"
