"Location","Capacity 1-Sep-17","","2-Sep-17","3-Sep-17","4-Sep-17","5-Sep-17","6-Sep-17","7-Sep-17","8-Sep-17","9-Sep-17","10-Sep-17","11-Sep-17","12-Sep-17","13-Sep-17","14-Sep-17","15-Sep-17","16-Sep-17","17-Sep-17"
"Mississippi State Penitentiary","3,590","3,365","3,365","3,363","3,360","3,353","3,361","3,363","3,356","3,352","3,351","3,347","3,343","3,338","3,345","3,353","3,352","3,352"
"Central Mississippi Correctional Facility","3,750","3,288","3,286","3,287","3,286","3,315","3,331","3,322","3,321","3,317","3,318","3,339","3,395","3,390","3,394","3,383","3,384","3,386"
"Youthful Offender Unit","58","32","32","32","32","33","33","33","33","33","33","33","33","32","32","32","32","32"
"CMCF TVC","0","10","10","10","10","11","11","12","10","10","10","8","8","7","12","27","27","27"
"South Mississippi Correctional Institution","3,082","3,044","3,046","3,044","3,044","3,039","3,049","3,047","3,047","3,045","3,045","3,044","3,032","3,035","3,038","3,034","3,032","3,032"
"County Jails","1,781","1,299","1,299","1,299","1,299","1,329","1,287","1,297","1,331","1,331","1,331","1,367","1,361","1,356","1,352","1,351","1,351","1,351"
"COMMUNITY WORK CENTERS","1,188","914","913","913","911","902","900","904","913","910","908","907","893","890","898","908","907","900"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","62","62","62","62","62","61","61","60","60","60","62","61","61","61","61","61","61"
"George Satellite Facility","102","70","70","70","70","69","67","68","67","67","67","68","67","69","69","69","69","69"
"Harrison Satellite Facility","102","59","59","59","59","59","59","65","63","63","63","63","63","63","62","62","62","62"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","74","73","73","72","66","68","68","80","80","78","78","75","72","73","80","80","76"
"Leflore TVC Support","20","19","19","19","19","19","19","19","19","18","18","18","18","18","18","17","17","17"
"Madison Satellite Facility","62","60","60","60","60","60","59","59","56","56","56","57","57","56","56","60","60","60"
"Noxubee Satellite Facility","58","50","50","50","50","50","50","50","49","49","49","48","47","47","53","51","51","51"
"Pike Satellite Facility","93","76","76","76","75","75","76","76","76","76","76","77","77","77","77","79","79","79"
"Quitman Satellite Facility","93","49","49","49","49","51","50","50","50","49","49","48","47","47","46","46","46","46"
"Rankin Satellite Facility","178","166","166","166","166","164","162","162","167","167","167","165","163","163","161","160","160","160"
"Rankin RID","28","10","10","11","10","10","10","10","10","10","10","9","9","9","9","9","9","9"
"Flowood TVC","50","11","11","10","11","11","11","11","11","11","11","11","11","10","10","9","9","8"
"Simpson TVC","82","80","80","80","80","80","81","80","81","80","80","79","75","75","73","76","75","73"
"Simpson TVC Support","20","15","15","15","15","15","15","14","14","14","14","14","14","14","15","15","15","15"
"Washington Satellite Facility","60","60","60","60","60","58","59","59","58","58","58","58","58","58","59","59","59","59"
"Wilkinson Satellite Facility","62","53","53","53","53","53","53","52","52","52","52","52","51","51","56","55","55","55"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,494","3,823","3,822","3,821","3,819","3,815","3,805","3,820","3,822","3,819","3,818","3,809","3,807","3,828","3,815","3,815","3,814","3,809"
"Alcorn County","300","239","239","239","238","238","239","239","240","240","240","240","240","241","239","239","239","239"
"Bolivar County","369","293","293","293","292","291","291","291","292","292","292","292","292","294","294","294","294","294"
"Carroll County","280","249","249","249","249","249","249","250","249","248","248","248","248","247","244","243","243","243"
"Chickasaw County","310","278","277","277","277","277","277","277","277","277","277","278","278","279","279","278","278","278"
"George County","280","273","273","273","273","273","273","273","273","272","272","271","271","276","276","276","276","272"
