"Location","Capacity","28-Jul-10","29-Jul-10","30-Jul-10","31-Jul-10","Avg Population"
"Mississippi State Penitentiary","4,435","3,449","3,441","3,455","3,452","3,427"
"Central Mississippi Correctional Facility","3,449","3,312","3,288","3,254","3,256","3,289"
"South Mississippi Correctional Institution","3,204","3,175","3,162","3,164","3,161","3,163"
"County Jails","1,481","1,533","1,607","1,621","1,621","1,591"
"COMMUNITY WORK CENTERS","1,848","1,612","1,623","1,619","1,617","1,631"
"Alcorn Satellite Facility","92","77","76","76","76","78"
"Bolivar Satellite Facility","102","85","85","84","84","84"
"Forrest Satellite Facility","96","67","67","67","67","70"
"George Satellite Facility","102","95","96","96","96","96"
"Harrison Satellite Facility","102","83","86","85","85","80"
"Jackson Satellite Facility","102","92","92","94","94","93"
"Jefferson Satellite Facility","102","96","93","88","88","94"
"Leflore Satellite Facility","102","80","81","81","81","87"
"Madison Satellite Facility","102","91","91","93","93","97"
"Noxubee Satellite Facility","92","82","85","85","85","85"
"Pike Satellite Facility","93","89","91","91","91","81"
"Quitman Satellite Facility","93","90","93","93","93","91"
"Rankin Satellite Facility","260","228","232","228","227","231"
"Simpson Satellite Facility","102","94","94","92","92","95"
"Washington Satellite Facility","102","88","87","83","83","87"
"Wilkinson Satellite Facility","102","85","85","83","83","87"
"Yazoo Satellite Facility","102","90","89","100","99","96"
"REGIONAL CORRECTIONAL FACILITIES","3,138","2,523","2,518","2,521","2,520","2,520"
"Bolivar County","294","233","235","235","233","233"
"Carroll County","280","224","222","222","224","224"
"George County","280","224","224","224","224","224"
"Holmes County","280","224","224","224","224","224"
"Issaquena County","274","221","221","221","221","219"
"Jefferson County","280","224","224","224","224","224"
"Kemper County","330","276","274","277","277","278"
"Leake County","280","225","225","225","225","225"
"Marion County","280","224","224","222","221","223"
"Stone County","280","224","224","224","224","224"
"Winston County","280","224","221","223","223","223"
"PRIVATE PRISONS","5,972","5,314","5,306","5,306","5,299","5,307"
"Delta","972","901","900","901","899","902"
"East Mississippi","1,500","1,359","1,356","1,359","1,357","1,358"
"Marshall County","1,000","901","900","900","899","900"
"Walnut Grove","1,500","1,200","1,200","1,199","1,198","1,197"
"Wilkinson County","1,000","953","950","947","946","950"
"RESTITUTION CENTERS","16","11","11","11","11","9"
"Greenwood","6","4","4","4","4","4"
"Hinds","6","5","5","5","5","3"
"Pascagoula","4","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6"
"E-CODE","0","10","11","30","0","17"
"TOTALS","23,549","20,945","20,973","20,987","20,943","20,961"
"","","28-Jul-10","29-Jul-10","30-Jul-10","31-Jul-10",""
