"Location","Capacity","1-Jan-14","2-Jan-14","3-Jan-14","4-Jan-14","5-Jan-14","6-Jan-14","7-Jan-14","8-Jan-14","9-Jan-14"
"Mississippi State Penitentiary","4,648","3,362","3,339","3,345","3,344","3,344","3,340","3,340","3,336","3,337"
"Central Mississippi Correctional Facility","3,665","3,260","3,285","3,249","3,247","3,246","3,246","3,246","3,257","3,257"
"Youthful Offender Unit","42","39","39","39","39","39","39","39","39","39"
"South Mississippi Correctional Institution","3,282","3,207","3,191","3,218","3,215","3,212","3,191","3,191","3,207","3,201"
"County Jails","1,905","1,969","1,947","1,928","1,928","1,928","1,964","1,955","1,969","2,001"
"COMMUNITY WORK CENTERS","1,848","1,344","1,340","1,355","1,352","1,351","1,340","1,340","1,310","1,304"
"Alcorn Satellite Facility","92","92","91","91","91","91","91","91","91","91"
"Bolivar Satellite Facility","102","63","65","65","65","65","65","65","65","63"
"Forrest Satellite Facility","96","79","80","79","78","78","76","76","54","54"
"George Satellite Facility","102","68","65","66","66","66","65","65","65","67"
"Harrison Satellite Facility","102","72","71","74","74","74","74","74","73","72"
"Jackson Satellite Facility","102","74","74","73","73","73","72","72","71","71"
"Jefferson Satellite Facility","102","65","65","65","65","65","64","64","64","63"
"Leflore Satellite Facility","102","58","60","60","60","60","60","60","60","60"
"Madison Satellite Facility","102","63","63","62","62","62","62","62","62","62"
"Noxubee Satellite Facility","92","78","77","77","77","77","76","76","76","76"
"Pike Satellite Facility","93","92","91","91","91","91","91","91","91","91"
"Quitman Satellite Facility","93","84","85","91","90","89","86","86","85","85"
"Rankin Satellite Facility","260","214","212","215","215","215","215","215","214","214"
"Simpson Satellite Facility","102","85","83","84","83","83","83","83","81","81"
"Washington Satellite Facility","102","63","63","66","66","66","66","66","66","65"
"Wilkinson Satellite Facility","102","44","45","50","50","50","49","49","48","46"
"Yazoo Satellite Facility","102","50","50","46","46","46","45","45","44","43"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,410","4,415","4,414","4,411","4,411","4,405","4,405","4,401","4,395"
"Alcorn County","300","282","296","295","295","295","293","293","293","293"
"Bolivar County","369","369","367","368","367","367","367","367","366","366"
"Carroll County","280","279","280","279","278","278","277","277","277","276"
"Chickasaw County","300","300","298","300","300","300","299","299","299","299"
"George County","280","279","278","278","278","278","278","278","276","275"
"Holmes County","280","280","279","280","280","280","280","280","280","280"
"Issaquena County","274","273","273","273","273","273","273","273","272","272"
"Jefferson County","280","279","278","277","277","277","277","277","277","277"
"Kemper County","355","355","355","354","354","354","354","354","354","353"
"Leake County","280","280","280","279","279","279","278","278","278","278"
"Marion County","280","280","279","278","278","278","277","277","280","280"
"Stone County","280","280","280","279","278","278","278","278","278","278"
"Washington County","300","296","295","298","298","298","298","298","297","297"
"Winston County","280","278","277","277","277","277","277","277","277","275"
"Yazoo County","300","300","300","299","299","299","299","299","297","296"
"PRIVATE PRISONS","5,972","4,388","4,394","4,397","4,395","4,393","4,380","4,380","4,377","4,374"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,197","1,197","1,204","1,204","1,203","1,200","1,200","1,198","1,196"
"Marshall County","1,000","997","999","997","996","996","994","994","995","995"
"Walnut Grove","1,500","1,293","1,298","1,296","1,295","1,294","1,292","1,292","1,290","1,289"
"Wilkinson County","1,000","901","900","900","900","900","894","894","894","894"
"RESTITUTION CENTERS","16","13","12","10","10","11","11","11","11","11"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","5","4","3","3","3","3","3","3","3"
"Pascagoula","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","0","0","0","0","0","0","0","0","0"
"TOTALS","25,611","21,992","21,962","21,955","21,941","21,935","21,916","21,907","21,907","21,919"
