"Location","Capacity","19-Oct-11","20-Oct-11","21-Oct-11","22-Oct-11","23-Oct-11","24-Oct-11","25-Oct-11","26-Oct-11","27-Oct-11"
"Mississippi State Penitentiary","3,356","3,055","3,074","3,069","3,067","3,067","3,065","3,058","3,061","3,061"
"Central Mississippi Correctional Facility","3,449","3,038","3,008","3,012","3,009","3,011","3,029","3,046","3,067","3,092"
"South Mississippi Correctional Institution","3,256","3,185","3,182","3,196","3,195","3,194","3,194","3,197","3,201","3,200"
"County Jails","1,616","1,973","1,955","1,925","1,925","1,925","1,952","1,942","1,927","1,942"
"COMMUNITY WORK CENTERS","1,848","1,523","1,517","1,486","1,484","1,483","1,506","1,506","1,507","1,507"
"Alcorn Satellite Facility","92","85","85","82","82","82","83","83","83","86"
"Bolivar Satellite Facility","102","82","82","87","87","87","86","86","86","84"
"Forrest Satellite Facility","96","81","84","81","80","80","80","79","80","78"
"George Satellite Facility","102","78","78","85","85","85","85","84","84","83"
"Harrison Satellite Facility","102","90","90","84","84","84","86","85","86","84"
"Jackson Satellite Facility","102","90","89","83","83","83","88","87","87","88"
"Jefferson Satellite Facility","102","75","72","70","70","70","69","69","69","68"
"Leflore Satellite Facility","102","88","88","89","89","89","89","89","88","87"
"Madison Satellite Facility","102","92","92","88","88","87","86","85","85","90"
"Noxubee Satellite Facility","92","76","76","70","70","70","79","79","79","77"
"Pike Satellite Facility","93","69","69","69","69","69","68","69","67","67"
"Quitman Satellite Facility","93","76","74","73","72","72","73","72","72","72"
"Rankin Satellite Facility","260","195","190","188","188","188","191","195","195","194"
"Simpson Satellite Facility","102","94","92","89","89","89","89","88","88","89"
"Washington Satellite Facility","102","90","90","88","88","88","91","93","93","93"
"Wilkinson Satellite Facility","102","83","80","74","74","74","80","80","80","80"
"Yazoo Satellite Facility","102","79","86","86","86","86","83","83","85","87"
"REGIONAL CORRECTIONAL FACILITIES","4,363","3,495","3,493","3,486","3,484","3,481","3,488","3,490","3,486","3,489"
"Alcorn County","300","250","249","249","248","248","247","247","249","247"
"Bolivar County","294","236","235","234","234","234","235","235","235","235"
"Carroll County","280","223","224","224","224","224","224","224","224","224"
"Chickasaw County","300","249","247","248","247","246","250","248","248","247"
"George County","280","224","224","223","223","223","224","228","222","223"
"Holmes County","280","224","224","222","222","222","224","224","224","224"
"Issaquena County","274","219","219","219","219","219","219","219","219","218"
"Jefferson County","280","221","222","222","222","222","224","223","223","224"
"Kemper County","355","281","281","281","281","280","280","280","279","280"
"Leake County","280","224","224","224","224","224","224","224","224","224"
"Marion County","280","224","224","223","223","223","223","223","223","224"
"Stone County","280","224","224","223","223","223","223","224","224","224"
"Washington County","300","221","220","220","220","219","218","218","219","219"
"Winston County","280","223","224","223","223","223","223","223","223","224"
"Yazoo County","300","252","252","251","251","251","250","250","250","252"
"PRIVATE PRISONS","5,972","5,172","5,181","5,178","5,175","5,174","5,170","5,176","5,194","5,181"
"Delta","972","901","899","899","898","898","898","897","901","901"
"East Mississippi","1,500","1,364","1,362","1,359","1,358","1,357","1,357","1,362","1,362","1,360"
"Marshall County","1,000","999","997","999","999","999","999","998","997","997"
"Walnut Grove","1,500","1,015","1,030","1,023","1,022","1,022","1,020","1,024","1,039","1,028"
"Wilkinson County","1,000","893","893","898","898","898","896","895","895","895"
"RESTITUTION CENTERS","16","12","12","12","12","12","12","12","12","11"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","5","5","5","5","5","5","5","5","4"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","5","6","54","55","54","7","7","8","8"
"TOTALS","23,882","21,463","21,433","21,423","21,411","21,406","21,428","21,439","21,468","21,496"
"","","19-Oct-11","20-Oct-11","21-Oct-11","22-Oct-11","23-Oct-11","24-Oct-11","25-Oct-11","26-Oct-11","27-Oct-11"
