"Location","Capacity","1-May-14","2-May-14","3-May-14","4-May-14","5-May-14","6-May-14","7-May-14","8-May-14","9-May-14","10-May-14"
"Mississippi State Penitentiary","4,648","3,297","3,280","3,280","3,279","3,290","3,280","3,284","3,289","3,282","3,284"
"Central Mississippi Correctional Facility","3,665","2,793","2,796","2,795","2,796","2,825","2,827","2,654","2,833","2,807","2,804"
"Youthful Offender Unit","42","37","37","37","37","37","37","39","39","39","39"
"South Mississippi Correctional Institution","3,282","3,231","3,220","3,219","3,217","3,220","3,217","3,219","3,214","3,208","3,207"
"County Jails","2,020","1,876","1,916","1,916","1,916","1,886","1,844","2,017","1,841","1,851","1,851"
"COMMUNITY WORK CENTERS","1,848","1,173","1,171","1,168","1,166","1,164","1,163","1,162","1,168","1,158","1,156"
"Alcorn Satellite Facility","92","89","87","87","87","86","86","87","86","85","85"
"Bolivar Satellite Facility","102","45","44","44","44","44","43","43","43","45","45"
"Forrest Satellite Facility","96","51","51","51","51","51","51","51","51","46","46"
"George Satellite Facility","102","67","68","68","68","68","68","68","68","66","66"
"Harrison Satellite Facility","102","53","55","55","55","56","56","56","56","57","57"
"Jackson Satellite Facility","102","49","49","49","49","49","49","49","49","49","49"
"Jefferson Satellite Facility","102","44","45","45","45","45","44","42","41","40","40"
"Leflore Satellite Facility","102","49","47","47","47","49","50","50","50","56","56"
"Madison Satellite Facility","102","64","64","64","65","64","64","64","63","62","62"
"Noxubee Satellite Facility","92","75","74","74","73","73","72","72","77","77","77"
"Pike Satellite Facility","93","86","90","89","89","88","90","90","90","86","86"
"Quitman Satellite Facility","93","76","76","76","75","75","75","73","73","71","69"
"Rankin Satellite Facility","260","198","197","195","195","194","193","194","195","194","194"
"Simpson Satellite Facility","102","99","101","101","101","100","99","99","101","99","99"
"Washington Satellite Facility","102","45","44","44","44","44","46","46","47","46","46"
"Wilkinson Satellite Facility","102","41","40","40","40","40","39","40","40","44","44"
"Yazoo Satellite Facility","102","42","39","39","38","38","38","38","38","35","35"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,417","4,420","4,417","4,414","4,403","4,403","4,394","4,394","4,399","4,396"
"Alcorn County","300","299","299","299","299","298","297","297","297","296","296"
"Bolivar County","369","369","369","369","369","369","369","363","363","369","369"
"Carroll County","280","277","280","280","280","280","279","279","278","277","277"
"Chickasaw County","300","298","298","298","297","294","301","300","299","298","297"
"George County","280","280","277","276","276","276","275","280","280","280","280"
"Holmes County","280","280","280","280","280","278","276","273","271","276","275"
"Issaquena County","274","274","274","274","274","274","273","273","271","274","274"
"Jefferson County","280","280","280","280","280","279","279","279","280","279","279"
"Kemper County","355","355","355","353","352","352","351","353","355","350","350"
"Leake County","280","276","276","276","276","273","273","275","281","281","281"
"Marion County","280","280","280","280","279","280","279","279","279","279","279"
"Stone County","280","278","280","280","280","280","280","280","278","280","280"
"Washington County","300","293","293","293","293","291","292","286","286","286","286"
"Winston County","280","278","280","280","280","280","279","278","278","278","277"
"Yazoo County","300","300","299","299","299","299","300","299","298","296","296"
"PRIVATE PRISONS","5000","4341","4357","4352","4350","4347","4347","4333","4335","4342","4342"
"East Mississippi","1,500","1,196","1,195","1,194","1,192","1,193","1,195","1,195","1,197","1,198","1,198"
"Marshall County","1,000","999","999","998","998","998","998","997","997","999","999"
"Walnut Grove","1,500","1,288","1,286","1,284","1,284","1,282","1,271","1,263","1,263","1,269","1,269"
"Wilkinson County","1,000","858","877","876","876","874","883","878","878","876","876"
"RESTITUTION CENTERS","16","9","9","9","9","9","9","9","9","9","9"
"Greenwood","6","2","2","2","2","2","2","2","2","2","2"
"Hinds","6","5","5","5","5","5","5","5","5","5","5"
"Pascagoula","4","2","2","2","2","2","2","2","2","2","2"
"TOTALS","24,959","21,174","21,206","21,193","21,184","21,181","21,127","21,111","21,122","21,095","21,088"
