"Location","Capacity","20-Dec-18","21-Dec-18","22-Dec-18","23-Dec-18","24-Dec-18","25-Dec-18","26-Dec-18","27-Dec-18","28-Dec-18","29-Dec-18","30-Dec-18","31-Dec-18","Avg Population"
"Mississippi State Penitentiary","3,560","3,278","3,277","3,274","3,274","3,274","3,270","3,276","3,277","3,274","3,274","3,275","3,275","3,278"
"Central Mississippi Correctional Facility","4,131","3,928","3,930","3,927","3,930","3,931","3,931","3,967","3,901","3,871","3,872","3,871","3,867","3,889"
"Youthful Offender Unit","58","39","39","37","37","39","39","37","38","38","38","38","36","37"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","3,056","3,059","3,058","3,058","3,058","3,058","3,059","3,053","3,057","3,057","3,057","3,056","3,055"
"County Jails","1,781","1,251","1,232","1,232","1,232","1,232","1,232","1,178","1,162","1,147","1,147","1,147","1,147","1263"
"COMMUNITY WORK CENTERS","1,536","1,003","1,006","1,003","996","987","982","995","994","1,013","1,010","1,008","1,008","1002"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","81","81","81","81","81","81","84","83","84","84","84","84","80"
"Delta TVC","324","265","268","266","266","258","256","266","265","266","264","263","263","261"
"Forrest Satellite Facility","96","51","51","51","51","51","51","51","51","50","50","50","50","53"
"George Satellite Facility","102","75","74","74","74","74","74","74","73","73","73","73","73","75"
"Harrison Satellite Facility","102","48","48","48","48","48","48","48","48","48","48","48","48","49"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","65","65","65","64","64","64","64","65","70","70","70","70","68"
"Noxubee Satellite Facility","58","45","45","45","45","45","45","45","45","53","53","53","53","44"
"Pike Satellite Facility","93","69","69","68","68","68","68","68","68","73","73","73","73","70"
"Quitman Satellite Facility","93","55","55","55","55","55","55","55","57","57","57","57","57","55"
"Rankin Satellite Facility","178","148","149","149","149","149","149","149","149","151","151","151","151","151"
"Rankin RID","28","19","19","19","19","19","19","19","19","18","18","18","18","19"
"Flowood TVC","50","32","32","32","26","25","22","22","21","21","20","19","19","26"
"Simpson TVC","82","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Simpson TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","50","50","50","50","50","50","50","50","49","49","49","49","52"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,556","3,727","3,728","3,725","3,723","3,722","3,721","3,717","3,743","3,759","3,758","3,757","3,757","3,721"
"Alcorn County","300","240","240","240","240","240","240","240","240","239","239","239","239","239"
"Bolivar County","369","291","294","293","292","292","292","292","291","291","291","291","291","292"
"Carroll County","280","269","269","269","269","268","268","267","269","269","269","269","269","269"
"Chickasaw County","310","239","239","239","239","239","238","237","240","240","240","240","240","240"
"George County","342","201","201","200","200","200","200","200","199","199","199","199","199","200"
"Holmes County","280","198","197","197","197","197","197","197","200","200","200","200","200","199"
