"Location","Capacity","28-Jun-09","29-Jun-09","30-Jun-09","","Avg Population"
"Mississippi State Penitentiary","4,627","4,071","4,066","4,059","","4,104"
"Central Mississippi Correctional Facility","3,665","3,279","3,293","3,266","","3,315"
"South Mississippi Correctional Institution","3,204","3,001","2,986","2,969","","3,030"
"County Jails","1,558","1,499","1,525","1,543","","1,539"
"COMMUNITY WORK CENTERS","1,848","1,669","1,718","1,685","","1,601"
"Alcorn Satellite Facility","92","78","84","81","","79"
"Bolivar Satellite Facility","102","89","91","90","","84"
"Forrest Satellite Facility","96","85","89","88","","84"
"George Satellite Facility","102","88","91","91","","84"
"Harrison Satellite Facility","102","90","90","87","","78"
"Jackson Satellite Facility","102","98","98","92","","95"
"Jefferson Satellite Facility","102","89","96","98","","81"
"Leflore Satellite Facility","102","88","95","88","","85"
"Madison Satellite Facility","102","94","96","95","","85"
"Noxubee Satellite Facility","92","85","86","82","","81"
"Pike Satellite Facility","93","83","84","85","","88"
"Quitman Satellite Facility","93","81","85","80","","79"
"Rankin Satellite Facility","260","245","247","251","","247"
"Simpson Satellite Facility","102","95","95","93","","91"
"Washington Satellite Facility","102","93","97","96","","84"
"Wilkinson Satellite Facility","102","94","97","91","","81"
"Yazoo Satellite Facility","102","94","97","97","","96"
"REGIONAL CORRECTIONAL FACILITIES","3,088","2,905","2,909","2,904","","2,911"
"Bolivar County","294","279","281","278","","280"
"Carroll County","280","265","264","264","","266"
"George County","280","264","264","265","","264"
"Holmes County","280","251","250","250","","253"
"Issaquena County","274","259","258","257","","259"
"Jefferson County","280","263","265","265","","265"
"Kemper County","280","263","266","264","","265"
"Leake County","280","266","264","266","","265"
"Marion County","280","266","266","265","","265"
"Stone County","280","265","265","264","","264"
"Winston County","280","264","266","266","","265"
"PRIVATE PRISONS","5,972","5,476","5,468","5,485","","5,491"
"Delta","972","948","949","957","","954"
"East Mississippi","1,500","1,359","1,353","1,353","","1,359"
"Marshall County","1,000","982","981","983","","982"
"Walnut Grove","1,500","1,220","1,217","1,221","","1,222"
"Wilkinson County","1,000","967","968","971","","973"
"RESTITUTION CENTERS","16","11","11","11","","10"
"Greenwood","6","6","6","6","","5"
"Hinds","6","4","4","4","","4"
"Pascagoula","4","1","1","1","","1"
"GOVERNOR'S MANSION","6","6","6","6","","6"
"E-CODE","0","37","10","12","","24"
"TOTALS","23,984","21,954","21,992","21,940","","22,033"
