"Location","Capacity","1-Apr-16","2-Apr-16","3-Apr-16","4-Apr-16","5-Apr-16","6-Apr-16","7-Apr-16","8-Apr-16","9-Apr-16"
"Mississippi State Penitentiary","3,590","3,370","3,369","3,369","3,369","3,354","3,354","3,354","3,354","3,354"
"Central Mississippi Correctional Facility","3,506","2,817","2,816","2,816","2,816","2,830","2,830","2,830","2,830","2,830"
"Youthful Offender Unit","58","32","31","31","31","32","32","32","33","33"
"CMCF TVC","","5","5","5","5","5","5","5","5","5"
"South Mississippi Correctional Institution","3,082","2,926","2,925","2,925","2,925","2,962","2,962","2,962","2,963","2,962"
"County Jails","1,986","1,472","1,471","1,472","1,456","1,460","1,457","1,463","1,454","1,452"
"COMMUNITY WORK CENTERS","1,848","1,196","1,193","1,192","1,192","1,185","1,185","1,180","1,190","1,189"
"Alcorn Satellite Facility","92","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","102","30","29","29","29","30","30","30","31","30"
"Forrest Satellite Facility","96","70","69","69","69","74","74","74","75","75"
"George Satellite Facility","102","81","80","80","80","81","81","81","82","82"
"Harrison Satellite Facility","102","70","70","70","70","75","75","75","76","76"
"Jackson Satellite Facility","102","41","41","41","41","41","41","41","42","42"
"Jefferson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Lefore TVC Support","20","20","20","20","20","74","74","74","75","75"
"Lefore TVC","82","79","79","79","79","19","19","19","20","20"
"Madison Satellite Facility","102","92","92","92","92","92","92","92","93","93"
"Noxubee Satellite Facility","92","88","88","88","88","87","87","87","88","88"
"Pike Satellite Facility","93","86","86","86","86","84","84","84","85","85"
"Quitman Satellite Facility","93","89","89","89","89","88","88","87","87","87"
"Rankin Satellite Facility","260","173","173","173","173","171","171","171","171","171"
"Flowood TVC","","30","30","30","30","28","28","28","28","28"
"Simpson TVC support","20","7","7","7","7","6","6","5","5","5"
"Simpson TVC","82","80","80","80","80","74","74","73","73","73"
"Washington Satellite Facility","102","93","93","93","93","90","90","89","89","89"
"Wilkinson Satellite Facility","102","67","67","66","66","71","71","70","70","70"
"Yazoo Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,378","3,425","3,424","3,410","3,424","3,414","3,426","3,412","3,412","3,412"
"Alcorn County","240","240","239","238","239","237","237","236","236","236"
"Bolivar County","369","294","294","293","294","292","293","292","292","292"
"Carroll County","280","240","240","239","240","239","240","239","239","239"
"Chickasaw County","300","240","240","239","240","242","243","242","242","242"
"George County","280","200","200","199","200","200","201","200","200","200"
"Holmes County","280","200","200","199","200","200","200","199","199","199"
"Issaquena County","274","240","240","239","240","240","241","240","240","240"
"Jefferson County","280","239","239","238","239","240","241","240","240","240"
"Kemper County","355","259","259","258","259","259","260","259","259","259"
"Leake County","280","199","199","198","199","197","198","197","197","197"
"Marion County","280","200","200","199","200","201","202","201","201","201"
"Stone County","280","200","200","199","200","199","200","199","199","199"
"Washington County","300","236","236","236","236","235","235","235","235","235"
"Winston County","280","199","199","198","199","196","197","196","196","196"
"Yazoo County","300","239","239","238","239","237","238","237","237","237"
"PRIVATE PRISONS","5,972","3,949","3,949","3,948","3,952","3,932","3,936","3,932","3,932","3,932"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,126","1,126","1,125","1,126","1,120","1,121","1,120","1,120","1,120"
"Marshall County","1,000","996","996","996","997","992","993","992","992","992"
"Walnut Grove","1,500","931","931","931","932","929","930","929","929","929"
"Wilkinson County","1,000","896","896","896","897","891","892","891","891","891"
"RESTITUTION CENTERS","16","12","12","12","15","14","19","19","19","19"
"Greenwood","6","4","4","4","5","5","6","6","6","6"
"Hinds","6","6","6","6","7","7","9","9","9","9"
"Pascagoula","4","2","2","2","3","2","4","4","4","4"
"TOTALS","24,436","19,204","19,195","19,180","19,185","19,188","19,206","19,189","19,192","19,188"
"","","1-Apr-16","2-Apr-16","3-Apr-16","4-Apr-16","5-Apr-16","6-Apr-16","7-Apr-16","8-Apr-16","9-Apr-16"
