"Location","Capacity","19-Mar-15","20-Mar-15","21-Mar-15","22-Mar-15","23-Mar-15","24-Mar-15","25-Mar-15","26-Mar-15","27-Mar-15"
"Mississippi State Penitentiary","4,648","3,091","3,145","3,100","3,099","3,102","3,192","3,184","3,097","3,211"
"MSP TVC","108","92","91","91","91","84","93","95","92","92"
"Central Mississippi Correctional Facility","3,469","2,395","2,395","2,395","2,395","2,382","2,403","2,409","2,407","2,400"
"Youthful Offender Unit","58","24","24","24","24","24","24","24","24","24"
"CMCF TVC","158","125","125","125","125","126","121","119","118","118"
"South Mississippi Correctional Institution","3,282","2,412","2,412","2,412","2,412","2,364","2,323","2,325","2,418","2,325"
"SMCI TVC","0","96","96","96","96","87","92","93","97","97"
"County Jails","1,995","1,548","1,529","1,547","1,512","1,616","1,521","1,517","1,533","1,531"
"COMMUNITY WORK CENTERS","1,848","1,038","998","1,018","1,019","1,027","1,038","1,058","1,051","1,038"
"Alcorn Satellite Facility","92","52","52","52","52","52","51","51","54","54"
"Bolivar Satellite Facility","102","52","49","49","49","50","50","49","48","46"
"Forrest Satellite Facility","96","52","52","52","52","52","51","50","50","49"
"George Satellite Facility","102","56","56","56","56","56","56","56","57","56"
"Harrison Satellite Facility","102","43","46","46","46","46","45","45","45","44"
"Jackson Satellite Facility","102","50","49","49","49","49","49","49","49","51"
"Jefferson Satellite Facility","102","41","40","40","40","39","40","40","40","39"
"Leflore Satellite Facility","102","49","47","47","47","47","48","47","47","46"
"Madison Satellite Facility","102","50","40","40","40","40","39","47","48","46"
"Noxubee Satellite Facility","92","58","57","57","57","58","58","58","59","56"
"Pike Satellite Facility","93","73","80","80","80","80","86","86","85","85"
"Quitman Satellite Facility","93","51","51","50","51","52","52","53","53","53"
"Rankin Satellite Facility","260","163","159","159","159","163","171","183","172","171"
"Simpson Satellite Facility","102","100","100","100","100","100","100","101","101","99"
"Washington Satellite Facility","102","48","44","44","44","47","47","47","47","47"
"Wilkinson Satellite Facility","102","52","31","52","52","49","48","49","49","49"
"Yazoo Satellite Facility","102","48","45","45","45","47","47","47","47","47"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,178","4,170","4,165","4,170","4,157","4,169","4,177","4,171","4,172"
"Alcorn County","300","300","300","300","300","287","300","300","300","300"
"Bolivar County","369","354","351","351","351","351","352","349","349","354"
"Carroll County","280","265","264","264","264","264","263","273","274","278"
"Chickasaw County","300","300","300","300","300","300","300","300","300","295"
"George County","280","254","264","264","264","260","257","260","258","257"
"Holmes County","280","264","262","262","262","269","269","270","270","271"
"Issaquena County","274","262","258","256","258","255","256","256","256","253"
"Jefferson County","280","267","266","265","266","265","263","262","257","258"
"Kemper County","355","327","324","324","324","329","340","341","340","342"
"Leake County","280","256","256","254","256","251","251","250","253","256"
"Marion County","280","268","268","268","268","269","269","267","267","266"
"Stone County","280","274","273","273","273","273","272","272","272","271"
"Washington County","300","252","250","250","250","250","249","251","251","251"
"Winston County","280","254","253","253","253","253","249","248","246","242"
"Yazoo County","300","281","281","281","281","281","279","278","278","278"
"PRIVATE PRISONS","5,972","4,011","4,013","4,012","4,013","4,016","4,013","4,011","4,009","3,990"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,164","1,167","1,166","1,167","1,166","1,166","1,164","1,163","1,166"
"Marshall County","1,000","998","997","997","997","998","998","998","1,000","999"
"Walnut Grove","1,500","958","958","958","958","956","955","957","954","931"
"Wilkinson County","1,000","891","891","891","891","896","894","892","892","894"
"RESTITUTION CENTERS","16","5","5","5","5","5","5","5","7","7"
"Greenwood","6","3","3","3","3","3","3","3","3","3"
"Hinds","6","1","1","1","1","1","1","1","3","3"
"Pascagoula","4","1","1","1","1","1","1","1","1","1"
"TOTALS","25,726","19,015","19,003","18,990","18,961","18,990","18,994","19,017","19,024","19,005"
