"Location","Capacity","28-Dec-13","29-Dec-13","30-Dec-13","","31-Dec-13 Avg Population"
"Mississippi State Penitentiary","4,648","3,350","3,349","","","3,358"
"Central Mississippi Correctional Facility","3,557","3,235","3,232","","","3,276"
"Youthful Offender Unit","42","38","38","","","40"
"South Mississippi Correctional Institution","3,282","3,201","3,200","","","3,193"
"County Jails","2,017","2,006","2,006","","","2,073"
"COMMUNITY WORK CENTERS","1,848","1,341","1,340","0","0","1,358"
"Alcorn Satellite Facility","92","88","88","","","89"
"Bolivar Satellite Facility","102","63","63","","","63"
"Forrest Satellite Facility","96","78","78","","","77"
"George Satellite Facility","102","69","69","","","69"
"Harrison Satellite Facility","102","72","72","","","74"
"Jackson Satellite Facility","102","71","71","","","65"
"Jefferson Satellite Facility","102","65","65","","","67"
"Leflore Satellite Facility","102","59","59","","","64"
"Madison Satellite Facility","102","63","63","","","68"
"Noxubee Satellite Facility","92","78","77","","","78"
"Pike Satellite Facility","93","93","93","","","92"
"Quitman Satellite Facility","93","84","84","","","88"
"Rankin Satellite Facility","260","214","214","","","216"
"Simpson Satellite Facility","102","85","85","","","81"
"Washington Satellite Facility","102","63","63","","","66"
"Wilkinson Satellite Facility","102","46","46","","","50"
"Yazoo Satellite Facility","102","50","50","","","51"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,394","4,392","0","0","4,411"
"Alcorn County","300","270","270","","","281"
"Bolivar County","369","370","370","","","368"
"Carroll County","280","279","279","","","279"
"Chickasaw County","300","300","300","","","299"
"George County","280","277","276","","","278"
"Holmes County","280","279","279","","","279"
"Issaquena County","274","274","274","","","274"
"Jefferson County","280","279","279","","","279"
"Kemper County","355","354","354","","","354"
"Leake County","280","276","276","","","278"
"Marion County","280","279","279","","","288"
"Stone County","280","280","280","","","279"
"Washington County","300","298","297","","","294"
"Winston County","280","279","279","","","279"
"Yazoo County","300","300","300","","","300"
"PRIVATE PRISONS","5,972","4,393","4,393","0","0","4,403"
"Delta","972","0","0","","","0"
"East Mississippi","1,500","1,198","1,198","","","1,199"
"Marshall County","1,000","999","999","","","998"
"Walnut Grove","1,500","1,295","1,295","","","1,306"
"Wilkinson County","1,000","901","901","","","900"
"RESTITUTION CENTERS","16","13","13","0","0","12"
"Greenwood","6","4","4","","","4"
"Hinds","6","5","5","","","4"
"Pascagoula","4","4","4","","","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0"
"E-CODE","0","0","0","0","0","0"
"TOTALS","25,826","21,971","21,963","0","0","22,124"
"","","28-Dec-13","29-Dec-13","30-Dec-13","31-Dec-13",""
