"Location","Capacity","18-Aug-18","19-Aug-18","20-Aug-18","21-Aug-18","22-Aug-18","23-Aug-18","24-Aug-18","25-Aug-18","26-Aug-18","27-Aug-18","28-Aug-18","29-Aug-18","30-Aug-18","31-Aug-18","Avg Population"
"Mississippi State Penitentiary","3,590","3,265","3,263","3,258","3,254","3,272","3,267","3,274","3,275","3,275","3,271","3,267","3,263","3,259","3,261","3,281"
"Central Mississippi Correctional Facility","4,022","3,808","3,808","3,828","3,837","3,827","3,850","3,816","3,792","3,794","3,796","3,813","3,837","3,861","3,837","3,775"
"Youthful Offender Unit","58","37","37","37","37","38","38","38","38","38","36","35","36","36","36","36"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","3,053","3,053","3,050","3,053","3,056","3,058","3,061","3,059","3,061","3,062","3,058","3,060","3,055","3,045","3,051"
"County Jails","1,791","1,300","1,300","1,296","1,283","1,300","1,288","1,319","1,319","1,319","1,345","1,333","1,336","1,364","1,379","1288"
"COMMUNITY WORK CENTERS","1,512","974","970","993","985","996","1,002","993","1,015","1,013","1,037","1,032","1,037","1,025","1,022","997"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","73","73","74","74","74","78","78","78","78","78","78","78","75","75","75"
"Delta TVC","300","229","225","247","245","258","257","257","259","259","280","275","281","277","271","246"
"Forrest Satellite Facility","96","64","64","66","66","65","65","65","65","64","64","64","63","62","62","64"
"George Satellite Facility","102","71","71","71","68","68","68","66","66","66","68","67","67","67","67","68"
"Harrison Satellite Facility","102","58","58","57","57","57","57","57","57","56","56","54","54","53","53","58"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","66","66","67","67","68","68","68","68","68","67","67","67","67","67","67"
"Noxubee Satellite Facility","58","45","45","47","47","47","47","46","46","46","46","45","45","45","48","47"
"Pike Satellite Facility","93","69","69","69","69","69","69","70","70","70","69","71","71","71","71","70"
"Quitman Satellite Facility","93","56","56","56","55","55","55","52","52","52","52","52","53","53","53","55"
"Rankin Satellite Facility","178","145","145","142","141","140","140","136","136","136","140","142","141","140","140","141"
"Rankin RID","28","22","22","21","21","20","20","20","20","20","20","20","20","20","20","21"
"Flowood TVC","50","28","28","27","26","26","26","26","46","46","45","45","45","43","43","35"
"Simpson TVC","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Simpson TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","48","48","49","49","49","52","52","52","52","52","52","52","52","52","51"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,556","3,648","3,648","3,642","3,632","3,643","3,644","3,666","3,664","3,664","3,651","3,641","3,639","3,633","3,646","3,671"
"Alcorn County","300","239","239","239","239","239","239","238","238","238","237","237","237","236","235","238"
"Bolivar County","369","288","288","287","286","286","285","294","294","294","294","294","294","294","294","290"
"Carroll County","280","271","271","271","270","270","270","268","268","268","267","266","265","263","262","278"
"Chickasaw County","310","243","243","242","242","241","243","242","242","242","242","242","241","241","241","243"
"George County","342","198","198","198","198","200","200","198","198","198","198","197","197","197","199","199"
"Holmes County","280","201","201","201","200","199","199","198","198","198","197","197","199","198","198","200"
"Issaquena County","274","265","265","265","265","265","268","270","270","270","270","269","270","270","267","268"
"Jefferson County","280","267","267","266","266","269","269","269","269","269","267","267","266","265","270","267"
"Kemper County","355","251","251","251","250","249","248","255","254","254","254","252","250","250","256","254"
"Leake County","280","264","264","263","263","263","263","270","269","269","269","269","269","269","266","266"
"Marion County","280","267","267","267","267","269","269","268","268","268","267","267","267","266","266","268"
"Stone County","326","202","202","202","202","202","202","201","201","201","199","199","199","199","199","202"
"Washington County","300","193","193","193","193","199","199","198","198","198","197","193","194","194","194","197"
"Winston County","280","256","256","255","252","253","251","258","258","258","254","253","252","252","261","260"
