"Location","Capacity","10-May-09","11-May-09","12-May-09","13-May-09","14-May-09","15-May-09","16-May-09","17-May-09","18-May-09"
"Mississippi State Penitentiary","4,627","4,075","4,107","4,126","4,094","4,112","4,108","4,103","4,102","4,120"
"Central Mississippi Correctional Facility","3,665","3,469","3,460","3,451","3,467","3,465","3,447","3,446","3,444","3,429"
"South Mississippi Correctional Institution","3,204","3,093","3,081","3,100","3,088","3,088","3,106","3,107","3,107","3,112"
"County Jails","1,752","1,742","1,728","1,692","1,684","1,661","1,666","1,666","1,666","1,662"
"COMMUNITY WORK CENTERS","1,848","1,526","1,543","1,537","1,546","1,544","1,519","1,512","1,510","1,543"
"Alcorn Satellite Facility","92","78","80","80","80","79","73","73","73","80"
"Bolivar Satellite Facility","102","81","84","84","84","82","80","80","80","79"
"Forrest Satellite Facility","96","70","74","73","74","73","68","68","68","70"
"George Satellite Facility","102","85","85","84","84","83","84","83","83","83"
"Harrison Satellite Facility","102","78","79","78","78","75","75","72","72","71"
"Jackson Satellite Facility","102","85","85","86","85","91","85","85","83","86"
"Jefferson Satellite Facility","102","82","83","82","81","81","79","79","79","79"
"Leflore Satellite Facility","102","79","80","80","80","79","81","81","81","82"
"Madison Satellite Facility","102","93","91","91","96","96","95","95","95","96"
"Noxubee Satellite Facility","92","72","73","73","71","71","69","69","69","70"
"Pike Satellite Facility","93","81","81","80","79","79","76","76","76","77"
"Quitman Satellite Facility","93","69","71","70","70","70","66","65","65","68"
"Rankin Satellite Facility","260","245","248","248","248","251","247","246","246","249"
"Simpson Satellite Facility","102","90","89","88","91","91","92","92","92","100"
"Washington Satellite Facility","102","80","80","80","80","79","81","81","81","82"
"Wilkinson Satellite Facility","102","70","72","72","73","72","71","71","71","75"
"Yazoo Satellite Facility","102","88","88","88","92","92","97","96","96","96"
"REGIONAL CORRECTIONAL FACILITIES","3,088","2,917","2,931","2,930","2,920","2,916","2,918","2,915","2,913","2,922"
"Bolivar County","294","280","280","279","276","280","279","277","276","276"
"Carroll County","280","263","267","266","266","265","265","265","265","265"
"George County","280","264","265","264","263","262","262","261","261","264"
"Holmes County","280","264","266","266","264","263","264","264","264","266"
"Issaquena County","274","258","260","259","258","257","259","259","259","259"
"Jefferson County","280","265","266","266","264","262","263","263","263","264"
"Kemper County","280","265","266","266","266","266","266","266","265","266"
"Leake County","280","265","265","266","266","265","265","265","265","265"
"Marion County","280","265","266","266","266","266","266","266","266","266"
"Stone County","280","264","265","266","266","265","265","264","264","266"
"Winston County","280","264","265","266","265","265","264","265","265","265"
"PRIVATE PRISONS","5,972","5,485","5,502","5,503","5,500","5,494","5,487","5,483","5,480","5,479"
"Delta","972","955","955","955","956","956","954","954","953","953"
"East Mississippi","1,500","1,365","1,364","1,365","1,364","1,361","1,359","1,358","1,357","1,361"
"Marshall County","1,000","980","983","982","983","982","984","982","982","980"
"Walnut Grove","1,500","1,209","1,224","1,223","1,220","1,218","1,215","1,215","1,214","1,210"
"Wilkinson County","1,000","976","976","978","977","977","975","974","974","975"
"RESTITUTION CENTERS","16","9","9","9","9","9","9","9","9","10"
"Greenwood","6","3","3","3","3","3","3","3","3","4"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","30","9","7","11","13","54","55","55","12"
"TOTALS","24,178","22,352","22,376","22,361","22,325","22,308","22,320","22,302","22,292","22,295"
