"Location","Capacity","1-Sep-15","2-Sep-15","3-Sep-15","4-Sep-15","5-Sep-15","6-Sep-15","7-Sep-15","8-Sep-15","9-Sep-15"
"Mississippi State Penitentiary","4,648","3,111","3,112","3,112","3,112","3,112","3,112","3,112","3,112","3,112"
"MSP TVC","108","92","93","93","93","93","93","93","93","93"
"Central Mississippi Correctional Facility","3,469","2,449","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450"
"Youthful Offender Unit","58","27","28","28","28","28","28","28","28","28"
"CMCF TVC","158","133","134","134","134","134","134","134","134","134"
"South Mississippi Correctional Institution","3,282","2,513","2,514","2,514","2,514","2,514","2,514","2,514","2,514","2,514"
"SMCI TVC","0","91","92","92","92","92","92","92","92","92"
"County Jails","2,006","1,086","1,093","1,096","1,119","1,119","1,119","1,118","1,150","1,101"
"COMMUNITY WORK CENTERS","1,848","1,184","1,193","1,192","1,197","1,197","1,197","1,196","1,195","1,206"
"Alcorn Satellite Facility","92","91","92","92","92","92","92","92","92","92"
"Bolivar Satellite Facility","102","71","72","72","72","72","72","72","72","72"
"Forrest Satellite Facility","96","53","54","54","54","54","54","54","54","55"
"George Satellite Facility","102","49","50","50","50","50","50","50","50","51"
"Harrison Satellite Facility","102","50","51","51","51","51","51","51","51","52"
"Jackson Satellite Facility","102","50","51","51","51","51","51","51","51","52"
"Jefferson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Leflore Satellite Facility","102","74","75","75","75","75","75","75","75","76"
"Madison Satellite Facility","102","58","59","59","59","59","59","59","59","60"
"Noxubee Satellite Facility","92","72","73","73","73","73","73","73","73","74"
"Pike Satellite Facility","93","84","84","83","84","84","84","84","84","85"
"Quitman Satellite Facility","93","61","61","61","62","62","62","62","62","63"
"Rankin Satellite Facility","260","181","181","181","181","181","181","181","181","181"
"Simpson Satellite Facility","102","88","88","88","89","89","89","89","89","88"
"Washington Satellite Facility","102","78","78","78","79","79","79","79","79","80"
"Wilkinson Satellite Facility","102","56","56","56","57","57","57","57","57","58"
"Yazoo Satellite Facility","102","68","68","68","68","68","68","67","66","67"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,209","4,209","4,209","4,209","4,197","4,196","4,184","4,184","4,197"
"Alcorn County","300","300","300","300","300","299","299","298","298","299"
"Bolivar County","369","349","349","349","349","348","348","347","347","348"
"Carroll County","280","262","262","262","262","261","261","260","260","261"
"Chickasaw County","300","299","299","299","299","298","298","297","297","298"
"George County","280","274","274","274","274","273","273","272","272","273"
"Holmes County","280","279","279","279","279","278","278","277","277","278"
"Issaquena County","274","256","256","256","256","255","255","254","254","255"
"Jefferson County","280","262","262","262","262","261","261","262","262","263"
"Kemper County","355","342","342","342","342","341","341","340","340","341"
"Leake County","280","263","263","263","263","262","262","261","261","262"
"Marion County","280","269","269","269","269","268","268","267","267","268"
"Stone County","280","280","280","280","280","279","279","278","278","279"
"Washington County","300","205","205","205","205","205","205","205","205","205"
"Winston County","280","280","280","280","280","280","280","279","279","280"
"Yazoo County","300","289","289","289","289","289","288","287","287","287"
"PRIVATE PRISONS","5,972","3,874","3,874","3,874","3,874","3,874","3,869","3,865","3,865","3,865"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,125","1,125","1,125","1,125","1,125","1,124","1,123","1,123","1,123"
"Marshall County","1,000","996","996","996","996","996","994","993","993","993"
"Walnut Grove","1,500","917","917","917","917","917","916","915","915","915"
"Wilkinson County","1,000","836","836","836","836","836","835","834","834","834"
"RESTITUTION CENTERS","16","13","13","13","13","13","8","8","8","8"
"Greenwood","6","4","4","4","4","4","3","3","3","3"
"Hinds","6","6","6","6","6","6","4","4","4","4"
"Pascagoula","4","3","3","3","3","3","1","1","1","1"
"TOTALS","25,737","18,782","18,805","18,807","18,835","18,823","18,812","18,794","18,825","18,800"
