"Location","Capacity","1-Apr-15","2-Apr-15","3-Apr-15","4-Apr-15","5-Apr-15","6-Apr-15","7-Apr-15","8-Apr-15","9-Apr-15"
"Mississippi State Penitentiary","4,648","3,126","3,134","3,130","3,130","3,134","3,139","3,142","3,143","3,143"
"MSP TVC","108","87","87","94","94","91","90","91","92","92"
"Central Mississippi Correctional Facility","3,469","2,366","2,383","2,358","2,358","2,357","2,341","2,341","2,342","2,342"
"Youthful Offender Unit","58","24","25","25","25","25","25","25","25","25"
"CMCF TVC","158","126","131","129","129","128","131","131","131","131"
"South Mississippi Correctional Institution","3,282","2,404","2,391","2,390","2,390","2,390","2,392","2,392","2,392","2,392"
"SMCI TVC","0","98","96","91","91","89","86","86","86","86"
"County Jails","1,995","1,546","1,548","1,561","1,561","1,548","1,550","1,550","1,550","1,550"
"COMMUNITY WORK CENTERS","1,848","1,044","1,041","1,040","1,040","1,041","1,041","1,050","1,050","1,050"
"Alcorn Satellite Facility","92","51","51","57","57","58","57","58","58","58"
"Bolivar Satellite Facility","102","45","45","44","44","44","45","46","46","46"
"Forrest Satellite Facility","96","49","49","49","49","49","49","50","50","50"
"George Satellite Facility","102","59","59","59","59","59","59","60","60","60"
"Harrison Satellite Facility","102","45","45","45","45","45","40","41","41","41"
"Jackson Satellite Facility","102","48","48","52","52","52","52","53","53","53"
"Jefferson Satellite Facility","102","42","42","41","41","41","42","42","42","42"
"Leflore Satellite Facility","102","43","44","43","43","43","41","41","41","41"
"Madison Satellite Facility","102","47","46","47","47","47","47","47","47","47"
"Noxubee Satellite Facility","92","59","58","57","57","57","57","57","57","57"
"Pike Satellite Facility","93","85","85","85","85","85","85","85","85","85"
"Quitman Satellite Facility","93","58","58","58","58","58","60","60","60","60"
"Rankin Satellite Facility","260","174","174","172","172","172","177","178","178","178"
"Simpson Satellite Facility","102","99","97","92","92","92","92","93","93","93"
"Washington Satellite Facility","102","46","46","45","45","45","45","46","46","46"
"Wilkinson Satellite Facility","102","48","48","48","48","48","48","48","48","48"
"Yazoo Satellite Facility","102","46","46","46","46","46","45","45","45","45"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,221","4,219","4,193","4,193","4,196","4,192","4,196","4,196","4,196"
"Alcorn County","300","300","300","300","300","300","300","300","300","300"
"Bolivar County","369","353","354","353","353","353","352","352","352","352"
"Carroll County","280","277","278","277","277","277","276","276","276","276"
"Chickasaw County","300","300","300","298","298","298","296","296","296","296"
"George County","280","260","261","261","261","261","259","259","259","259"
"Holmes County","280","272","275","275","275","275","275","275","275","275"
"Issaquena County","274","253","257","254","254","255","256","257","257","257"
"Jefferson County","280","261","261","261","261","261","261","261","261","261"
"Kemper County","355","339","336","333","333","334","335","335","335","335"
"Leake County","280","254","254","253","253","254","254","254","254","254"
"Marion County","280","273","271","269","269","269","270","270","270","270"
"Stone County","280","279","279","277","277","277","276","276","276","276"
"Washington County","300","249","248","246","246","246","246","247","247","247"
"Winston County","280","262","258","253","253","253","255","256","256","256"
"Yazoo County","300","289","287","283","283","283","281","282","282","282"
"PRIVATE PRISONS","5,972","3,995","3,989","4,004","4,004","4,006","4,004","4,006","4,010","4,010"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,162","1,161","1,155","1,155","1,155","1,152","1,151","1,152","1,152"
"Marshall County","1,000","998","995","998","998","998","987","988","989","989"
"Walnut Grove","1,500","937","936","957","957","959","963","964","965","965"
"Wilkinson County","1,000","898","897","894","894","894","902","903","904","904"
"RESTITUTION CENTERS","16","8","8","8","8","8","8","9","9","9"
"Greenwood","6","3","3","3","3","3","3","3","3","3"
"Hinds","6","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","2","2","2","2","2","2","3","3","3"
"TOTALS","25,726","19,045","19,052","19,023","19,023","19,013","18,999","19,019","19,026","19,026"
