"Location","Capacity","28-Feb-15","Avg Population"
"Mississippi State Penitentiary","4,648","3,102","3,128"
"MSP TVC","108","100","83"
"Central Mississippi Correctional Facility","3,469","2,353","2,341"
"Youthful Offender Unit","58","23","25"
"CMCF TVC","158","92","112"
"South Mississippi Correctional Institution","3,282","2,461","2,420"
"SMCI TVC","0","100","95"
"County Jails","1,995","1,487","1,493"
"COMMUNITY WORK CENTERS","1,848","1,028","1,044"
"Alcorn Satellite Facility","92","49","54"
"Bolivar Satellite Facility","102","52","53"
"Forrest Satellite Facility","96","43","48"
"George Satellite Facility","102","49","52"
"Harrison Satellite Facility","102","43","47"
"Jackson Satellite Facility","102","55","50"
"Jefferson Satellite Facility","102","46","49"
"Leflore Satellite Facility","102","47","47"
"Madison Satellite Facility","102","51","46"
"Noxubee Satellite Facility","92","60","63"
"Pike Satellite Facility","93","85","80"
"Quitman Satellite Facility","93","56","59"
"Rankin Satellite Facility","260","159","164"
"Simpson Satellite Facility","102","92","97"
"Washington Satellite Facility","102","46","45"
"Wilkinson Satellite Facility","102","48","42"
"Yazoo Satellite Facility","102","47","48"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,212","4,203"
"Alcorn County","300","300","298"
"Bolivar County","369","355","353"
"Carroll County","280","274","271"
"Chickasaw County","300","297","299"
"George County","280","262","260"
"Holmes County","280","266","264"
"Issaquena County","274","258","260"
"Jefferson County","280","262","257"
"Kemper County","355","334","333"
"Leake County","280","259","257"
"Marion County","280","269","271"
"Stone County","280","277","275"
"Washington County","300","252","259"
"Winston County","280","257","263"
"Yazoo County","300","290","284"
"PRIVATE PRISONS","5,972","3,951","4,022"
"Delta","972","0","0"
"East Mississippi","1,500","1,178","1,176"
"Marshall County","1,000","994","995"
"Walnut Grove","1,500","893","966"
"Wilkinson County","1,000","886","884"
"RESTITUTION CENTERS","16","5","6"
"Greenwood","6","3","4"
"Hinds","6","1","1"
"Pascagoula","4","1","1"
"TOTALS","25,726","18,914","18,971"
